DomainId	VicinityId1	VicinityId2	VicinityId3	VicinityId4	VicinityId5	VicinityId6	VicinityId7	VicinityId8	VicinityId9	VicinityId10
1	22	5	9	6	7	10				
5	1	23	24	7	22	18				
6	1	8	7	22	10	38				
7	1	22	5	6	34					
8	9	6	10	38						
9	1	8	10							
10	1	9	8	6	22					
11	17	33	28	15	24	59	14	18	47	
14	24	11	15	16	59	27				
15	35	14	16	45	28	33	24	59	11	47
16	15	14	54	53						
17	11	35	18							
18	24	17	5	11						
19	22	25	26	23						
22	1	6	5	7	23	68	19	10		
23	5	22	24	19						
24	23	5	14	26	59	11	15	18		
25	19	26	27	72						
26	19	25	24	27						
27	26	61	14	25						
28	36	33	11	15	47					
33	34	15	28	35	11	47				
34	7	35	33							
35	17	15	34	33						
36	28	37	38							
37	36	38								
38	6	8	36	37						
39	45	44	42							
42	39	44	43							
43	42	53	55	48						
44	39	45	42	47						
45	39	44	15	46	47					
46	45	47								
47	46	45	44	28	33	11	15			
48	43	53	55	59	56					
53	16	54	55	43	48					
54	16	53	55							
55	54	48	53	43	58	56				
56	48	57	58	55						
57	59	56	58	62						
58	56	57	55							
59	61	11	24	14	15	48	57			
61	59	27	62	72						
62	61	57	72							
63	68	69	71							
68	70	69	22	63						
69	63	70	68							
70	68	69								
71	63									
72	62	25	61							
