TRAPX	TRAPY
51168	101824
51168	102464
51648	101344
51648	102304
51328	102304
51488	102144
51328	101984
51648	101984
51488	101824
51328	101664
51648	101664
51488	101504
51648	102944
51488	102784
51328	102624
51648	102624
51488	102464
51968	101344
51808	101184
52128	101184
51968	101024
52128	100864
51808	102144
51808	101824
51968	101664
51808	101504
52128	101504
51968	102336
51968	103264
52128	103104
51808	103104
51968	102944
52128	102784
52128	102464
51968	102624
51808	102784
51808	102464
52128	103424
52608	100992
52288	101344
52288	101024
52448	101184
52416	101760
52256	101920
52608	102912
52288	103264
52288	102944
52288	102624
52608	103232
52448	102880
52768	101152
52928	101312
52832	100864
52992	101024
53088	101472
52960	101920
52832	101792
52960	102208
53088	102432
53088	102752
52928	102592
53088	103072
52928	102912
52768	103072
52928	103232
52768	103392
52768	102816
52800	102432
53248	101632
53408	102112
53568	102272
53248	102304
53568	102016
53376	101792
53728	102432
53568	102592
53408	102432
53408	102752
53248	102592
53248	102912
