MAP_ID	GAMESVR_SET_1	GAMESVR_SET_2	GAMESVR_SET_3	GAMESVR_SET_4	GAMESVR_SET_5	GAMESVR_SET_6	GAMESVR_SET_7	GAMESVR_SET_8	GAMESVR_SET_9	GAMESVR_SET_10	GAMESVR_SET_11	GAMESVR_SET_12	GAMESVR_SET_13	GAMESVR_SET_14	GAMESVR_SET_15	GAMESVR_SET_16	备注
188	1	2	2	4	2	4	3	7	7	7	7	7	7	7	7	7	Cửu Khúc Chiến (Phượng Tường 1)
191	1	2	2	4	2	4	3	7	7	7	7	7	7	7	7	7	Ngũ Trượng Nguyên Chiến (Phượng Tường 1)
194	1	2	2	4	2	4	3	7	7	7	7	7	7	7	7	7	Bàn Long Cốc Chiến (Phượng Tường 1)
1549	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	Hội Trường Võ Lâm (1)
1550	1	1	1	1	2	2	2	2	2	2	2	2	2	2	2	2	Hội Trường Võ Lâm (2)
1551	1	1	1	2	3	3	7	3	3	3	3	3	3	3	3	3	Hội Trường Võ Lâm (3)
1552	1	1	2	2	4	4	4	4	4	4	4	4	4	4	4	4	Hội Trường Võ Lâm (4)
1553	1	2	3	3	5	5	5	5	5	5	5	5	5	5	5	5	Hội Trường Võ Lâm (5)
1554	1	2	3	3	3	6	6	6	6	6	6	6	6	6	6	6	Hội Trường Võ Lâm (6)
1555	1	2	2	4	2	4	3	7	7	7	7	7	7	7	7	7	Hội Trường Võ Lâm (7)
1556	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	Hội Trường Võ Lâm (8)
1557	1	1	1	1	2	2	2	2	2	2	2	2	2	2	2	2	Hội Trường Võ Lâm (9)
1558	1	1	1	2	3	3	7	3	3	3	3	3	3	3	3	3	Hội Trường Võ Lâm (10)
1559	1	1	2	2	4	4	4	4	4	4	4	4	4	4	4	4	Hội Trường Võ Lâm (11)
1560	1	2	3	3	5	5	5	5	5	5	5	5	5	5	5	5	Hội Trường Võ Lâm (12)
1561	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	Khu Chuẩn Bị (1)
1562	1	1	1	1	2	2	2	2	2	2	2	2	2	2	2	2	Khu Chuẩn Bị (2)
1563	1	1	1	2	3	3	7	3	3	3	3	3	3	3	3	3	Khu Chuẩn Bị (3)
1564	1	1	2	2	4	4	4	4	4	4	4	4	4	4	4	4	Khu Chuẩn Bị (4)
1565	1	2	3	3	5	5	5	5	5	5	5	5	5	5	5	5	Khu Chuẩn Bị (5)
1566	1	2	3	3	3	6	6	6	6	6	6	6	6	6	6	6	Khu Chuẩn Bị (6)
1567	1	2	2	4	2	4	3	7	7	7	7	7	7	7	7	7	Khu Chuẩn Bị (7)
1568	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	Khu Chuẩn Bị (8)
1569	1	1	1	1	2	2	2	2	2	2	2	2	2	2	2	2	Khu Chuẩn Bị (9)
1570	1	1	1	2	3	3	7	3	3	3	3	3	3	3	3	3	Khu Chuẩn Bị (10)
1571	1	1	2	2	4	4	4	4	4	4	4	4	4	4	4	4	Khu Chuẩn Bị (11)
1572	1	2	3	3	5	5	5	5	5	5	5	5	5	5	5	5	Khu Chuẩn Bị (12)
1573	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	Khu Thi Đấu (1_1)
1574	1	1	1	1	2	2	2	2	2	2	2	2	2	2	2	2	Khu Thi Đấu (2_1)
1575	1	1	1	2	3	3	7	3	3	3	3	3	3	3	3	3	Khu Thi Đấu (3_1)
1576	1	1	2	2	4	4	4	4	4	4	4	4	4	4	4	4	Khu Thi Đấu (4_1)
1577	1	2	3	3	5	5	5	5	5	5	5	5	5	5	5	5	Khu Thi Đấu (5_1)
1578	1	2	3	3	3	6	6	6	6	6	6	6	6	6	6	6	Khu Thi Đấu (6_1)
1579	1	2	2	4	2	4	3	7	7	7	7	7	7	7	7	7	Khu Thi Đấu (7_1)
1580	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	Khu Thi Đấu (8_1)
1581	1	1	1	1	2	2	2	2	2	2	2	2	2	2	2	2	Khu Thi Đấu (9_1)
1582	1	1	1	2	3	3	7	3	3	3	3	3	3	3	3	3	Khu Thi Đấu (10_1)
1583	1	1	2	2	4	4	4	4	4	4	4	4	4	4	4	4	Khu Thi Đấu (11_1)
1584	1	2	3	3	5	5	5	5	5	5	5	5	5	5	5	5	Khu Thi Đấu (12_1)
1585	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	Khu Thi Đấu (1_2)
1586	1	1	1	1	2	2	2	2	2	2	2	2	2	2	2	2	Khu Thi Đấu (2_2)
1587	1	1	1	2	3	3	7	3	3	3	3	3	3	3	3	3	Khu Thi Đấu (3_2)
1588	1	1	2	2	4	4	4	4	4	4	4	4	4	4	4	4	Khu Thi Đấu (4_2)
1589	1	2	3	3	5	5	5	5	5	5	5	5	5	5	5	5	Khu Thi Đấu (5_2)
1590	1	2	3	3	3	6	6	6	6	6	6	6	6	6	6	6	Khu Thi Đấu (6_2)
1591	1	2	2	4	2	4	3	7	7	7	7	7	7	7	7	7	Khu Thi Đấu (7_2)
1592	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	Khu Thi Đấu (8_2)
1593	1	1	1	1	2	2	2	2	2	2	2	2	2	2	2	2	Khu Thi Đấu (9_2)
1594	1	1	1	2	3	3	7	3	3	3	3	3	3	3	3	3	Khu Thi Đấu (10_2)
1595	1	1	2	2	4	4	4	4	4	4	4	4	4	4	4	4	Khu Thi Đấu (11_2)
1596	1	2	3	3	5	5	5	5	5	5	5	5	5	5	5	5	Khu Thi Đấu (12_2)
1597	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	Khu Đấu Nhiều Người (1_1)
1598	1	1	1	1	2	2	2	2	2	2	2	2	2	2	2	2	Khu Đấu Nhiều Người (2_1)
1599	1	1	1	2	3	3	7	3	3	3	3	3	3	3	3	3	Khu Đấu Nhiều Người (3_1)
1600	1	1	2	2	4	4	4	4	4	4	4	4	4	4	4	4	Khu Đấu Nhiều Người (4_1)
1601	1	2	3	3	5	5	5	5	5	5	5	5	5	5	5	5	Khu Đấu Nhiều Người (5_1)
1602	1	2	3	3	3	6	6	6	6	6	6	6	6	6	6	6	Khu Đấu Nhiều Người (6_1)
1603	1	2	2	4	2	4	3	7	7	7	7	7	7	7	7	7	Khu Đấu Nhiều Người (7_1)
1604	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	Khu Đấu Nhiều Người (8_1)
1605	1	1	1	1	2	2	2	2	2	2	2	2	2	2	2	2	Khu Đấu Nhiều Người (9_1)
1606	1	1	1	2	3	3	7	3	3	3	3	3	3	3	3	3	Khu Đấu Nhiều Người (10_1)
1607	1	1	2	2	4	4	4	4	4	4	4	4	4	4	4	4	Khu Đấu Nhiều Người (11_1)
1608	1	2	3	3	5	5	5	5	5	5	5	5	5	5	5	5	Khu Đấu Nhiều Người (12_1)
1609	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	Đảo Anh Hùng (1)
1610	1	1	1	1	2	2	2	2	2	2	2	2	2	2	2	2	Đảo Anh Hùng (2)
1611	1	1	1	2	3	3	7	3	3	3	3	3	3	3	3	3	Đảo Anh Hùng (3)
1612	1	1	2	2	4	4	4	4	4	4	4	4	4	4	4	4	Đảo Anh Hùng (4)
1613	1	2	3	3	5	5	5	5	5	5	5	5	5	5	5	5	Đảo Anh Hùng (5)
1614	1	2	3	3	3	6	6	6	6	6	6	6	6	6	6	6	Đảo Anh Hùng (6)
1615	1	2	2	4	2	4	3	7	7	7	7	7	7	7	7	7	Đảo Anh Hùng (7)
1616	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	Thí Luyện Cốc (1)
1617	1	1	1	1	2	2	2	2	2	2	2	2	2	2	2	2	Thí Luyện Cốc (2)
1618	1	1	1	2	3	3	7	3	3	3	3	3	3	3	3	3	Thí Luyện Cốc (3)
1619	1	1	2	2	4	4	4	4	4	4	4	4	4	4	4	4	Thí Luyện Cốc (4)
1620	1	2	3	3	5	5	5	5	5	5	5	5	5	5	5	5	Thí Luyện Cốc (5)
1621	1	2	3	3	3	6	6	6	6	6	6	6	6	6	6	6	Thí Luyện Cốc (6)
1622	1	2	2	4	2	4	3	7	7	7	7	7	7	7	7	7	Thí Luyện Cốc (7)
1623	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	Đoàn Thể (chuẩn bị) (1)
1624	1	1	1	1	2	2	2	2	2	2	2	2	2	2	2	2	Đoàn Thể (chuẩn bị) (2)
1625	1	1	1	2	3	3	7	3	3	3	3	3	3	3	3	3	Đoàn Thể (chuẩn bị) (3)
1626	1	1	2	2	4	4	4	4	4	4	4	4	4	4	4	4	Đoàn Thể (chuẩn bị) (4)
1627	1	2	3	3	5	5	5	5	5	5	5	5	5	5	5	5	Đoàn Thể (chuẩn bị) (5)
1628	1	2	3	3	3	6	6	6	6	6	6	6	6	6	6	6	Đoàn Thể (chuẩn bị) (6)
