nId	Item	FruitItem	Type	Grade1	Grade2	Grade3	Exp1	Exp2	Exp3	KinExp	MaxAwardCount	MaxGetOther	PerGetOther	Weather1	Weather2	Weather3	Dredging	TempNpcId1	TempNpcId2	TempNpcId3	TempNpcId4	TempNpcId5	TempNpcId6	TempNpcId7	TempNpcId8	TempNpcId9	TempNpcId10	Time1	Time2	Time3	Time4	Time5	Time6	Time7	Time8	Time9	Time10
索引	道具种子	果实	作物类型	需求农作物专精等级：0为不需求	需求果树专精等级：0为不需求	需求鲜花专精等级：0为不需求	专精经验：农作物专精	专精经验：果树专精	专精经验：鲜花专精	家族专精经验	普通最大产量	每天最多被偷多少个	每次被偷的数目:0表示不可以被偷	天气影响：雨天 正数表示增产，负数表示减产，数值表具体个数	天气影响：烈日 正数表示增产，负数表示减产，数值表具体个数	天气影响：雪天 正数表示增产，负数表示减产，数值表具体个数	被其他人挖掘等级:1族长，2族长副族长，3正式成员，4荣誉成员，5记名成员(向上兼容)，0不可以被任何人挖掘	第1阶段树木npc	第2阶段树木npc	第3阶段树木npc	第4阶段树木npc	第5阶段树木npc	第6阶段树木npc	第7阶段树木npc	第8阶段树木npc	第9阶段树木npc	第10阶段树木npc	第1阶段生存时间	第2阶段生存时间	第3阶段生存时间	第4阶段生存时间	第5阶段生存时间	第6阶段生存时间	第7阶段生存时间	第8阶段生存时间	第9阶段生存时间	第10阶段生存时间
1	18,1,1568,1	18,1,1569,1	1	1	0	0	18	-1	-1	18	18	4	1	1	1	0	1	9843	9844	9845								14400	28800	259200							
2	18,1,1570,1	18,1,1571,1	1	2	0	0	20	-1	-1	20	20	5	1	0	1	2	1	9846	9847	9848								14400	28800	259200							
3	18,1,1572,1	18,1,1573,1	1	3	0	0	22	-1	-1	22	22	6	1	2	-1	0	1	9849	9850	9851								14400	28800	259200							
4	18,1,1574,1	18,1,1575,1	2	0	1	0	-1	18	-1	18	18	4	1	1	1	-2	1	9852	9853	9854								14400	28800	259200							
5	18,1,1576,1	18,1,1577,1	2	0	2	0	-1	20	-1	20	20	5	1	1	1	-2	1	9855	9856	9857								14400	28800	259200							
6	18,1,1578,1	18,1,1579,1	2	0	3	0	-1	22	-1	22	22	6	1	1	1	-2	1	9858	9859	9860								14400	28800	259200							
7	18,1,1580,1	18,1,1581,1	3	0	0	1	-1	-1	18	18	18	4	1	0	2	-2	1	9861	9862	9863								14400	28800	259200							
8	18,1,1582,1	18,1,1583,1	3	0	0	2	-1	-1	20	20	20	5	1	0	2	-2	1	9864	9865	9866								14400	28800	259200							
9	18,1,1584,1	18,1,1585,1	3	0	0	3	-1	-1	22	22	22	6	1	0	2	-2	1	9867	9868	9869								14400	28800	259200							
10	18,1,1630,1	18,1,1636,1	1	1	0	0	18	-1	-1	18	54	0	0	1	1	0	1	9898	9899	9900								14400	28800	259200							
11	18,1,1631,1	18,1,1637,1	2	0	1	0	-1	18	-1	18	54	0	0	1	1	-2	1	9901	9902	9903								14400	28800	259200							
12	18,1,1632,1	18,1,1638,1	3	0	0	1	-1	-1	18	18	54	0	0	0	2	-2	1	9904	9905	9906								14400	28800	259200							
