Name	MapLinkType	MemberCount	PlayerCount	Sex	Camp	Series	Faction	Teacher	Time_Weekend	Time_Common	Time_AdvMatch	ReadyTime_Common	PKTime_Common	ReadyTime_Adv	PKTime_Adv	PriIntoMap	PriReadyMap	PriMacthMap	PriMacthMapPatch	AdvIntoMap	AdvReadyMap	AdvMacthMap	AdvMacthMapPatch	Desc
类型名	地图类型	战队人数	比赛人数	性别判断	阵营判断	五行判断	门派判断	师徒判断	比赛日程（周末）	比赛日程（日常）	比赛日程（八强）	准备时间（秒）	比赛时间（秒）	准备时间（八强）（秒）	比赛时间（八强）（秒）	初级会场地图	初级准备场地图	初级比赛场地图	初级比赛后备图	高级会场地图	高级准备场地图	高级比赛场地图	高级比赛场后备图	描述
门派单人赛	3	1	1	0	0	0	1	0	1500	2000	1900	280	600	280	600	1401	1413	1425	1508	1893	1905	1917	1953	本届武林联赛比赛类型为<color=yellow>门派单人赛<color>，特意考察单人搏击之术，各位可以勤加习练，达至<color=yellow>“炉火纯青，登峰造极”<color>之境界，届时定可脱颖而出。
									1515	2015	1915					1402	1414	1426	1509	1894	1906	1918	1954	
									1530	2030	1930					1403	1415	1427	1510	1895	1907	1919	1955	
									1545	2045	1945					1404	1416	1428	1511	1896	1908	1920	1956	
									1600	2100	2000					1405	1417	1429	1512	1897	1909	1921	1957	
									1615	2115						1406	1418	1430	1513	1898	1910	1922	1958	
									1900							1407	1419	1431	1514	1899	1911	1923	1959	
									1915							1408	1420	1432	1515	1900	1912	1924	1960	
									1930							1409	1421	1433	1516	1901	1913	1925	1961	
									1945							1410	1422	1434	1517	1902	1914	1926	1962	
																1411	1423	1435	1518	1903	1915	1927	1963	
																1412	1424	1436	1519	1904	1916	1928	1964	
																2278	2279	2280	2282	2273	2274	2275	2277	
