TaskId	TaskName	TaskType	MapId	PosX	PosY	MapName	NpcId	Num	LevelSeg	ActionKind	RandCallBoss	BossId
ÈÎÎñ±àºÅ	ÈËÎïÃû	ÈÎÎñÀàÐÍ	µØÍ¼Id±àºÅ	µØÍ¼X×ø±ê	µØÍ¼Y×ø±ê	µØÍ¼Ãû³Æ	NpcId	ÊýÁ¿	µÈ¼¶¶Î	ÐÐÎªÀàÐÍboss	ËÀÍöÕÙboss¸ÅÂÊ£¨×Ü¸ÅÂÊ100Íò£©	bossµÄId
50001	ÆÍÉ¢°¢Â³	KillNpc	86	1851	3899	Ì«ÐÐ¹Å¾¶	2995	1	1	1		
50002	±«³¹É½	KillNpc	86	1819	3354	Ì«ÐÐ¹Å¾¶	2996	1	1	0		
50003	²Ì¹Â³¾	KillNpc	86	1710	3289	Ì«ÐÐ¹Å¾¶	2997	1	1	0		
50004	²Ü°²¸¦	KillNpc	86	1712	3918	Ì«ÐÐ¹Å¾¶	2998	1	1	0		
50005	ÁºÒÒ²ý	KillNpc	87	1817	3396	´óÉ¢¹Ø	2999	1	1	1		
50006	¹È½£Çï	KillNpc	87	1583	3885	´óÉ¢¹Ø	3000	1	1	0		
50007	¹ËÊØÌÚ	KillNpc	87	1785	3530	´óÉ¢¹Ø	3001	1	1	0		
50008	¹ØÌìÎÊ	KillNpc	87	1870	3948	´óÉ¢¹Ø	3002	1	1	0		
50009	¼ÖÉÆÈÊ	KillNpc	88	1920	3875	ººË®¹Å¶É	3003	1	1	1		
50010	½­³ÁÑã	KillNpc	88	1602	3604	ººË®¹Å¶É	3004	1	1	0		
50011	½ª×ÔÒ£	KillNpc	88	1888	3282	ººË®¹Å¶É	3005	1	1	0		
50012	½â¹éÄÏ	KillNpc	88	1925	3551	ººË®¹Å¶É	3006	1	1	0		
50013	¿ÂÐÛ·É	KillNpc	89	1555	3189	º®É½¹ÅÉ²	3007	1	1	1		
50014	¿×²»Ó¹	KillNpc	89	1610	3694	º®É½¹ÅÉ²	3008	1	1	0		
50015	À×ôÃ¿Í	KillNpc	89	1897	3692	º®É½¹ÅÉ²	3009	1	1	0		
50016	ÀîÐÐ¼ó	KillNpc	89	1923	3188	º®É½¹ÅÉ²	3010	1	1	0		
50017	ÇØ×ÎÓÎ	KillNpc	90	1932	3928	ä½»¨Ïª	3011	1	1	1		
50018	ÇüÏòÈÙ	KillNpc	90	1925	3228	ä½»¨Ïª	3012	1	1	0		
50019	ÈÎ²Ôñ·	KillNpc	90	1606	3331	ä½»¨Ïª	3013	1	1	0		
50020	É£²×º£	KillNpc	90	1721	3996	ä½»¨Ïª	3014	1	1	0		
50021	ËÕ¹ÅÒ÷	KillNpc	91	1722	3252	¶ýº£Ä¦ÑÒ	3015	1	1	1		
