nIndex	nNpcTemplateId1	nNpcTemplateId2	nNpcTemplateId3	nNpcTemplateId4	nNpcTemplateId5	nNpcTemplateId6	nNpcTemplateId7	nNpcTemplateId8	bTeamShare	nCount
1	2885									1
2	2885									100
3	2816	2833	2850	2867	2884					1
4	2816	2833	2850	2867	2884					10
5	2509	2515								10
6	2509	2515								100
7	2509	2515								1000
8	4006									10
9	4004									10
10	4002									10
11	4171									10
12	4136									10
13	4132									10
14	4127									10
15	4150									10
16	4152									10
17	4153									10
18	4181									10
19	4182									10
20	4183									10
21	4184									10
22	2427								1	30
23	2428								1	30
24	2430	2433							1	30
25	2436	2434	2431						1	30
26	2437								1	30
27	2429								1	1
28	2432								1	1
29	2435								1	1
30	2438								1	1
31	2451								1	1
32	2452								1	1
33	2453								1	1
34	2454								1	1
35	2455								1	1
36	2426	2474	2475						1	1
37	2426	2474	2475							1
38	2660	2662	3683							10
39	2660	2662	3683							100
40	2660	2662	3683							1000
41	2661	2663	3684						1	1
42	2661	2663	3684							1
43	2681	2683	3685							10
44	2681	2683	3685							100
45	2681	2683	3685							1000
46	2682	2684	3686						1	1
47	2682	2684	3686							1
48	2685	2687	3687							10
49	2685	2687	3687							100
50	2685	2687	3687							1000
51	2686	2688	3688						1	1
52	2686	2688	3688							1
53	3225	3226							1	1
54	3227								1	1
55	3228								1	1
56	3241								1	1
57	3240								1	1
58	3301								1	1
59	3197								1	1
60	3320								1	1
61	3244								1	1
62	3245								1	1
63	3247								1	1
64	3250								1	1
65	3316								1	1
66	4665								1	1
67	4666								1	1
68	2427	2428	2430	2431	2433	2434	2436	2437	1	1
69	2427	2428	2430	2431	2433	2434	2436	2437	1	100
70	6735								1	1
71	6736								1	1
72	6737								1	1
73	6738								1	1
74	7303								1	1
75	7334								1	1
76	7332								1	1
77	7335								1	1
78	6741	6739							1	1
79	6747								1	1
80	6751	6752	6753	6754					1	1
81	7314								1	1
82	7319								1	1
