TRAPX	TRAPY
1945	3902
1942	3907
1946	3911
1950	3916
1949	3907
1962	3860
1966	3864
1965	3855
1953	3911
1973	3864
1970	3869
1969	3860
2014	3744
2011	3855
2000	3851
2004	3855
2008	3860
2007	3851
2003	3846
2024	3735
2019	3740
2028	3743
2019	3753
2023	3748
2040	3836
2047	3836
2043	3831
2044	3840
2037	4057
2041	4061
2044	4057
2040	4052
2045	4066
2059	3763
2056	3768
2052	3763
2048	3759
2055	3759
2051	3754
2062	3774
2051	3840
2048	3845
2048	4061
2065	3768
2072	4023
2076	4027
2079	4023
2075	4018
2085	3758
2089	3762
2088	3753
2093	3767
2092	3758
2085	3826
2089	3830
2093	3835
2092	3826
2088	3821
2085	3921
2089	3925
2093	3930
2092	3921
2088	3916
2083	4027
2080	4032
2096	3762
2096	3830
2111	3880
2096	3925
2106	3984
2110	3988
2109	3979
2114	3871
2118	3867
2120	3879
2123	3873
2116	3877
2117	3988
2114	3993
2113	3984
