Template	ReactNpc	MapId	X	Y
0	0	35	1849	3701
0	0	35	1856	3660
0	0	35	1857	3742
0	0	35	1876	3661
0	0	35	1887	3698
0	0	35	1875	3735
3429	3421	35	1851	3687
3429	3421	35	1851	3746
3429	3421	35	1857	3647
3429	3421	35	1883	3664
3429	3421	35	1882	3744
3429	3421	35	1889	3713
3428	3416	35	1848	3655
3428	3416	35	1848	3673
3428	3416	35	1840	3704
3428	3416	35	1845	3722
3428	3416	35	1855	3714
3428	3416	35	1849	3736
3428	3416	35	1866	3650
3428	3416	35	1866	3667
3428	3416	35	1859	3678
3428	3416	35	1860	3697
3428	3416	35	1868	3705
3428	3416	35	1871	3692
3428	3416	35	1866	3736
3428	3416	35	1866	3718
3428	3416	35	1856	3757
3428	3416	35	1868	3753
3428	3416	35	1875	3645
3428	3416	35	1885	3651
3428	3416	35	1872	3680
3428	3416	35	1884	3680
3428	3416	35	1879	3710
3428	3416	35	1882	3694
3428	3416	35	1882	3724
3428	3416	35	1875	3723
3428	3416	35	1880	3755
3428	3416	35	1891	3666
3428	3416	35	1897	3711
3428	3416	35	1898	3696
3428	3416	35	1893	3685
3428	3416	35	1888	3735
0	0	98	1724	3608
0	0	98	1758	3558
0	0	98	1762	3499
0	0	98	1767	3609
0	0	98	1767	3667
0	0	98	1794	3567
3400	3421	98	1726	3596
3400	3421	98	1754	3506
3400	3421	98	1761	3570
3400	3421	98	1762	3620
3400	3421	98	1760	3673
3400	3421	98	1789	3578
3395	3416	98	1717	3600
3395	3416	98	1733	3605
3395	3416	98	1734	3588
3395	3416	98	1742	3597
3395	3416	98	1730	3619
3395	3416	98	1739	3625
3395	3416	98	1732	3635
3395	3416	98	1757	3487
3395	3416	98	1747	3494
3395	3416	98	1750	3521
3395	3416	98	1751	3573
3395	3416	98	1744	3613
3395	3416	98	1759	3604
3395	3416	98	1751	3604
3395	3416	98	1750	3588
3395	3416	98	1752	3625
3395	3416	98	1753	3678
3395	3416	98	1770	3491
3395	3416	98	1768	3522
3395	3416	98	1761	3539
3395	3416	98	1773	3535
3395	3416	98	1770	3574
3395	3416	98	1769	3553
3395	3416	98	1760	3586
3395	3416	98	1767	3596
3395	3416	98	1774	3610
3395	3416	98	1761	3634
3395	3416	98	1772	3679
3395	3416	98	1766	3653
3395	3416	98	1775	3665
3395	3416	98	1764	3686
3395	3416	98	1781	3490
3395	3416	98	1788	3533
3395	3416	98	1781	3547
3395	3416	98	1781	3570
3395	3416	98	1787	3560
3395	3416	98	1780	3600
3395	3416	98	1776	3587
3395	3416	98	1787	3590
3395	3416	98	1777	3648
3395	3416	98	1794	3550
3395	3416	98	1803	3571
3395	3416	98	1798	3584
0	0	91	1758	3589
0	0	91	1770	3501
0	0	91	1808	3459
0	0	91	1813	3545
0	0	91	1871	3437
0	0	91	1856	3506
3400	3421	91	1750	3584
3400	3421	91	1761	3495
3400	3421	91	1805	3443
3400	3421	91	1813	3561
3400	3421	91	1862	3435
3400	3421	91	1863	3515
3395	3416	91	1743	3507
3395	3416	91	1741	3580
3395	3416	91	1738	3558
3395	3416	91	1752	3472
3395	3416	91	1754	3505
3395	3416	91	1753	3488
3395	3416	91	1746	3567
3395	3416	91	1751	3603
3395	3416	91	1762	3477
3395	3416	91	1772	3480
3395	3416	91	1773	3458
3395	3416	91	1763	3512
3395	3416	91	1774	3532
3395	3416	91	1768	3570
3395	3416	91	1764	3604
3395	3416	91	1782	3446
3395	3416	91	1784	3467
3395	3416	91	1786	3486
3395	3416	91	1783	3508
3395	3416	91	1776	3519
3395	3416	91	1790	3529
3395	3416	91	1790	3548
3395	3416	91	1778	3553
3395	3416	91	1776	3601
3395	3416	91	1793	3436
3395	3416	91	1794	3456
3395	3416	91	1798	3475
3395	3416	91	1796	3502
3395	3416	91	1800	3519
3395	3416	91	1802	3538
3395	3416	91	1800	3558
3395	3416	91	1815	3448
3395	3416	91	1813	3475
3395	3416	91	1823	3481
3395	3416	91	1809	3500
3395	3416	91	1819	3499
3395	3416	91	1821	3533
3395	3416	91	1812	3521
3395	3416	91	1825	3463
3395	3416	91	1832	3475
3395	3416	91	1827	3515
3395	3416	91	1834	3498
3395	3416	91	1832	3542
3395	3416	91	1825	3558
3395	3416	91	1839	3560
3395	3416	91	1851	3431
3395	3416	91	1852	3482
3395	3416	91	1842	3477
3395	3416	91	1840	3461
3395	3416	91	1842	3519
3395	3416	91	1845	3499
3395	3416	91	1844	3541
3395	3416	91	1855	3532
3395	3416	91	1850	3554
3395	3416	91	1866	3452
3395	3416	91	1868	3424
3395	3416	91	1858	3463
3395	3416	91	1862	3488
3395	3416	91	1880	3449
3395	3416	91	1880	3429
3395	3416	91	1886	3468
0	0	119	1631	3439
0	0	119	1633	3509
0	0	119	1663	3541
0	0	119	1668	3459
0	0	119	1702	3488
0	0	119	1699	3550
3400	3421	119	1624	3446
3400	3421	119	1633	3496
3400	3421	119	1676	3460
3400	3421	119	1673	3545
3400	3421	119	1698	3477
3400	3421	119	1706	3557
3395	3416	119	1627	3428
3395	3416	119	1622	3435
3395	3416	119	1619	3454
3395	3416	119	1627	3484
3395	3416	119	1625	3513
3395	3416	119	1636	3430
3395	3416	119	1638	3448
3395	3416	119	1646	3431
3395	3416	119	1636	3472
3395	3416	119	1638	3486
3395	3416	119	1642	3515
3395	3416	119	1636	3524
3395	3416	119	1639	3540
3395	3416	119	1647	3529
3395	3416	119	1660	3456
3395	3416	119	1650	3457
3395	3416	119	1656	3467
3395	3416	119	1648	3469
3395	3416	119	1651	3483
3395	3416	119	1655	3493
3395	3416	119	1656	3507
3395	3416	119	1651	3518
3395	3416	119	1648	3494
3395	3416	119	1655	3543
3395	3416	119	1660	3528
3395	3416	119	1664	3444
3395	3416	119	1673	3484
3395	3416	119	1664	3485
3395	3416	119	1667	3475
3395	3416	119	1676	3494
3395	3416	119	1673	3505
3395	3416	119	1666	3512
3395	3416	119	1665	3499
3395	3416	119	1673	3530
3395	3416	119	1692	3469
3395	3416	119	1690	3483
3395	3416	119	1684	3475
3395	3416	119	1685	3459
3395	3416	119	1682	3486
3395	3416	119	1683	3513
3395	3416	119	1683	3500
3395	3416	119	1682	3535
3395	3416	119	1690	3524
3395	3416	119	1690	3560
3395	3416	119	1693	3574
3395	3416	119	1707	3480
3395	3416	119	1696	3494
3395	3416	119	1705	3511
3395	3416	119	1697	3509
3395	3416	119	1708	3544
3395	3416	119	1702	3573
3395	3416	119	1718	3533
3395	3416	119	1716	3557
0	0	112	1691	3554
0	0	112	1688	3600
0	0	112	1724	3534
0	0	112	1728	3595
0	0	112	1737	3636
0	0	112	1744	3557
3400	3421	112	1683	3553
3400	3421	112	1695	3612
3400	3421	112	1723	3545
3400	3421	112	1731	3582
3400	3421	112	1743	3627
3400	3421	112	1747	3545
3395	3416	112	1674	3547
3395	3416	112	1677	3562
3395	3416	112	1676	3580
3395	3416	112	1685	3567
3395	3416	112	1687	3586
3395	3416	112	1698	3543
3395	3416	112	1711	3539
3395	3416	112	1697	3568
3395	3416	112	1703	3554
3395	3416	112	1707	3571
3395	3416	112	1709	3603
3395	3416	112	1698	3595
3395	3416	112	1706	3587
3395	3416	112	1705	3617
3395	3416	112	1714	3556
3395	3416	112	1720	3566
3395	3416	112	1716	3581
3395	3416	112	1726	3574
3395	3416	112	1717	3612
3395	3416	112	1720	3595
3395	3416	112	1726	3632
3395	3416	112	1714	3626
3395	3416	112	1725	3618
3395	3416	112	1736	3541
3395	3416	112	1737	3556
3395	3416	112	1736	3572
3395	3416	112	1728	3556
3395	3416	112	1732	3609
3395	3416	112	1733	3625
3395	3416	112	1732	3647
3395	3416	112	1742	3650
3395	3416	112	1746	3531
3395	3416	112	1754	3625
3395	3416	112	1749	3640
0	0	135	1772	3642
0	0	135	1797	3618
0	0	135	1806	3682
0	0	135	1857	3616
0	0	135	1860	3684
0	0	135	1881	3645
3400	3421	135	1778	3634
3400	3421	135	1803	3627
3400	3421	135	1799	3692
3400	3421	135	1849	3605
3400	3421	135	1860	3674
3400	3421	135	1875	3637
3395	3416	135	1755	3625
3395	3416	135	1762	3635
3395	3416	135	1787	3645
3395	3416	135	1788	3619
3395	3416	135	1780	3655
3395	3416	135	1791	3666
3395	3416	135	1791	3686
3395	3416	135	1787	3703
3395	3416	135	1792	3636
3395	3416	135	1799	3673
3395	3416	135	1807	3666
3395	3416	135	1805	3710
3395	3416	135	1809	3611
3395	3416	135	1822	3605
3395	3416	135	1817	3622
3395	3416	135	1811	3639
3395	3416	135	1815	3677
3395	3416	135	1819	3655
3395	3416	135	1811	3697
3395	3416	135	1823	3693
3395	3416	135	1818	3713
3395	3416	135	1835	3602
3395	3416	135	1837	3587
3395	3416	135	1824	3637
3395	3416	135	1830	3669
3395	3416	135	1829	3711
3395	3416	135	1836	3701
3395	3416	135	1855	3631
3395	3416	135	1850	3643
3395	3416	135	1840	3638
3395	3416	135	1846	3622
3395	3416	135	1853	3677
3395	3416	135	1842	3675
3395	3416	135	1850	3658
3395	3416	135	1843	3663
3395	3416	135	1846	3692
3395	3416	135	1867	3617
3395	3416	135	1866	3635
3395	3416	135	1871	3652
3395	3416	135	1876	3612
3395	3416	135	1873	3626
3395	3416	135	1872	3676
3395	3416	135	1877	3663
3395	3416	135	1885	3685
3395	3416	135	1889	3646
