DomainId	VicinityId1	VicinityId2	VicinityId3	VicinityId4	VicinityId5	VicinityId6	VicinityId7	VicinityId8	VicinityId9	VicinityId10
14	24	16	59	27						
16	14	54	53							
19	22	25	26	23						
22	23	19								
23	22	24	19							
24	23	14	26	59						
25	19	26	27							
26	19	25	24	27						
27	26	25	61	14						
39	42									
42	39	43								
43	42	53	55	48						
48	43	53	55	59	56	58				
53	16	54	55	43	48					
54	16	53	55							
55	54	48	53	43	56					
56	48	57	58	55						
57	59	56	58	62						
58	56	57	48							
59	61	24	14	48	57	62				
61	59	27	62							
62	61	57	59							
