nTemplateId	nMapId	nMapX	nMapY
3431	88	51904	112992
3431	88	52256	116384
3431	88	52448	123872
3431	88	53088	107200
3431	88	53632	103936
3431	88	53952	120800
3431	88	54496	123360
3431	88	55744	105024
3431	88	55936	123328
3431	88	58080	122464
3431	88	58816	105888
3431	88	58464	109888
3431	88	59648	118528
3431	88	60128	104608
3431	88	60480	114336
3431	88	61248	118208
3431	88	61760	121920
3431	89	49056	106368
3431	89	48736	120000
3431	89	49312	102080
3431	89	49376	110432
3431	89	49184	112992
3431	89	49600	117856
3431	89	50016	104544
3431	89	51424	102304
3431	89	51456	118848
3431	89	54624	119456
3431	89	55744	102720
3431	89	58240	102464
3431	89	59200	109568
3431	89	59776	118592
3431	89	61312	103104
3431	89	61888	119456
3431	89	62368	107136
3431	89	63136	104288
3431	89	63008	111968
3431	89	63008	116192
3431	90	51072	115968
3431	90	51904	108384
3431	90	52064	119040
3431	90	51712	124384
3431	90	51904	126784
3431	90	52416	111904
3431	90	52896	104384
3431	90	54048	127136
3431	90	55840	104896
3431	90	56096	126496
3431	90	59712	105888
3431	90	59424	127200
3431	90	60768	103904
3431	90	61280	106656
3431	90	62368	115552
3431	90	62176	126336
3431	90	62912	108608
3431	90	62816	112224
3431	90	62560	122912
3431	90	63040	118816
3431	92	50528	118976
3431	92	50976	112512
3431	92	52064	103552
3431	92	51872	115744
3431	92	52448	120544
3431	92	54496	102688
3431	92	54720	120736
3431	92	56448	103936
3431	92	57472	120352
3431	92	59008	102656
3431	92	59200	119168
3431	92	61664	103264
3431	92	62016	119840
3431	92	63808	120928
3431	92	64064	103168
3431	92	64736	112064
3431	92	65728	104992
3431	92	65856	114496
3431	92	65728	117984
3431	92	65760	120384
3431	92	66080	108832
3431	96	50400	121088
3431	96	50880	111968
3431	96	50816	118304
3431	96	51264	108448
3431	96	51936	121568
3431	96	52960	108320
3431	96	53440	123552
3431	96	55424	124288
3431	96	55872	105568
3431	96	57216	125984
3431	96	59328	103424
3431	96	58944	125440
3431	96	60736	123360
3431	96	60992	102272
3431	96	61696	115616
3431	96	62624	103232
3431	96	62656	108416
3431	96	62880	112512
3431	96	62912	118912
3431	96	62464	122016
3431	99	38720	97888
3431	99	39072	81056
3431	99	39328	84736
3431	99	39008	88896
3431	99	39232	94048
3431	99	39200	101600
3431	99	41024	80000
3431	99	41632	100704
3431	99	42464	82048
3431	99	43904	101856
3431	99	44992	81344
3431	99	48000	100352
3431	99	48384	81312
3431	99	49664	79264
3431	99	50336	101792
3431	99	51168	79648
3431	99	51520	91040
3431	99	52032	82272
3431	99	52096	86944
3431	99	52096	95488
3431	99	52160	99488
3431	104	49120	113056
3431	104	48992	115648
3431	104	49952	109120
3431	104	50624	120192
3431	104	51712	103264
3431	104	51968	116640
3431	104	52640	107680
3431	104	54144	117856
3431	104	56960	102752
3431	104	57568	119392
3431	104	59808	104768
3431	104	59648	109504
3431	104	60352	117472
3431	104	60992	111200
3431	104	61408	120384
3431	104	61568	114688
3431	106	52160	104928
3431	106	51840	110240
3431	106	52128	119616
3431	106	53952	115104
3431	106	54336	103904
3431	106	54944	121632
3431	106	56992	104032
3431	106	57376	107392
3431	106	58016	119648
3431	106	59296	104672
3431	106	59616	116384
3431	106	60128	113184
3431	106	60608	107360
3431	106	61376	104768
3431	106	61088	121696
3431	106	61568	110432
3431	106	61760	117376
3431	109	51680	112704
3431	109	51840	107744
3431	109	51904	116544
3431	109	52672	104704
3431	109	52320	120576
3431	109	52352	124160
3431	109	54208	124288
3431	109	54688	108384
3431	109	55616	121920
3431	109	56832	105984
3431	109	57632	124192
3431	109	59136	108192
3431	109	59328	124096
3431	109	59648	104576
3431	109	61376	106016
3431	109	61056	108704
3431	109	61248	110816
3431	109	61344	118400
3431	109	60960	121696
3431	109	61696	114016
3431	111	51680	107008
3431	111	51648	109504
3431	111	51904	114080
3431	111	51904	121152
3431	111	52160	124864
3431	111	52736	117216
3431	111	53536	106752
3431	111	54272	124704
3431	111	55936	107488
3431	111	55936	125248
3431	111	57728	122752
3431	111	58816	108640
3431	111	59392	125216
3431	111	60832	109856
3431	111	61312	125056
3431	111	61696	122112
3431	111	62112	112704
3431	111	62240	116064
3431	111	62368	119008
3431	111	62496	110208
3431	118	46976	113024
3431	118	47296	116448
3431	118	48480	111808
3431	118	49792	119104
3431	118	50240	111808
3431	118	52064	121344
3431	118	52704	126848
3431	118	54784	126720
3431	118	56800	120960
3431	118	56544	126016
3431	118	57824	119264
3431	118	58304	110528
3431	118	59456	120704
3431	118	60384	114656
3431	118	59936	117344
3431	118	60704	112192
3431	120	49536	114976
