GROUPID	Id	QID	QUESTION	ANSWER	SELECT1	SELECT2	SELECT3
1	1		如何将装备链接插入到聊天栏？	Ctrl+鼠标左键点击装备	鼠标左键点击装备	Alt+鼠标右键点击装备	
1	2		装备切换的快捷键是什么？	Ctrl+W	Alt+W	Ctrl+Alt+Del	
1	3		如果想和其他玩家进行交互操作，比如：聊天、交易、查看装备……应该怎么做？	Ctrl+鼠标右键点击该玩家	鼠标右键点击该玩家	鼠标左键点击该玩家	
2	1		打开、关闭小地图的快捷键是哪个？	Tab键	Ctrl键	Shift键	
2	2		鼠标移动到小地图上后如何拖动小地图？	按住鼠标右键进行拖动	按住鼠标左键进行拖动	按住鼠标滚轮进行拖动	
2	3		如何用小地图自动寻路？	在小地图上左键点击想要去的地方	右键点击想要去的地方	Ctrl+鼠标右键点击	
3	1		下列哪种怪不会掉落篝火？	普通怪	精英怪	首领怪	
3	2		篝火的效果是什么？	在篝火有效范围内的玩家每5秒可以获得经验	在篝火有效范围内的玩家攻击力提高	篝火可以用来取暖	
3	3		篝火点燃后持续时间有多久？	15分钟	5分钟	8分钟	
3	4		烤火时喝点酒有什么好处？	可以获得更多经验	可以提高玩家攻击	可以让玩家练成醉拳技能	
3	5		6人组队烤火同时喝酒，下列哪种情况获得经验较高？	5个人喝西北望，1个人喝女儿红	3个人喝杏花村，3个人喝稻花香	每个人都喝不同的酒	
4	1		下列哪种物品不能放入备用装备栏？	秘籍	武器	玉佩	
4	2		每次装备切换的时间间隔是多久?	3秒	30秒	60秒	
4	3		将一件装备绑定的武器放入备用装备栏时，该武器是否会被绑定？	是	否		
5	1		受伤的效果是什么？	禁止施展技能和移动，但可以吃药	禁止施展技能和移动，不能吃药	攻击力降低	
5	2		虚弱的效果是什么？	攻击力降低	被攻击时受到伤害增加	移动和施展技能的动作减慢	
5	3		迟缓的效果是什么？	移动和施展技能的动作减慢	禁止施展技能和移动，不能吃药	攻击力降低	
5	4		灼伤的效果是什么？	被攻击时受到伤害增加	攻击力降低	移动和施展技能的动作减慢	
5	5		眩晕的效果是什么？	禁止施展技能和移动，不能吃药	禁止施展技能和移动，但可以吃药	移动和施展技能的动作减慢	
6	1		攻击命中率和下列哪个因素无关？	己方攻击力	己方命中值	对方闪避值	
6	2		命中率的上下限分别是多少？	95%、5%	100%、0%		
6	3		会心一击的攻击力是普通攻击的多少倍	1.8倍	2倍	1.5倍	
7	1		领土争夺战什么时候开始？	周五日20：00	周一至五20：00	周五日22：00	
7	2		宣战的时间段为？	周五日20：00~20：30	周五日20：30~21：00	周五日19：30~20：00	
7	3		领土争夺战征战开启的时间是？	周五日20：30	周五日20：00	周五日21：00	
8	1		当帮会没有任何领土时，需要先攻打哪类领土？	宣战并攻打新手村领土	宣战并攻打任意一块未被帮会占领的非新手村领土	直接攻打任意一块已被帮会占领的领土	
8	2		关于新手村领土，下列说法正确的是？	新手村领土只能占领一次，占领权将在下一场争夺战结束时被收回。	新手村领土可以设置为主城。	占领新手村领土后，可以直接攻打相邻的未被帮会占领的领土。	
8	3		占领新手村领土后，不能进行下列哪种攻打方案？	直接攻打相邻的未被帮会占领的领土	宣战并攻打与任意一块未被帮会占领的领土	直接攻打相邻的已被帮会占领的领土	
8	4		占领一块非新手村领土后，不能进行下列哪种攻打方案？	宣战并攻打新手村领土	宣战并攻打相邻的未被帮会占领的非新手村领土	直接攻打本帮领土相邻的其他帮会占有领土	
8	5		征战结束，根据什么标准来判定哪方取得当前地图的占有权？	帮会积分	帮会成员的个人功勋总和		
8	6		在征战期间、征战地图内，以下哪种方式不能获得个人功勋？	被重伤后躺在原地	守卫在己方龙柱周围	击退参与争夺战的敌对帮会成员或NPC	攻打下敌方龙柱
