TRAPX	TRAPY
61856	126496
61888	127168
62080	125856
62400	126208
62144	126368
62144	126880
62368	128288
62144	128640
62912	124544
62848	125632
62560	125824
62880	125024
62784	126816
62464	126688
62720	126304
62752	127616
62496	127872
62688	127168
62592	128576
62848	128224
63424	125920
63392	125344
63104	125312
63136	125920
62976	126336
63104	126976
63328	127584
63424	127040
63008	127424
63072	127904
63296	128320
63104	128640
63872	125856
63648	125600
63744	125152
63520	126304
63680	126784
63904	126496
63712	127360
63648	128640
63520	128128
63904	128384
64032	125440
64160	126848
64160	126304
64256	127744
64000	127296
64384	127200
64224	128192
64512	126528
