TRAPX	TRAPY
54176	105184
54400	104320
54752	104640
54432	104896
54688	105216
54496	105920
54496	106400
54880	104160
54976	105024
55232	105408
55104	105856
54848	105632
54784	106048
55232	106976
54912	106944
55424	103808
55744	104096
55392	104256
55648	104512
55680	105024
55648	106304
55488	105888
55424	106624
55712	106848
55520	107200
55584	107680
55616	108224
56032	103616
56064	104160
56096	105376
56128	104640
55936	104896
56128	105856
55872	106016
56128	106368
55872	107296
55936	106656
56160	107104
56192	107648
55840	107808
56800	104320
56736	103872
56320	103936
56416	103520
56576	105120
56576	104608
56448	106048
56384	105600
56448	107360
56576	106944
