TRAPX	TRAPY
51648	124672
51456	123936
51392	124448
51680	125152
51328	125056
51584	125760
51264	126144
51648	126816
51296	126688
51584	126240
51328	127904
51456	127328
51456	128704
51552	128256
51840	123616
51776	123200
51968	124768
52032	124192
51712	124128
51936	125344
51872	125888
52128	126720
51840	126400
51808	127936
51776	127424
52032	127200
51776	128544
52128	128544
52608	123456
52256	123808
52544	124896
52640	124320
52320	124608
52512	125504
52256	125632
52224	126272
52480	126080
52384	126848
52256	127648
52512	127264
52800	123936
52832	124672
53056	124320
52768	125856
52768	125248
53024	125024
52992	125536
52832	126496
53056	126112
53248	125760
