TRAPX	TRAPY
45312	104128
45536	103904
45152	105056
45408	104800
45856	104256
45664	104512
45952	105536
45952	107424
46144	105344
46528	105632
46176	107200
46208	107712
46400	108032
46848	105312
46976	106080
46880	106784
46688	106592
47232	104992
47552	104736
47296	106400
48032	104256
48608	105152
48800	104256
49088	104576
48992	106656
49632	104256
49184	106400
49408	106720
49184	107040
49472	107392
50048	101184
49920	104576
49696	107008
49920	107808
50272	101504
50560	103392
50272	103648
50176	107552
50720	101952
51008	102208
51168	107328
50720	107840
50976	108128
51648	101920
51424	102144
51520	107040
52000	102496
52480	102688
53152	103328
52896	103712
