TRAPX	TRAPY
48512	130432
49056	122656
49056	124672
48736	130176
49216	122464
49312	124384
49440	129568
50048	123808
49760	122912
49696	124320
50048	128960
49728	129856
50368	123520
50304	129184
51072	124064
50752	124320
51264	126688
51008	127776
50784	127968
50720	129696
51136	130112
51552	125312
51424	127392
51680	127648
51808	125024
52128	127104
52448	124864
53248	125408
53536	125120
53408	126304
53408	126976
53696	127296
53952	124544
54240	124896
54208	129152
54688	128064
54400	128960
54912	123584
55168	123360
54944	128320
55232	130432
54944	130720
55584	122272
55616	124512
55648	129888
55808	122016
55840	124704
55904	129568
56320	122272
56576	122528
