TRAPX	TRAPY
47296	104672
47776	101472
48032	101728
47680	105056
47936	105344
48512	100352
48192	104640
48352	104832
48352	105760
48672	100128
49088	100576
48896	100800
48800	103968
48992	104160
49536	100992
49376	101184
49312	103392
49536	103648
49952	101376
49696	101568
50080	102432
50560	98496
50304	98752
50336	101888
50304	102656
51104	99616
50944	101216
51328	99264
51488	101216
51616	101344
51200	102848
51776	102144
52032	102688
51776	103040
52288	100224
52640	100576
52480	103232
52288	103488
53184	103776
52960	104000
53056	105440
53120	106016
53312	101344
53632	101696
53408	104864
53728	104544
54016	104800
53824	105056
54688	101824
54944	102080
