MapId	TemplateId	PosX	PosY	bName
1	9829	41888	100608	
1	9829	42752	97792	
1	9829	42848	98912	
1	9829	43488	99552	
1	9829	44448	99360	
1	9829	44352	100672	
1	9829	45024	97440	
1	9829	45024	98624	
1	9829	46048	96704	
1	9829	45632	99584	
1	9831	43392	98560	
1	9831	45408	96992	
1	9831	45216	98816	
1	9831	44288	98656	
1	9831	44480	101312	
1	9831	46048	98144	
1	9831	46112	99968	
1	9831	46336	101408	
1	9831	48096	102752	
1	9831	49408	100960	
1	9831	50912	100160	
1	9831	49344	104416	
2	9829	55200	116128	
2	9829	55264	117312	
2	9829	56192	114368	
2	9829	57760	115200	
2	9829	58080	113536	
2	9829	58336	116640	
2	9829	58720	110432	
2	9829	59168	113440	
2	9829	60064	112064	
2	9831	54752	116160	
2	9831	53760	108672	
2	9831	54080	117088	
2	9831	56576	111456	
2	9831	56704	113920	
2	9831	58144	110368	
2	9831	58208	115936	
2	9831	58784	114144	
2	9831	59424	111648	
2	9831	60064	116320	
2	9831	55936	113440	
2	9831	56224	116320	
2	9831	56992	115168	
2	9831	57792	113696	
3	9829	48480	103872	
3	9829	48864	102752	
3	9829	49984	100544	
3	9829	50176	101760	
3	9829	50848	102464	
3	9829	50720	103680	
3	9829	51680	102176	
3	9829	52480	101568	
3	9829	52832	100640	
3	9829	53600	100768	
3	9829	53888	102944	
3	9829	54592	102336	
3	9831	50144	101184	
3	9831	48160	104128	
3	9831	49312	102240	
3	9831	49536	103712	
3	9831	51392	101792	
3	9831	51968	104992	
3	9831	53600	102656	
3	9831	53984	106976	
3	9831	54592	104288	
3	9831	50368	104064	
3	9831	51040	102848	
3	9831	51840	101024	
3	9831	54464	101344	
4	9829	49056	103040	
4	9829	50144	106560	
4	9829	50464	101408	
4	9829	50528	103968	
4	9829	50784	105344	
4	9829	51552	105664	
4	9829	52128	103392	
4	9829	52416	102784	
4	9829	52448	107424	
4	9829	53120	102624	
4	9829	52992	105152	
4	9831	49696	106272	
4	9831	49216	102176	
4	9831	49568	104416	
4	9831	50368	98432	
4	9831	50496	101888	
4	9831	50720	105856	
4	9831	51072	107232	
4	9831	51456	103968	
4	9831	51776	99392	
4	9831	51936	106432	
4	9831	52224	101248	
4	9831	55392	102368	
4	9831	50720	104096	
4	9831	51488	102976	
4	9831	51776	105056	
4	9831	52224	103744	
4	9831	52800	102432	
5	9829	49632	96000	
5	9829	49312	99328	
5	9829	50656	97888	
5	9829	50208	98592	
5	9829	50528	100512	
5	9829	50592	102528	
5	9829	50720	96992	
5	9829	51264	94464	
5	9829	51840	96992	
5	9829	51744	100384	
5	9829	52096	101472	
5	9829	52320	103008	
5	9829	53056	100384	
5	9831	50272	99456	
5	9831	51456	98688	
5	9831	51264	101056	
5	9831	48448	97216	
5	9831	49792	100640	
5	9831	50528	100352	
5	9831	50848	97312	
5	9831	52096	99680	
5	9831	52672	100896	
5	9831	54112	98944	
5	9831	51904	95552	
5	9831	52096	100192	
6	9829	45760	99072	
6	9829	45856	100416	
6	9829	46592	100416	
6	9829	47616	101568	
6	9829	48576	97984	
6	9829	48960	99488	
6	9829	48832	100480	
6	9829	49504	96896	
6	9829	50528	98112	
6	9829	50592	99264	
6	9829	50944	101056	
6	9829	51392	100032	
6	9829	51552	101216	
6	9829	52512	100064	
6	9829	52992	99648	
6	9829	54176	95328	
6	9829	54080	96384	
6	9831	47040	101344	
6	9831	49536	100032	
6	9831	45376	99456	
6	9831	47072	105152	
6	9831	47168	98624	
6	9831	47552	103456	
6	9831	48000	98016	
6	9831	48416	97728	
6	9831	48640	100416	
6	9831	49632	97280	
6	9831	49408	104480	
6	9831	49792	102720	
6	9831	50464	104160	
6	9831	51200	101536	
6	9831	52512	97824	
6	9831	52768	100800	
6	9831	54592	96096	
6	9831	49792	98816	
6	9831	50848	98432	
6	9831	51872	99200	
7	9829	45760	108672	
7	9829	46656	107328	
7	9829	47232	105856	
7	9829	47712	106624	
7	9829	48384	105152	
7	9829	49024	103200	
7	9829	48832	104384	
7	9829	50112	103360	
7	9829	50144	104224	
7	9829	50304	105184	
7	9829	50592	104448	
7	9829	51168	105696	
7	9829	51104	106912	
7	9829	51936	105024	
7	9831	48224	104192	
7	9831	49248	102944	
7	9831	45504	109248	
7	9831	47232	105664	
7	9831	47712	101088	
7	9831	48416	107968	
7	9831	48928	105984	
7	9831	49344	101056	
7	9831	49184	107296	
7	9831	49696	108832	
7	9831	50656	105504	
7	9831	49184	105120	
7	9831	50080	103776	
7	9831	50816	107712	
8	9829	52640	108448	
8	9829	52928	105376	
8	9829	52992	106336	
8	9829	53504	109408	
8	9829	53376	110048	
8	9829	53760	107744	
8	9829	54784	104384	
8	9829	54944	107488	
8	9829	55296	105984	
8	9829	55456	109184	
8	9829	56128	106432	
8	9829	55840	109856	
8	9829	57536	108832	
8	9831	54208	106816	
8	9831	54400	104864	
8	9831	51488	107616	
8	9831	52704	103968	
8	9831	52320	105216	
8	9831	52576	108384	
8	9831	53408	106368	
8	9831	53632	108736	
8	9831	53664	109792	
8	9831	54400	110848	
8	9831	55680	105952	
8	9831	55552	109344	
8	9831	55296	110720	
8	9831	56224	110048	
8	9831	56928	108480	
8	9831	58208	108864	
8	9831	54272	108416	
8	9831	55072	108576	
8	9831	55296	107328	
23	9829	47648	97344	
23	9829	47872	99616	
23	9829	47808	101344	
23	9829	48576	97632	
23	9829	48320	98400	
23	9829	48864	99008	
23	9829	49536	98752	
23	9829	50048	99584	
23	9829	49760	100384	
23	9829	50016	101248	
23	9829	50464	100928	
23	9829	51104	95904	
23	9829	50976	98112	
23	9829	51072	97312	
23	9829	51136	100192	
23	9829	51104	99744	
23	9829	52096	100192	
23	9829	52704	98048	
23	9829	52320	98912	
23	9829	53280	101696	
23	9831	46784	100544	
23	9831	48608	95808	
23	9831	49568	99072	
23	9831	49600	103136	
23	9831	50144	95232	
23	9831	50624	98176	
23	9831	47168	102080	
23	9831	47840	97632	
23	9831	48096	99584	
23	9831	48064	102176	
23	9831	48800	98912	
23	9831	49472	101024	
23	9831	50240	101440	
23	9831	50240	104384	
23	9831	51328	103456	
23	9831	51904	100672	
23	9831	50336	99904	
23	9831	51168	99104	
23	9831	51424	100224	
23	9831	51904	97184	
23	9831	52608	101920	
23	9831	52800	98464	
24	9829	54432	112736	
24	9829	54656	115296	
24	9829	55040	110592	
24	9829	55168	111840	
24	9829	55008	114368	
24	9829	55584	110784	
24	9829	55904	111808	
24	9829	56160	112864	
24	9829	55872	114240	
24	9829	56160	115936	
24	9829	56768	112448	
24	9829	56544	114272	
24	9829	56992	110752	
24	9829	57408	114400	
24	9829	57952	116544	
24	9829	58624	113312	
24	9829	58592	114784	
24	9829	59040	109408	
24	9829	58976	110336	
24	9829	58944	112128	
24	9829	59424	112768	
24	9829	59776	113760	
24	9831	54560	113056	
24	9831	55072	114848	
24	9831	56032	108896	
24	9831	50176	110944	
24	9831	50816	112416	
24	9831	52480	109088	
24	9831	53280	107936	
24	9831	53472	110496	
24	9831	54176	106048	
24	9831	54592	110240	
24	9831	55040	107904	
24	9831	55072	113440	
24	9831	55072	116224	
24	9831	55872	111232	
24	9831	56064	117824	
24	9831	57216	106144	
24	9831	57088	109856	
24	9831	57184	115296	
24	9831	57472	108480	
24	9831	57472	117888	
24	9831	58752	106784	
24	9831	59232	108480	
24	9831	59584	114272	
24	9831	60832	109184	
24	9831	60768	111424	
24	9831	60992	114336	
24	9831	61600	112448	
24	9831	55840	112416	
24	9831	56576	113728	
24	9831	56864	111456	
24	9831	57792	112800	
24	9831	58112	111296	
24	9831	58464	117600	
24	9831	59680	110112	
24	9831	61728	107424	
24	9831	62560	114688	
25	9829	49280	97536	
25	9829	50144	99648	
25	9829	50176	101280	
25	9829	50656	101952	
25	9829	51008	97024	
25	9829	50848	100896	
25	9829	52128	99200	
25	9829	51872	100096	
25	9829	51904	101696	
25	9829	52384	100576	
25	9829	52384	101504	
25	9829	52384	103456	
25	9829	52768	99936	
25	9829	53088	101824	
25	9829	53568	99104	
25	9829	53600	103040	
25	9829	53984	99936	
25	9829	53760	100864	
25	9829	55008	97824	
25	9829	54880	100032	
25	9831	48832	95456	
25	9831	49184	98656	
25	9831	49376	102464	
25	9831	47872	100256	
25	9831	48480	101312	
25	9831	48704	97088	
25	9831	49600	106112	
25	9831	49728	99840	
25	9831	49984	101120	
25	9831	50016	103520	
25	9831	50528	97472	
25	9831	50656	102144	
25	9831	50752	100256	
25	9831	50880	104352	
25	9831	50816	105536	
25	9831	51392	95776	
25	9831	51680	106528	
25	9831	52352	105440	
25	9831	52864	98368	
25	9831	53472	101536	
25	9831	54048	104256	
25	9831	54432	99936	
25	9831	54976	98208	
25	9831	55392	101184	
25	9831	56192	103360	
25	9831	51392	101280	
25	9831	51840	98016	
25	9831	52544	99360	
25	9831	52320	102240	
25	9831	53184	102720	
25	9831	53280	100224	
25	9831	55104	103840	
25	9831	55648	96896	
26	9829	47712	103392	
26	9829	48640	100000	
26	9829	48800	102432	
26	9829	49312	101536	
26	9829	49152	105088	
26	9829	49728	100352	
26	9829	49952	101472	
26	9829	49888	103904	
26	9829	50240	102336	
26	9829	50528	103776	
26	9829	50912	100768	
26	9829	51168	105632	
26	9829	50816	107616	
26	9829	51584	101184	
26	9829	51200	102208	
26	9829	51200	102848	
26	9829	51520	104000	
26	9829	51744	102144	
26	9829	51808	103040	
26	9829	52544	103360	
26	9831	47488	104320	
26	9831	48064	100480	
26	9831	47840	101888	
26	9831	50336	101888	
26	9831	50944	101248	
26	9831	46208	103104	
26	9831	46944	105152	
26	9831	48032	106272	
26	9831	48960	100384	
26	9831	49248	106688	
26	9831	49952	100096	
26	9831	50784	107520	
26	9831	51424	99392	
26	9831	51232	101696	
26	9831	51936	97568	
26	9831	52160	107616	
26	9831	52288	103456	
26	9831	53312	101728	
26	9831	53440	104960	
26	9831	53376	106240	
26	9831	53856	103520	
26	9831	56032	101312	
26	9831	50720	103136	
26	9831	51680	102368	
26	9831	51936	100224	
26	9831	52096	106400	
26	9831	53920	102176	
27	9829	49984	100064	
27	9829	49888	102400	
27	9829	49888	103488	
27	9829	50624	102464	
27	9829	50432	104320	
27	9829	50368	105376	
27	9829	50304	105888	
27	9829	50752	99712	
27	9829	51072	101664	
27	9829	50880	103872	
27	9829	51296	102720	
27	9829	51424	103712	
27	9829	51904	100224	
27	9829	52192	102080	
27	9829	52096	103552	
27	9829	52512	102816	
27	9829	52672	104000	
27	9829	53472	104512	
27	9829	54016	105504	
27	9831	48448	103008	
27	9831	49472	100704	
27	9831	49184	105440	
27	9831	49824	103712	
27	9831	50304	107040	
27	9831	51008	101856	
27	9831	51488	106944	
27	9831	51712	108416	
27	9831	52224	102624	
27	9831	52352	107648	
27	9831	52672	109312	
27	9831	52768	101632	
27	9831	52736	104096	
27	9831	53216	106880	
27	9831	53696	105088	
27	9831	54368	104544	
27	9831	49984	102656	
27	9831	50592	105920	
27	9831	51296	99680	
27	9831	51296	103104	
27	9831	51872	101824	
27	9831	51904	103872	
27	9831	52768	103072	
27	9831	53376	100928	
27	9831	53440	103936	
27	9831	53760	102624	
27	9831	55200	104224	
28	9829	44736	105888	
28	9829	45408	106272	
28	9829	46112	105408	
28	9829	46720	105408	
28	9829	46816	104864	
28	9829	46656	106496	
28	9829	47264	103936	
28	9829	47360	105376	
28	9829	48576	102688	
28	9829	48192	104288	
28	9829	48544	105216	
28	9829	48672	104000	
28	9829	48992	106624	
28	9829	49440	103808	
28	9829	49440	104608	
28	9829	49504	106016	
28	9829	49696	100800	
28	9829	50112	104416	
28	9829	50272	103616	
28	9829	50368	105248	
28	9829	51232	104448	
28	9829	52640	104448	
28	9831	46176	104800	
28	9831	46304	106016	
28	9831	47616	104640	
28	9831	47936	105696	
28	9831	47680	108928	
28	9831	48352	104384	
28	9831	48928	105568	
28	9831	45728	107552	
28	9831	46688	108768	
28	9831	49056	104672	
28	9831	48384	110016	
28	9831	49600	104096	
28	9831	49856	107520	
28	9831	50656	108288	
28	9831	50944	102496	
28	9831	52000	102592	
28	9831	52384	106624	
28	9831	54272	106688	
28	9831	55296	105408	
28	9831	49120	106848	
28	9831	50656	103904	
28	9831	51392	107040	
28	9831	52928	104032	
28	9831	53248	106272	
28	9831	54720	104832	
29	9829	46336	120800	
29	9829	46720	121600	
29	9829	47104	120768	
29	9829	47552	120736	
29	9829	47424	120544	
29	9829	47232	120864	
29	9829	48192	120576	
29	9829	48352	121824	
29	9829	50656	125792	
29	9829	50912	124160	
29	9829	51136	126432	
29	9829	50752	127776	
29	9829	51040	128544	
29	9829	51584	127040	
29	9829	51648	127648	
29	9829	51584	128960	
29	9829	51744	125024	
29	9829	52448	124864	
29	9829	52480	124000	
29	9829	52480	127168	
29	9829	52896	125248	
29	9829	52896	127552	
29	9829	53600	124864	
29	9829	53376	125760	
29	9829	53280	126880	
29	9829	53792	124224	
29	9829	54112	126080	
29	9829	53760	127264	
29	9829	54688	128896	
29	9829	55008	126464	
29	9831	49216	131744	
29	9831	49856	123552	
29	9831	50688	129536	
29	9831	51392	125952	
29	9831	51968	127264	
29	9831	52576	121280	
29	9831	52256	125088	
29	9831	53344	126304	
29	9831	54016	125312	
29	9831	55072	128384	
29	9831	55520	130016	
29	9831	55840	126208	
29	9831	56416	122176	
29	9831	46656	120768	
29	9831	47296	120192	
29	9831	47264	121440	
29	9831	47936	120768	
29	9831	47232	126944	
29	9831	48576	130880	
29	9831	49184	130432	
29	9831	50208	129408	
29	9831	50752	123648	
29	9831	51072	127424	
29	9831	50752	128576	
29	9831	51456	120032	
29	9831	51616	121792	
29	9831	51296	122528	
29	9831	51552	128896	
29	9831	51872	120864	
29	9831	52672	125632	
29	9831	52608	130464	
29	9831	53152	122528	
29	9831	53920	127840	
29	9831	54176	129632	
29	9831	53760	129504	
29	9831	54624	123904	
29	9831	56192	125568	
29	9831	56960	127328	
