MapId	StepId	ROADX	ROADY
28	1	47936	105056
28	1	47296	105056
28	1	46592	106016
28	1	47040	106496
28	2	45984	107680
28	2	47296	109088
28	2	48096	108192
28	2	48032	107776
28	3	48800	107008
28	3	49472	107008
28	3	50656	108224
28	3	51648	107104
28	4	52224	107072
28	4	53280	105856
28	4	52832	105184
28	4	53056	103680
28	5	52768	103296
28	5	52416	102912
28	5	52064	102496
28	5	51872	102240
28	6	51552	102624
28	6	51232	103072
28	6	50912	103456
28	6	50560	103776
28	7	50208	104064
28	7	49856	104416
28	7	49536	104736
28	7	49152	105088
28	8	48800	105088
28	8	48448	105088
28	8	47936	105056
29	1	52032	126624
29	1	51744	127136
29	1	51424	127616
29	1	51136	127904
29	2	50880	128224
29	2	50592	128576
29	2	50304	128864
29	2	50112	129184
29	3	50464	129504
29	3	50752	129824
29	3	51008	130144
29	3	51296	130464
29	4	51584	130784
29	4	51904	131136
29	4	52288	131296
29	4	52544	130816
29	5	52800	130528
29	5	53120	130144
29	5	53376	129792
29	5	53760	129792
29	6	53952	129600
29	6	54240	129344
29	6	54496	129056
29	6	54816	128576
29	7	55104	128896
29	7	55456	129344
29	7	55808	129760
29	7	56064	129952
29	8	56384	129632
29	8	56704	129120
29	8	56992	128800
29	8	57152	128320
29	9	57120	127712
29	9	57088	127296
29	9	56736	126976
29	9	56448	126656
29	10	56512	126048
29	10	56512	125568
29	10	56192	125280
29	10	55936	125024
29	11	55712	124736
29	11	55392	124448
29	11	55104	124128
29	11	54624	123712
29	12	54176	123264
29	12	53792	122880
29	12	53376	122560
29	12	52992	122080
29	13	52448	121600
29	13	52128	122048
29	13	51744	122432
29	13	51392	122848
29	14	51104	123136
29	14	50656	123488
29	14	50336	123808
29	14	50784	124032
29	15	51168	124544
29	15	51552	125088
29	15	51968	125568
29	15	51968	126080
29	15	52032	126624
25	1	51648	100864
25	1	52256	101600
25	1	52544	101952
25	1	52832	102400
25	2	53024	102752
25	2	53184	103008
25	2	52896	103264
25	2	52576	103552
25	3	52256	103872
25	3	51968	104160
25	3	51680	104352
25	3	51392	104576
25	4	51072	104288
25	4	50720	103872
25	4	50432	103552
25	4	50080	103232
25	5	49760	102784
25	5	49472	102368
25	5	49216	101920
25	5	48928	101600
25	6	48576	101216
25	6	48288	100896
25	6	48032	100608
25	6	47808	100352
25	7	47520	100032
25	7	47872	99680
25	7	48224	99360
25	7	48544	98912
25	8	48864	98528
25	8	49216	98144
25	8	49568	97792
25	8	49888	97472
25	9	50176	97152
25	9	50336	96928
25	9	50688	97280
25	9	51008	97600
25	10	51328	97920
25	10	51648	98208
25	10	51904	98496
25	10	52128	98816
25	11	52320	99104
25	11	52288	99584
25	11	52288	100032
25	11	51968	100416
25	11	51648	100864
