MapId	TemplateId	PosX	PosY
25	9895	49120	97984
25	9895	49056	99072
25	9895	48672	98464
25	9895	48672	103232
25	9895	48928	103680
25	9895	49280	98720
25	9895	49472	99488
25	9895	49216	102688
25	9895	49472	103136
25	9895	50048	97088
25	9895	49696	99168
25	9895	49952	99968
25	9895	49792	102176
25	9895	50016	102592
25	9895	50368	96704
25	9895	50624	97504
25	9895	50208	99648
25	9895	50496	100576
25	9895	50272	101664
25	9895	50528	102048
25	9895	50816	97120
25	9895	51104	97984
25	9895	50816	100224
25	9895	50816	101152
25	9895	51104	101504
25	9895	51328	97632
25	9895	52064	98272
25	9895	51808	98688
25	9895	52576	98848
25	9895	52224	99264
25	9895	52896	102944
25	9895	53184	102656
25	9895	53728	103168
25	9895	53472	103584
25	9895	53792	99616
25	9895	54048	99936
25	9895	54208	103616
25	9895	53984	104128
25	9895	54400	98944
25	9895	54688	99392
25	9895	54656	104160
25	9895	54464	104576
25	9895	54944	98464
25	9895	55200	98848
25	9895	54944	104000
25	9895	55520	97824
25	9895	55328	103552
25	9895	56064	97184
25	9895	55808	98240
25	9895	56288	97504
26	9895	47296	104672
26	9895	47776	101472
26	9895	48032	101728
26	9895	47680	105056
26	9895	47936	105344
26	9895	48512	100352
26	9895	48192	104640
26	9895	48352	104832
26	9895	48352	105760
26	9895	48672	100128
26	9895	49088	100576
26	9895	48896	100800
26	9895	48800	103968
26	9895	48992	104160
26	9895	49536	100992
26	9895	49376	101184
26	9895	49312	103392
26	9895	49536	103648
26	9895	49952	101376
26	9895	49696	101568
26	9895	50080	102432
26	9895	50560	98496
26	9895	50304	98752
26	9895	50336	101888
26	9895	50304	102656
26	9895	51104	99616
26	9895	50944	101216
26	9895	51328	99264
26	9895	51488	101216
26	9895	51616	101344
26	9895	51200	102848
26	9895	51776	102144
26	9895	52032	102688
26	9895	51776	103040
26	9895	52288	100224
26	9895	52640	100576
26	9895	52480	103232
26	9895	52288	103488
26	9895	53184	103776
26	9895	52960	104000
26	9895	53056	105440
26	9895	53120	106016
26	9895	53312	101344
26	9895	53632	101696
26	9895	53408	104864
26	9895	53728	104544
26	9895	54016	104800
26	9895	53824	105056
26	9895	54688	101824
26	9895	54944	102080
23	9895	46688	100256
23	9895	47072	99808
23	9895	47520	97184
23	9895	47104	101280
23	9895	47488	101664
23	9895	47808	96800
23	9895	48032	97664
23	9895	47968	102144
23	9895	48288	97408
23	9895	48608	98336
23	9895	48288	102464
23	9895	48672	95968
23	9895	48864	96352
23	9895	48864	98048
23	9895	49120	98816
23	9895	48640	102816
23	9895	49024	103232
23	9895	49440	95168
23	9895	49408	98560
23	9895	49280	100832
23	9895	49472	101088
23	9895	49696	95456
23	9895	49728	99104
23	9895	49696	100288
23	9895	49984	100576
23	9895	50592	95712
23	9895	50368	98336
23	9895	50368	99872
23	9895	50880	95296
23	9895	51552	95936
23	9895	51584	96864
23	9895	51232	96384
23	9895	51200	99040
23	9895	51264	100160
23	9895	51584	99872
23	9895	52032	97248
23	9895	51936	96416
23	9895	51936	100672
23	9895	52160	100480
23	9895	52320	96896
23	9895	52576	97792
23	9895	52608	101920
23	9895	52256	102944
23	9895	52992	98208
23	9895	52832	97440
23	9895	52832	101632
23	9895	52992	102304
23	9895	53248	97856
23	9895	53312	101984
23	9895	53696	101504
27	9895	48992	100800
27	9895	49184	100480
27	9895	49440	100768
27	9895	49248	101088
27	9895	50016	99680
27	9895	50048	101472
27	9895	50080	103392
27	9895	49856	103584
27	9895	49984	105248
27	9895	49984	106272
27	9895	50208	99968
27	9895	50464	102368
27	9895	50208	101664
27	9895	50240	104960
27	9895	50432	105440
27	9895	50272	105952
27	9895	50496	106528
27	9895	50656	106784
27	9895	50720	99680
27	9895	51008	99968
27	9895	50816	102400
27	9895	50880	103840
27	9895	51040	103680
27	9895	50688	105696
27	9895	51264	99680
27	9895	51456	99872
27	9895	51296	101056
27	9895	51552	101312
27	9895	51296	103008
27	9895	51424	106336
27	9895	51616	106528
27	9895	52096	101952
27	9895	51968	103808
27	9895	52512	101088
27	9895	52224	101376
27	9895	52800	101312
27	9895	53088	100384
27	9895	53088	101600
27	9895	52800	103040
27	9895	52992	103904
27	9895	52768	104128
27	9895	53312	100672
27	9895	53504	104448
27	9895	53280	104672
27	9895	53920	104992
27	9895	54176	105248
27	9895	54560	104416
27	9895	54720	104672
27	9895	54976	103936
27	9895	55168	104160
29	9895	48512	130432
29	9895	49056	122656
29	9895	49056	124672
29	9895	48736	130176
29	9895	49216	122464
29	9895	49312	124384
29	9895	49440	129568
29	9895	50048	123808
29	9895	49760	122912
29	9895	49696	124320
29	9895	50048	128960
29	9895	49728	129856
29	9895	50368	123520
29	9895	50304	129184
29	9895	51072	124064
29	9895	50752	124320
29	9895	51264	126688
29	9895	51008	127776
29	9895	50784	127968
29	9895	50720	129696
29	9895	51136	130112
29	9895	51552	125312
29	9895	51424	127392
29	9895	51680	127648
29	9895	51808	125024
29	9895	52128	127104
29	9895	52448	124864
29	9895	53248	125408
29	9895	53536	125120
29	9895	53408	126304
29	9895	53408	126976
29	9895	53696	127296
29	9895	53952	124544
29	9895	54240	124896
29	9895	54208	129152
29	9895	54688	128064
29	9895	54400	128960
29	9895	54912	123584
29	9895	55168	123360
29	9895	54944	128320
29	9895	55232	130432
29	9895	54944	130720
29	9895	55584	122272
29	9895	55616	124512
29	9895	55648	129888
29	9895	55808	122016
29	9895	55840	124704
29	9895	55904	129568
29	9895	56320	122272
29	9895	56576	122528
24	9895	52288	108096
24	9895	52576	107744
24	9895	53088	107200
24	9895	53312	107424
24	9895	53728	108448
24	9895	53696	114720
24	9895	54176	109376
24	9895	53920	108736
24	9895	54112	115136
24	9895	54624	109792
24	9895	54688	112288
24	9895	54368	112608
24	9895	54560	115392
24	9895	55200	110400
24	9895	54880	115776
24	9895	55424	110656
24	9895	55776	111872
24	9895	55776	113568
24	9895	55296	114624
24	9895	55552	114848
24	9895	55328	116256
24	9895	55552	116480
24	9895	56224	111424
24	9895	56160	113920
24	9895	56768	110432
24	9895	56480	110848
24	9895	57280	110656
24	9895	57696	111136
24	9895	58208	111232
24	9895	58592	108736
24	9895	58464	111520
24	9895	58720	110688
24	9895	58912	108448
24	9895	59360	108800
24	9895	59040	110400
24	9895	59264	112448
24	9895	59008	112192
24	9895	59776	109184
24	9895	59712	113792
24	9895	60288	109824
24	9895	60000	113152
24	9895	60608	108864
24	9895	61184	108736
24	9895	60960	110464
24	9895	61248	110816
24	9895	60960	113984
24	9895	61280	114304
24	9895	61216	116000
24	9895	61536	108384
24	9895	61536	115648
28	9895	45312	104128
28	9895	45536	103904
28	9895	45152	105056
28	9895	45408	104800
28	9895	45856	104256
28	9895	45664	104512
28	9895	45952	105536
28	9895	45952	107424
28	9895	46144	105344
28	9895	46528	105632
28	9895	46176	107200
28	9895	46208	107712
28	9895	46400	108032
28	9895	46848	105312
28	9895	46976	106080
28	9895	46880	106784
28	9895	46688	106592
28	9895	47232	104992
28	9895	47552	104736
28	9895	47296	106400
28	9895	48032	104256
28	9895	48608	105152
28	9895	48800	104256
28	9895	49088	104576
28	9895	48992	106656
28	9895	49632	104256
28	9895	49184	106400
28	9895	49408	106720
28	9895	49184	107040
28	9895	49472	107392
28	9895	50048	101184
28	9895	49920	104576
28	9895	49696	107008
28	9895	49920	107808
28	9895	50272	101504
28	9895	50560	103392
28	9895	50272	103648
28	9895	50176	107552
28	9895	50720	101952
28	9895	51008	102208
28	9895	51168	107328
28	9895	50720	107840
28	9895	50976	108128
28	9895	51648	101920
28	9895	51424	102144
28	9895	51520	107040
28	9895	52000	102496
28	9895	52480	102688
28	9895	53152	103328
28	9895	52896	103712
23	9912	50784	99264
23	9912	51104	99488
23	9912	50112	99776
23	9912	50304	99904
23	9912	50432	98304
23	9912	51104	97440
23	9912	51328	96896
23	9907	50464	99328
23	9907	50176	98400
23	9908	50560	99040
23	9908	50176	98400
23	9908	51072	98720
23	9909	50816	99168
23	9909	50304	98400
23	9909	51072	98784
23	9909	50592	99328
23	9910	50720	99296
23	9910	50624	99296
23	9911	50784	99264
23	9911	50400	99232
29	9912	53184	126560
29	9912	52832	126912
29	9912	51552	127008
29	9912	51872	127328
29	9912	51648	125696
29	9912	53408	125792
29	9912	53088	125504
29	9912	52032	125344
29	9914	52800	126496
29	9914	52928	126496
29	9915	52736	126592
29	9915	52992	126592
29	9916	52864	126592
29	9914	52928	126688
29	9914	52800	126688
29	9907	52608	125984
29	9907	51520	125824
29	9908	52928	126144
29	9908	52928	125216
29	9909	52800	126208
29	9910	51456	125888
29	9911	52928	125312
29	9911	52608	126080
29	9910	52672	126272
29	9911	52704	125888
24	9912	55936	112672
24	9912	56256	112096
24	9912	56608	111776
24	9912	56928	111520
24	9912	57312	111872
24	9912	57664	112224
24	9912	57792	113152
24	9912	57408	113504
24	9913	56512	112832
24	9913	56992	113280
24	9913	57504	112736
24	9913	57088	112320
25	9912	49952	100736
25	9912	52480	101056
25	9912	52128	100736
25	9912	52192	99712
25	9912	52896	102016
25	9912	53376	100096
25	9912	53696	100416
25	9912	52480	100352
25	9912	52832	100736
25	9907	52352	101312
25	9907	51936	100000
25	9908	53088	100160
25	9908	52896	100992
25	9909	52352	101440
25	9909	53024	100992
25	9910	53120	100192
25	9910	52896	101088
25	9911	51904	100032
25	9911	52960	101056
25	9914	53024	101472
25	9914	52896	101472
25	9915	53064	101612
25	9915	52864	101600
25	9916	52960	101600
25	9914	52896	101728
25	9914	53024	101728
26	9912	50400	101920
26	9912	50176	102336
26	9912	51744	102464
26	9912	51424	101696
26	9912	51200	101472
26	9907	51680	101888
26	9907	52160	102880
26	9908	50560	101600
26	9909	51712	101952
26	9910	50624	101632
26	9911	52416	103168
27	9912	52160	104832
27	9912	51808	104224
27	9912	51424	104832
27	9912	51328	105504
27	9912	53152	104960
27	9912	51808	105376
27	9907	52480	102752
27	9908	52288	102144
27	9908	51264	103136
