Id	PartId	Desc	Name	Kind	Exp	ExpBase	JxMoney	JxBindMoney	JxCoin	Genre	Detail	Particular	Level	Series	Amount	RandRate	Bind	TimeLimit	Annouce	FriendMsg	KinTongMsg	NeedBagFree
0	0	默认行	默认行	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	1	参加四月充值优惠活动	15000绑定金币	0	0	0	0	0	15000	0	0	0	0	0	0	0	0	0	0	1	1	0
2	1	参加四月份充值优惠活动	3个中级祈福令	0	0	0	0	0	0	18	1	212	2	0	3	0	1	43200	0	1	1	0
3	1	参加四月充值优惠活动	1个9级玄晶	0	0	0	0	0	0	18	1	114	9	0	1	0	1	43200	0	1	1	0
4	1	参加5月充值优惠活动	6个金贝壳	0	0	0	0	0	0	18	1	325	1	0	6	0	1	43200	0	1	1	0
5	1	参加5月充值优惠活动	14个金贝壳	0	0	0	0	0	0	18	1	325	1	0	14	0	1	43200	0	1	1	0
6	1	参加端午充值优惠活动	1个9级玄晶	0	0	0	0	0	0	18	1	114	9	0	1	0	1	43200	0	1	1	0
7	1	参加端午充值优惠活动	3个中级祈福令牌	0	0	0	0	0	0	18	1	212	2	0	3	0	1	43200	0	1	1	0
8	1	参加周年庆活动	1个江湖威望令牌	0	0	0	0	0	0	18	1	236	1	0	1	0	1	43200	0	0	0	0
8	2	参加周年庆活动	1张秘境地图	0	0	0	0	0	0	18	1	251	1	0	1	0	1	43200	0	0	0	0
8	3	参加周年庆活动	1个酒箱（50瓶）	0	0	0	0	0	0	18	1	189	2	0	1	0	1	0	0	0	0	0
8	4	参加周年庆活动	1个7玄	0	0	0	0	0	0	18	1	114	7	0	1	8900	1	43200	0	0	0	0
8	5	参加周年庆活动	1个8玄	0	0	0	0	0	0	18	1	114	8	0	1	1000	1	43200	0	1	0	0
8	6	参加周年庆活动	1个9玄	0	0	0	0	0	0	18	1	114	9	0	1	100	1	43200	1	1	1	0
9	1	参加周年庆活动	1个鲜香肉粽	0	0	0	0	0	0	18	1	326	1	0	1	8000	0	0	0	0	0	0
9	2	参加周年庆活动	1个八宝棕	0	0	0	0	0	0	18	1	326	2	0	1	200	0	0	0	1	1	0
9	3	参加周年庆活动	1个什锦百果粽	0	0	0	0	0	0	18	1	326	3	0	1	200	0	0	0	1	1	0
9	4	参加周年庆活动	1个葫芦香溪粽	0	0	0	0	0	0	18	1	326	4	0	1	1600	0	0	0	1	1	0
10	1	参加庆新版公测回馈活动	5000绑定金币	0	0	0	0	0	5000	0	0	0	0	0	1	0	0	0	0	1	0	0
10	2	参加庆新版公测回馈活动	150万绑定银两	0	0	0	0	1500000	0	0	0	0	0	0	1	0	0	0	0	1	1	0
10	3	参加庆新版公测回馈活动	750个魂石	0	0	0	0	0	0	18	1	205	1	0	750	0	1	0	0	1	0	1
11	1	参加庆新版公测回馈活动	3个中级祈福令牌	0	0	0	0	0	0	18	1	212	2	0	3	0	1	43200	0	1	1	0
12	1	参加庆新版公测回馈活动	1个9级玄晶	0	0	0	0	0	0	18	1	114	9	0	1	0	1	43200	0	1	1	0
13	1	参加七月充值优惠活动	5000绑金	0	0	0	0	0	5000	0	0	0	0	0	1	0	0	0	0	1	1	0
13	2	参加七月充值优惠活动	150万绑银	0	0	0	0	1500000	0	0	0	0	0	0	1	0	0	0	0	1	1	0
14	1	参加七月充值优惠活动	1个8玄	0	0	0	0	0	0	18	1	114	8	0	1	0	1	43200	0	1	1	0
15	1	参加七月充值优惠活动	1个玄晶宝箱	0	0	0	0	0	0	18	1	355	1	0	1	0	1	43200	0	1	1	0
16	1	参加本月充值优惠活动	3个中级祈福令牌	0	0	0	0	0	0	18	1	212	2	0	3	0	1	43200	0	1	1	0
17	1	参加本月充值优惠活动	3张幸运奖券	0	0	0	0	0	0	18	1	397	1	0	3	0	1	43200	0	0	0	0
18	1	参加本月充值优惠活动	1张幸运奖券[绑金]	0	0	0	0	0	0	18	1	397	1	0	1	0	1	43200	0	0	0	0
19	1	参加本月充值优惠活动	2个玄晶宝箱	0	0	0	0	0	0	18	1	355	1	0	2	0	1	43200	0	1	1	0
20	1	参加本月充值优惠活动	3张5折购买帮会银锭（大）的优惠券	0	0	0	0	0	0	18	1	398	1	0	3	0	1	43200	0	1	1	0
21	1	参加本月充值优惠活动	3个中级祈福令牌	0	0	0	0	0	0	18	1	212	2	0	3	0	1	43200	0	1	1	0
22	1	材料月桂花	材料月桂花	2	0	0	0	0	0	18	1	462	1	0	1	0	0	0	0	0	0	0
22	2	玄晶宝箱	玄晶宝箱	0	0	0	0	0	0	18	1	355	1	0	1	0	0	43200	0	0	0	0
23	1	参加本月充值优惠活动	2张幸运奖券	0	0	0	0	0	0	18	1	397	1	0	2	0	1	43200	0	1	1	0
23	2	参加本月充值优惠活动	10张战书·游龙密室	0	0	0	0	0	0	18	1	524	1	0	10	0	1	0	0	1	1	0
24	1	参加“新年大礼”活动	极品同伴“叶静”	0	0	0	0	0	0	18	1	547	3	0	1	0	1	172800	0	1	1	0
25	1	菩提果	菩提果	2	0	0	0	0	0	18	1	564	2	0	1	0	0	0	0	0	0	0
25	2	特别的精魄	特别的精魄	0	0	0	0	0	0	18	1	544	6	0	5	0	1	0	0	0	0	0
26	1	英雄荣誉	5个胜利奖章	2	0	0	0	0	0	18	1	919	1	0	5	0	0	0	0	0	0	0
26	2	英雄荣誉	2个荣誉奖章	2	0	0	0	0	0	18	1	920	1	0	5	0	0	0	0	0	0	0
26	3	英雄荣誉	1个辉煌奖章	2	0	0	0	0	0	18	1	921	1	0	1	0	0	0	0	0	0	0
26	4	英雄荣誉	战功礼包	0	0	0	0	0	0	18	1	922	1	0	1	0	0	43200	0	0	0	0
27	1	名扬英雄	牌子手册	2	0	0	0	0	0	18	1	929	1	0	1	0	0	0	0	0	0	0
27	2	名扬英雄	奖励宝箱	0	0	0	0	0	0	18	1	928	1	0	1	0	1	43200	1	1	1	1
28	1	参加本月充值优惠活动	2张幸运奖券[绑银]	0	0	0	0	0	0	18	1	637	2	0	2	0	1	43200	0	0	0	0
29	1	七夕-劝说王母	金鹊琉璃钗	2	0	0	0	0	0	18	1	968	1	0	1	0	0	0	0	0	0	0
29	2	七夕-劝说王母	琉璃锦盒	0	0	0	0	0	0	18	1	969	1	0	1	0	1	43200	0	0	0	0
30	2	七夕-筑鹊桥	金鹊羽	0	0	0	0	0	0	18	1	977	1	0	1	0	1	43200	0	0	0	0
31	1	越南-打造武器	剑刃	2	0	0	500	0	0	18	1	980	1	0	1	0	0	0	0	0	0	0
31	2	越南-打造武器	剑柄	2	0	0	0	0	0	18	1	981	1	0	1	0	0	0	0	0	0	0
31	3	越南-打造武器	金犀碎片	2	0	0	0	0	0	18	1	982	1	0	1	0	0	0	0	0	0	0
31	4	越南-打造武器	长剑	0	0	0	0	0	0	18	1	983	1	0	1	0	0	0	0	0	0	1
32	1	越南-上交长剑	长剑	2	0	0	0	0	0	18	1	983	1	0	1	0	0	0	0	0	0	0
32	2	越南-上交长剑	经验	0	5000000	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
33	1	越南-兑换千年人参	天山寒酒	2	0	0	0	0	0	18	1	984	1	0	1	0	0	0	0	0	0	0
33	2	越南-兑换千年人参	千年人参	0	0	0	0	0	0	18	1	985	1	0	1	0	0	0	0	0	0	1
34	1	越南-中秋	水	2	0	0	0	0	0	18	1	677	1	0	5	0	0	0	0	0	0	0
34	2	越南-中秋	面粉	2	0	0	0	0	0	18	1	678	1	0	2	0	0	0	0	0	0	0
34	3	越南-中秋	砂糖	2	0	0	0	0	0	18	1	679	1	0	1	0	0	0	0	0	0	0
34	4	越南-中秋	绿豆	2	0	0	0	0	0	18	1	680	1	0	1	0	0	0	0	0	0	0
34	5	越南-中秋	银两	2	0	0	5000	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
34	6	越南-中秋	绿豆饼	0	0	0	0	0	0	18	1	683	1	0	1	0	0	43200	0	0	0	0
35	1	越南-中秋	水	2	0	0	0	0	0	18	1	677	1	0	5	0	0	0	0	0	0	0
35	2	越南-中秋	面粉	2	0	0	0	0	0	18	1	678	1	0	2	0	0	0	0	0	0	0
35	3	越南-中秋	砂糖	2	0	0	0	0	0	18	1	679	1	0	1	0	0	0	0	0	0	0
35	4	越南-中秋	鸡蛋	2	0	0	0	0	0	18	1	681	1	0	1	0	0	0	0	0	0	0
35	5	越南-中秋	银两	2	0	0	5000	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
35	6	越南-中秋	什锦饼	0	0	0	0	0	0	18	1	682	1	0	1	0	0	43200	0	0	0	0
35	7	越南-中秋	绿豆	2	0	0	0	0	0	18	1	680	1	0	1	0	0	0	0	0	0	0
36	1	淘宝活动	剑	2	0	0	0	0	0	18	1	700	1	0	1	0	0	0	0	0	0	0
36	2	淘宝活动	雨	2	0	0	0	0	0	18	1	701	1	0	1	0	0	0	0	0	0	0
36	3	淘宝活动	风	2	0	0	0	0	0	18	1	702	1	0	1	0	0	0	0	0	0	0
36	4	淘宝活动	云	2	0	0	0	0	0	18	1	703	1	0	1	0	0	0	0	0	0	0
36	5	淘宝活动	淘·礼包	0	0	0	0	0	0	18	1	708	1	0	1	0	0	43200	0	0	0	0
37	1	淘宝活动	淘	2	0	0	0	0	0	18	1	704	1	0	1	0	0	0	0	0	0	0
37	2	淘宝活动	宝	2	0	0	0	0	0	18	1	705	1	0	1	0	0	0	0	0	0	0
37	3	淘宝活动	江	2	0	0	0	0	0	18	1	706	1	0	1	0	0	0	0	0	0	0
37	4	淘宝活动	湖	2	0	0	0	0	0	18	1	707	1	0	1	0	0	0	0	0	0	0
37	5	淘宝活动	淘·礼包	0	0	0	0	0	0	18	1	708	1	0	1	0	0	43200	0	0	0	0
38	1	黄金白银龙-越南	龙形模具	2	0	0	0	0	0	18	1	710	1	0	1	0	0	0	0	0	0	0
38	2	黄金白银龙-越南	黄金材料	2	0	0	0	0	0	18	1	711	1	0	1	0	0	0	0	0	0	0
38	3	黄金白银龙-越南	黄金龙	0	0	0	0	0	0	18	1	712	1	0	1	0	0	43200	0	0	0	0
39	1	黄金白银龙-越南	龙形模具	2	0	0	0	0	0	18	1	710	1	0	1	0	0	0	0	0	0	0
39	2	黄金白银龙-越南	白银材料	2	0	0	0	0	0	18	1	713	1	0	1	0	0	0	0	0	0	0
39	3	黄金白银龙-越南	白银龙	0	0	0	0	0	0	18	1	714	1	0	1	0	0	43200	0	0	0	0
40	1	教师节	本子	2	0	0	0	0	0	18	1	1056	1	0	10	0	0	0	0	0	0	0
40	2	教师节	毛笔	2	0	0	0	0	0	18	1	1055	1	0	1	0	0	0	0	0	0	0
40	3	教师节	地理书	0	0	0	0	0	0	18	1	1058	1	0	1	0	0	43200	0	0	0	0
41	1	教师节	本子	2	0	0	0	0	0	18	1	1056	1	0	10	0	0	0	0	0	0	0
41	2	教师节	特殊毛笔	2	0	0	0	0	0	18	1	1054	1	0	1	0	0	0	0	0	0	0
41	3	教师节	历史书	0	0	0	0	0	0	18	1	1057	1	0	1	0	0	43200	0	0	0	0
42	1	马来金秋庆典	10个胜利徽章	2	0	0	0	0	0	18	1	919	1	0	10	0	0	0	0	0	0	0
42	2	马来金秋庆典	2个荣誉徽章	2	0	0	0	0	0	18	1	920	1	0	2	0	0	0	0	0	0	0
42	3	马来金秋庆典	1个辉煌徽章	2	0	0	0	0	0	18	1	921	1	0	1	0	0	0	0	0	0	0
42	4	马来金秋庆典	战神礼包	0	0	0	0	0	0	18	1	1062	1	0	1	0	0	43200	0	0	0	0
43	1	马来金秋庆典	10个胜利徽章	2	0	0	0	0	0	18	1	919	1	0	10	0	0	0	0	0	0	0
43	2	马来金秋庆典	5个荣誉徽章	2	0	0	0	0	0	18	1	920	1	0	5	0	0	0	0	0	0	0
