nId	Genre	DetailType	ParticularType	Level	nNum	nMoney	BindMoney	BindCoin	Exp	ComRate	GenreEx	DetailTypeEx	ParticularTypeEx	LevelEx	nNumEx	nRate
1									100000	100						
2	18	1	114	5	1		10000		1000000	100						
3	18	1	114	5	2		20000		5000000	100						
4	18	1	114	5	3		30000		10000000	95						
5	18	1	114	6	1		50000		15000000	90						
6	18	1	114	6	2		50000		20000000	60						
7	18	1	114	7	1		75000		40000000	50						
8	18	1	114	7	2		150000		60000000	40						
9	18	1	114	8	1		150000		80000000	30	22	1	81	1	1	20
10	18	1	114	9	1		200000		100000000	20	18	1	356	1	1	25
11	18	1	114	10	1		200000		100000000		1	12	33	4	1	10
