POSX	POSY
52832	108096
52896	108448
52576	108832
52224	109184
51936	109504
51520	109888
51104	110272
50784	110624
50464	110976
50272	111360
50656	111936
51168	112416
51712	112960
52224	113568
52800	114144
53376	114720
54016	115328
54656	116160
55264	116672
55936	117440
56512	117984
56864	118368
57120	118720
57632	118208
58112	117696
58560	117248
59104	117792
59520	118272
60224	117728
60832	117152
61376	116448
61952	115840
61792	115104
62272	114592
62752	113952
63040	113568
62528	112992
61888	112352
61344	111808
60864	111264
60736	110560
60192	109952
59840	109760
59328	110304
58848	110816
58112	111616
57696	111520
57248	111360
56896	110976
56480	111392
56064	111872
55456	112416
55200	112896
55712	113312
56320	113760
56960	114464
57344	114016
57568	113472
