ID	PROB	BASE_EXP	MONEY	BINDMONEY	COIN	ANNOUNCE
1	408840	10	0	0	0	0
2	180000	15	0	0	0	0
3	9000	20	0	0	0	0
4	1800	30	0	0	0	0
5	300	40	0	0	0	0
6	60	50	0	0	0	0
7	119112	0	0	5000	0	0
8	48000	0	0	7500	0	0
9	20000	0	0	10000	0	0
10	10000	0	0	15000	0	0
11	2000	0	0	20000	0	0
12	600	0	0	30000	0	0
13	200	0	0	50000	0	1
14	60	0	0	100000	0	1
15	20	0	0	200000	0	1
16	6	0	0	500000	0	1
17	2	0	0	1000000	0	1
18	122112	0	0	0	50	0
19	60000	0	0	0	100	0
20	12000	0	0	0	150	0
21	2000	0	0	0	200	0
22	1600	0	0	0	300	0
23	1000	0	0	0	400	0
24	600	0	0	0	500	1
25	400	0	0	0	600	1
26	200	0	0	0	800	1
27	60	0	0	0	1000	1
28	20	0	0	0	2000	1
29	6	0	0	0	5000	1
30	2	0	0	0	10000	1
