TRAPX	TRAPY
1551	3366
1549	3369
1547	3371
1551	3371
1549	3374
1551	3376
1543	3373
1540	3376
1537	3379
1545	3375
1547	3377
1549	3379
1551	3381
1542	3378
1540	3382
1545	3380
1542	3384
1547	3382
1545	3386
1549	3384
1546	3389
1551	3387
1548	3391
1550	3392
1565	3351
1567	3354
1563	3354
1561	3356
1559	3358
1565	3356
1567	3359
1563	3358
1557	3360
1555	3362
1553	3364
1565	3361
1561	3361
1563	3364
1559	3363
1561	3367
1557	3365
1560	3369
1555	3367
1557	3371
1553	3369
1555	3372
1553	3374
1553	3383
1555	3385
1557	3387
1559	3389
1561	3391
1553	3389
1555	3391
1563	3393
1565	3395
1567	3397
1552	3395
1557	3393
1555	3397
1559	3395
1557	3399
1562	3397
1559	3402
1563	3400
1561	3404
1565	3402
1563	3406
1565	3408
1567	3404
1569	3357
1582	3393
1580	3395
1578	3397
1576	3399
1582	3398
1580	3400
1582	3403
1578	3402
1580	3405
1569	3399
1571	3401
1573	3404
1575	3405
1578	3408
1580	3410
1582	3412
1576	3418
1568	3410
1571	3412
1576	3411
1574	3415
1578	3413
1580	3416
1578	3421
1569	3405
1580	3423
1572	3409
1583	3419
1594	3380
1596	3383
1598	3386
1592	3383
1590	3385
1588	3387
1586	3389
1584	3391
1594	3385
1596	3388
1592	3388
1594	3390
1590	3390
1593	3393
1588	3392
1590	3395
1586	3394
1588	3397
1584	3396
1586	3399
1584	3401
1575	3339
1573	3342
1568	3348
1571	3345
1577	3341
1579	3343
1581	3345
1583	3347
1571	3350
1573	3347
1575	3344
1573	3353
1575	3350
1577	3347
1575	3355
1577	3352
1579	3349
1577	3357
1579	3354
1581	3351
1579	3359
1581	3356
1583	3353
1583	3358
1581	3361
1583	3363
1585	3349
1587	3351
1589	3353
1591	3355
1593	3357
1595	3359
1585	3355
1587	3357
1597	3361
1599	3363
1585	3360
1585	3365
1587	3362
1589	3360
1587	3367
1589	3364
1591	3361
1593	3363
1591	3366
1589	3369
1594	3365
1593	3368
1591	3371
1597	3367
1595	3370
1593	3373
1599	3369
1595	3375
1597	3372
1599	3374
1597	3377
1599	3379
1605	3369
1607	3371
1609	3373
1611	3375
1613	3378
1601	3365
1603	3367
1601	3371
1603	3373
1601	3376
1605	3375
1603	3378
1602	3381
1607	3377
1605	3380
1604	3383
1609	3379
1608	3382
1606	3386
1611	3382
1610	3385
1609	3389
