TRAPX	TRAPY
1455	3337	
1451	3341	
1454	3344	
1447	3346	
1450	3350	
1448	3356	
1445	3359	
1451	3360	
1454	3365	
1455	3372	
1452	3375	
1452	3367	
1449	3371	
1448	3363	
1446	3366	
1443	3363	
1462	3329	
1465	3333	
1459	3333	
1461	3337	
1458	3341	
1469	3329	
1469	3371	
1471	3374	
1458	3369	
1462	3374	
1459	3378	
1456	3381	
1472	3326	
1475	3323	
1478	3327	
1483	3356	
1486	3359	
1472	3332	
1475	3336	
1478	3340	
1484	3345	
1474	3329	
1480	3331	
1478	3334	
1484	3335	
1481	3339	
1485	3341	
1481	3360	
1483	3363	
1477	3363	
1479	3366	
1474	3366	
1475	3370	
1488	3340	
