AutoName	AutoId	AutoType	FailureRecordCD	CastPercent	CastSkillId	CastSkillLevel	ParentSkillId	RelativeSkillStyle	RelativeSkillId1	RelativeSkillId2	RelativeSkillId3	MinPerCastTime	ResetCastCount	MaxCastCount	Param1	Param2
弑元诀	1	1	0	{1,28},{20,66},{21,69}	1175	-1	0	disable				{1,540},{20,540}		-1	313	0
不动明王	2	1	0	{1,6},{10,6}	35	-1	0	atk_phy_near,atk_phy_far,atk_mag_far,atk_add,trap,atk_ex				{1,90},{20,90}		-1	0	0
九曲一合枪	3	2	0	{1,100},{20,100}	1282	-1	0	disable				{1,1},{20,1}		-1	0	0
悲酥清风	4	2	0	{1,100},{10,100}	1281	-1	0	atk_phy_near,atk_phy_far,atk_ex,disable				{1,18},{10,18}		-1	0	0
瘟蛊之气	5	4	0	{1,100},{10,100}	270	-1	0					{1,9},{20,9}		-1	0	0
金刚护体	6	4	0	{1,10},{20,100}	238	-1	0					{1,18},{20,18}		-1	0	0
九曲一合枪_子1	7	2	0	{1,100},{20,100}	1283	-1	1282	atk_phy_near,atk_phy_far,atk_ex				{1,1},{20,1}		{1,2},{10,2}	0	0
枯荣禅功	8	4	0	{1,100},{20,100}	249	-1	0					{1,540},{20,540}		-1	316	0
降龙伏虎	9	1	0	{1,2},{10,6},{11,7}	251	-1	0	atk_phy_near,atk_phy_far,atk_mag_far,atk_add,trap				{1,540},{20,540}		-1	317	0
惊雷破天	10	4	0	{1,20},{10,80},{13,90}	257	-1	0					{1,540},{20,540}		-1	318	0
天王本生	11	4	0	{1,10},{10,60},{11,63}	261	-1	0					{1,810},{20,810}		-1	319	0
断筋刃	12	7	0	{1,100},{10,100}	267	-1	0					{1,90},{20,90}		-1	0	0
驱毒术	13	4	0	{1,50},{10,100},{11,100}	273	-1	0					{1,540},{20,540}		-1	321	0
不灭不绝	14	4	0	{1,100},{10,100},{11,100}	480	-1	0					{1,540},{20,540}		-1	322	0
玄冰无息	15	4	0	{1,100},{10,100}	484	-1	0					{1,540},{20,540}		-1	323	0
时乘六龙	16	2	0	{1,100},{10,100}	490	-1	489	atk_mag_far				{1,2},{10,2}		{1,1},{10,6},{13,7}	0	0
慈悲诀	17	4	0	{1,15},{10,60},{11,63}	1174	{1,11},{10,20}	0					{1,810},{20,810}		-1	324	0
六剑齐发	18	4	0	{1,10},{10,60},{11,63}	777	-1	0					{1,540},{20,540}		-1	325	0
气武退散	19	6	0	{1,100},{10,100}	974	-1	0					{1,270},{20,270}		-1	0	0
魔音噬魄	20	5	0	{1,100},{10,100}	790	-1	0					{1,810},{20,810}		-1	0	0
波罗心经	21	5	0	{1,100},{10,100}	792	-1	0					{1,810},{20,810}		-1	0	0
npc时乘六龙	22	2	0	{1,100},{10,100}	1023	-1	1022	atk_phy_near,atk_phy_far,atk_mag_far				{1,10},{10,10}		{1,6},{10,6}	0	0
npc六阳融雪功	23	2	0	{1,100},{10,100}	1085	-1	0	atk_phy_near,atk_phy_far,atk_mag_far,atk_add,trap				{1,18},{20,18}		-1	0	0
金刚不坏	24	4	0	{1,20},{10,80},{13,90}	1223	-1	0					{1,810},{20,810}		-1	326	0
化血截脉	25	11	0	{1,8},{10,20},{11,20}	1225	-1	0					{1,360},{20,360}		-1	327	0
追风毒棘	26	11	0	{1,12},{10,30},{11,30}	1228	-1	0					{1,270},{20,270}		-1	328	0
金顶绵掌	27	9	0	{1,12},{10,30},{11,30}	1230	-1	0					{1,360},{20,360}		-1	329	0
踏雪无痕	28	10	0	{1,12},{10,30},{11,30}	1231	-1	0					{1,270},{20,270}		-1	330	0
两仪心法	29	8	0	{1,20},{10,80},{13,90}	1234	-1	0					{1,540},{20,540}		-1	331	0
两仪真气	30	4	0	{1,20},{10,80},{13,90}	1237	-1	0					{1,540},{20,540}		-1	332	0
npc自动隐身	31	6	0	{1,100},{10,100}	122	-1	0					{1,540},{20,540}		-1	0	0
