MissileId	MissileName	MoveKind	NegativeDirection	PenetrateBarrier	ColFollowTarget	MissileHeight	CollidRange	RangeType	DmgRange	CanRepeatDamage	DmgInterval	LifeTime	Speed	Zspeed	Zacc	LoopPlay	SubLoop	SubStart	SubStop	ColVanish	AutoExplode	MissRate	MultiShow	Param1	Param2	Param3	HurtRandX	HurtRandY	BlurMaxNum	BlurDistance	BlurAlphaAttenuateP	HideWait2FlyEffect	UseNpcBlur1	NpcBlurAnimal1	AnimalStartAlpha1	AnimalChangeAlpha1	AnimFile1	SndFile1	UseNpcBlur2	NpcBlurAnimal2	AnimalStartAlpha2	AnimalChangeAlpha2	AnimFile2	SndFile2	UseNpcBlur3	NpcBlurAnimal3	AnimalStartAlpha3	AnimalChangeAlpha3	AnimFile3	SndFile3	UseNpcBlur4	NpcBlurAnimal4	AnimalStartAlpha4	AnimalChangeAlpha4	AnimFile4	SndFile4	AnimFileB1	SndFileB1	AnimFileB2	SndFileB2	AnimFileB3	SndFileB3	AnimFileB4	SndFileB4	RedLum	GreenLum	BlueLum	LightRadius
1	拳普通攻击	0			1	10	1	0	1	0	0	2	0	0	0	1	0	0	0	1	0	0	0	0	0	0	50	50																											\image\effect\fightskill\public\fist_d.spr	\audio\fightskill\public\SB013.wav									255	255	255	0
2	剑普通攻击	0			1	10	1	0	1	0	0	2	0	0	0	1	0	0	0	1	0	0	0	0	0	0	50	50																											\image\effect\fightskill\public\sword_d.spr	\audio\fightskill\public\SB014.wav									255	255	255	0
3	刀普通攻击	0			1	10	1	0	1	0	0	2	0	0	0	1	0	0	0	1	0	0	0	0	0	0	50	50																											\image\effect\fightskill\public\blade_d.spr	\audio\fightskill\public\SB015.wav									255	255	255	0
4	棍普通攻击	0			1	10	1	0	1	0	0	2	0	0	0	1	0	0	0	1	0	0	0	0	0	0	50	50																											\image\effect\fightskill\public\stick_d.spr	\audio\fightskill\public\SB016.wav									255	255	255	0
5	枪普通攻击	0			1	10	1	0	1	0	0	2	0	0	0	1	0	0	0	1	0	0	0	0	0	0	50	50																											\image\effect\fightskill\public\spear_d.spr	\audio\fightskill\public\SB017.wav									255	255	255	0
6	锤普通攻击	0			1	10	1	0	1	0	0	2	0	0	0	1	0	0	0	1	0	0	0	0	0	0	50	50																											\image\effect\fightskill\public\hammer_d.spr	\audio\fightskill\public\SB018.wav									255	255	255	0
7	飞镖普通攻击	1			1	10	1	0	1	0	0	13	40	0	0	1	0	0	0	1	0	0	0	0	0	0	50	50	5	35	8												\image\effect\fightskill\public\dart_c.spr												\image\effect\fightskill\public\dart_d.spr	\audio\fightskill\public\SB019.wav									255	255	255	0
8	飞刀普通攻击	1			1	10	1	0	1	0	0	13	40	0	0	1	0	0	0	1	0	0	0	0	0	0	50	50	5	35	8												\image\effect\fightskill\public\flyingknife_c.spr												\image\effect\fightskill\public\flyingknife_d.spr	\audio\fightskill\public\SB020.wav									255	255	255	0
9	袖箭普通攻击	1			1	10	1	0	1	0	0	13	40	0	0	1	0	0	0	1	0	0	0	0	0	0	50	50	5	35	8												\image\effect\fightskill\public\arrow_c.spr												\image\effect\fightskill\public\arrow_d.spr	\audio\fightskill\public\SB021.wav									255	255	255	0
10	醉八仙棍	0			1	10	27	0	27	0	0	2	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0																											\image\effect\fightskill\shaolin\sl_110_zbxg_c.spr	\audio\fightskill\shaolin\sl_szh_c.wav									255	255	255	0
11	朱蛤青冥	0			0	10	0	0	0	0	136	135	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0															\image\effect\fightskill\wudu\wu_110_zhqm_c.spr																						255	255	255	0
12	朱蛤青冥子	0			0	10	15	0	15	0	28	27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																					255	255	255	0
13	朱蛤青冥效果	0			0	10	0	0	0	0	19	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0															\image\effect\fightskill\wudu\wu_110_zhqm_d.spr																						255	255	255	0
14	化骨绵掌	0			1	10	13	0	13	0	13	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0															\image\effect\fightskill\wudu\wu_110_hgmz_c.spr																						255	255	255	0
15	偷天换日	0			1	10	13	0	13	0	19	18	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0															\image\effect\fightskill\tianren\tr_70_nzxj_d.spr	\audio\fightskill\tianren\tr_hlfh_c.wav																					255	255	255	0
16	佛光战气	0			0	10	31	0	31	0	0	3	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0																												\audio\fightskill\emei\em_pxcy_c.wav									255	255	255	0
17	剑影佛光	1			1	10	3	0	3	0	0	13	45	0	0	1	0	0	0	2	0	0	0	0	0	0	50	50															\image\effect\fightskill\emei\em_110_jyfg_c1.spr	\audio\fightskill\cuiyan\cy_fhxy_f.wav											\image\effect\fightskill\emei\em_110_jyfg_d.spr										255	255	255	0
18	十面埋伏	0			1	10	27	0	27	0	0	2	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0																											\image\effect\fightskill\cuiyan\cy_110_smmf_d.spr										255	255	255	0
