LockId	Time	Num	PreLock	StartEvent1	StartEvent2	StartEvent3	StartEvent4	StartEvent5	StartEvent6	UnLockEvent1	UnLockEvent2	UnLockEvent3	UnLockEvent4	UnLockEvent5	UnLockEvent6
1	1	0	0	"AddNpc",6147,66,-1,1,3,"shusheng","shusheng_1"											
2	1800	0	1	"SetTagetInfo",-1	"SetTimeInfo",-1,"<color=green>落英塔的传说<enter>剩余时间:%s<color>",2	"SendPlayerMsg",-1,"lock2"				"GameLose",-1					
3	0	1	1							"MovieDialog",-1,"<playername>:“ 啊，这位兄台，你怎么了？”<end>我扶起书生，伸手一探，发现他气若游丝，生命垂危，快要撑不住了。<end><npc=1>：“我…我不行了，你帮我一个忙，把这个匣子，送…送到落英…塔，湖底…湖…底，找左老儿…访尽四海…有…豪杰”<end>书生坚持着讲完话，真气散去，头一沉断气了。<end>我心中疑惑，探手到书生怀中，发现一个沉重石匣，还有一颗翠绿色的珠子。我心头一震，这不就是传说中稀世珍宝：避水寒蝉珠么，有了这东西，就算不识水性的人，也可以畅游湖海，想不到今天竟然重现于漠北。<end>一连串的疑问填满了脑海，我努力平静下情绪，思索着书生的遗言。<end><playername>:“湖底，落英塔，莫非那故老相传的落英塔入口，竟然是在这湖底。”<end>"					
4	0	16	3	"MovieDialog",-1,"杀气！蓦然间多年江湖奔走积累的嗅觉，令我感到一种危机。几乎在一瞬间，四面八方同时出现了一群黑衣人，战斗吧伙计们。"	"AddNpc",6140,50,-1,16,4,"heiyiren","heiyiren_1"										
5	0	1	4	"MovieDialog",-1,"<npc=1>:“好身手！”<end><playername>:“你是谁？”<end><npc=1>:“你不会知道我是谁，可我知道你是谁。”<end><npc=1>:“当年李后之乱，有个义军中的后起之秀，横空出世，力挽狂澜，而后又悄无声息的消失了，那个人就是你吧。”<end><npc=1>:“其实我还知道，你的父亲…”<end>他故意拉长的话音，我心中一动，就在这电光火石的一刹那，黑衣人发动的攻势。<end>"	"AddNpc",6140,100,-1,1,5,"heiyiren_boss","heiyiren_2"	"AddNpcLifePObserver","heiyiren_boss",50	"AddProtectedState",-1,10			"DelTrap","trap_1"	"DelNpc","heiyiren_boss"	"MovieDialog",-1,"好个黑衣人，霎时间消失的无影无踪。<end>"			
6	0	1	5	"AddTrapLock","lock_2",6											
7	0	3	6	"MovieDialog",-1,"<npc=1>:“哼！看你还往哪里逃。”<end><npc=1>:“阁下，我们追踪你七日七夜，今天总算碰面了。”<end><playername>:“阁下这是何意，我们素未谋面。”<end><npc=1>:“别装了，你杀害了我们的小师弟，还想抵赖么？”<end><npc=1>:“我们在从西域追到大漠，又被你引到这个莫名其妙的山谷来，今天无论如何也要给师弟报仇，上！”<end>"	"AddNpc",6137,100,-1,3,7,"longtao","longtao_1"					"DelTrap","trap_2"	"MovieDialog",-1,"<npc=1>:“好贼子，暗施毒手，卑鄙！”<end>三人早已气绝，竟似中了一种无形无影的巨毒。<end>"				
8	0	1	7	"AddTrapLock","lock_3",8											
9	0	1	8	"MovieDialog",-1,"<npc=1>:“一层老头！”<end>"	"AddNpc",6138,100,-1,1,9,"laotou","laotou_1"	"AddNpcLifePObserver","laotou",99				"DelTrap","trap_3"	"DelNpc","laotou"	"MovieDialog",-1,"老者退了半步，他微微点点头，移形换位，又慢慢的扫起了地来。<end>"			
10	0	1	9	"AddTrapLock","lock_4",10											
11	10	0	10	"MovieDialog",-1,"<npc=1>:“承天三匠”<end>"	"AddNpc",6146,100,-1,3,16,"door","door"	"AddDiaologNpcRate","door",800000				"DelTrap","trap_4"					
12	0	1	11	"AddTrapLock","lock_5",12											
