ClassName	X	Y
shusheng_1	48992	104608
playerbirth	48864	104832
heiyiren_1	53056	100032
heiyiren_1	53152	100160
heiyiren_1	53280	100256
heiyiren_1	53376	100384
heiyiren_1	53504	100480
heiyiren_1	53632	100608
heiyiren_1	53152	100448
heiyiren_1	53248	100544
heiyiren_1	53696	100512
heiyiren_1	53600	100352
heiyiren_1	53312	100064
heiyiren_1	53216	99968
heiyiren_1	53312	99872
heiyiren_1	53408	99968
heiyiren_1	53696	100192
heiyiren_1	53824	100352
heiyiren_2	53856	99776
longtao_1	52256	96544
longtao_1	52128	96672
longtao_1	51968	96800
laotou_1	49824	94112
door	50400	89984
door	50720	90304
door	50560	90144
muouren_1	54976	88640
muouren_2	55104	88832
muouren_3	55008	88896
muouren_4	54752	88640
muouren_5	54816	88544
heiyiren_3	58336	84928
