Round	TRAPX	TRAPY
1	42048	108768
1	42496	107136
1	43264	109952
1	43552	106048
1	43712	108320
1	44960	111552
1	45632	104832
1	45856	112480
1	46336	110752
1	46720	113344
1	47328	108320
1	47552	111968
1	48480	109504
1	48544	115136
1	49088	107584
1	49728	110656
1	50112	114496
1	49728	116320
1	50304	108768
1	51328	115712
1	52512	114560
1	52832	111680
2	50656	101504
2	50592	103008
2	50560	105216
2	51072	102432
2	52160	101408
2	51904	102720
2	51776	105376
2	51936	106624
2	52320	104704
2	53952	103104
2	54112	106560
2	54368	105216
2	54816	106176
2	55712	105024
2	55648	106464
2	56800	105312
