WareId	WareName	WareType	nGenre	nDetailType	nParticular	nLevel	nSeries	nCurrencyType	nUseType	nOrgPrice	nWareUseStyle	nDiscount	nRecommend	timeSaleStart	timeSaleClose	DiscountStart	DiscountClose	dwTimeout	nTimeFrameStartSale	nTimeFrameEndSale	Consumed	nHonor	nBind
1	Bạch Câu Hoàn	101	18	1	71	1	1	0		36								43200			100		
2	Đại Bạch Câu Hoàn	101	18	1	71	2	1	0		180								43200			100		
3	Cường Hiệu Bạch Câu Hoàn	101	18	1	71	3	1	0		540								43200			100		
4	Thỏi vàng (đại)	102	18	1	118	2	1	0		7800								43200			0		
5	Huyền Tinh Cấp 1	107	18	1	1	1	1	0		1								43200			0		
6	Huyền Tinh Cấp 3	107	18	1	1	3	1	0		15								43200			0		
7	Huyền Tinh Cấp 5	107	18	1	1	5	1	0		195								43200			0		
8	Huyền Tinh thường (cấp 7)	107	18	1	1	7	1	0		2240								43200			0		
9	Thỏi vàng	102	18	1	118	1	1	0		830								43200			0		
10	Thùng rượu (5 bình)	101	18	1	189	1	1	0		30								43200			0		
11	Thùng rượu (50 bình)	101	18	1	189	2	1	0		300			1					43200			0		
12	Vô Hạn Truyền Tống Phù (1 tuần)	102	18	1	195	1	1	0	1	400			1					10080			0		
13	Vô Hạn Truyền Tống Phù (1 tháng)	102	18	1	235	1	1	0	1	1500								43200			0		
18	Vô Hạn Hồi Thành Phù (1 tuần)	102	18	1	23	1	1	0	1	200								10080			0		
19	Vô Hạn Hồi Thành Phù (1 tháng)	102	18	1	234	1	1	0	1	750								43200			0		
22	Càn Khôn Phù (10)	102	18	1	85	1	1	0		200			1					43200			0		
24	Lệnh bài triệu hồi gia tộc	102	18	1	87	1	1	0		500			1					43200			0		
25	Giấy phép bày bán	102	18	1	116	1	1	0		8								43200			100		
26	Cửu Chuyển Tục Mệnh Hoàn	106	18	1	24	1	1	0		40			1					43200			100		
27	Lệnh Bài Hình Bộ	103	18	1	17	1	1	0		100								43200			100		
28	Từ Bi Tâm Kinh	103	18	1	18	1	1	0		100								43200			100		
29	Không Bạch Tâm Thư (sơ)	101	20	1	463	1	1	0		20								43200			100		
30	Không Bạch Tâm Thư (trung)	101	20	1	464	1	1	0		60								43200			100		
31	Không Bạch Tâm Thư (cao)	101	20	1	465	1	1	0		180								43200			100		
32	Kim Tê (cấp 4)	103	18	1	2	4	1	0		2900								43200			0		
33	Kim Tê (cấp 3)	103	18	1	2	3	1	0		300			1					43200			0		
35	Lệnh bài Tẩy Tủy Đảo	103	18	1	79	1	1	0		200								43200			100		
36	Mã bài (Đại Uyển Mã)	106	1	12	15	2	1	0	1	120								43200			0		
37	Mã bài (Ô Truy)	106	1	12	16	2	1	0	1	120								43200			0		
38	Chứng nhận di dân	102	18	1	117	1	1	0		200								43200			0		
40	Tinh Khí Tán (500)	103	18	1	89	1	1	0		40			1					43200			0		
41	Tinh Khí Tán (1000)	103	18	1	89	2	1	0		120			1					43200			0		
42	Tinh Khí Tán (1500)	103	18	1	89	3	1	0		300			1					43200			0		
43	Hoạt Khí Tán (500)	103	18	1	90	1	1	0		40			1					43200			0		
44	Hoạt Khí Tán (1000)	103	18	1	90	2	1	0		120			1					43200			0		
45	Hoạt Khí Tán (1500)	103	18	1	90	3	1	0		300			1					43200			0		
46	Thiên Nhãn Phù	102	18	1	206	1	1	0		100								43200			0		
47	Túi phúc lợi tinh khí (500)	103	18	1	207	1	1	0		80								43200			0		
48	Túi phúc lợi hoạt khí (500)	103	18	1	208	1	1	0		80								43200			0		
49	Lệnh bài chúc phúc (sơ)	108	18	1	212	1	1	0		1600								43200			100		
50	Lệnh bài chúc phúc (trung)	108	18	1	212	2	1	0		12650								43200			100		
51	Huyền Tinh vô hạ (cấp 9)	107	18	1	1	9	1	0		28800								43200			0		
52	Đặc Hiệu Bạch Câu Hoàn	101	18	1	71	4	1	0		1480								43200			100		
53	Cửu Chuyển Tục Mệnh Hoàn (tự động sử dụng)	106	18	1	218	1	1	0		50	2							43200			100		
54	Dây cương thần bí	106	18	1	237	1	0	0	1	820		80						43200			100		
55	Võ Lâm Mật Tịch (trung)	106	18	1	191	2	0	0		4500		80						43200			100		
56	Tẩy Tủy Kinh (trung)	106	18	1	192	2	0	0		4500		80						43200			100		
57	Lệnh Bài Nghĩa Quân	108	18	1	84	1	0	0		35								43200			100		
58	Lệnh bài thi đấu môn phái (cao)	108	18	1	81	3	0	0		500								43200			100		
59	Lệnh Bài Bạch Hổ Đường (cao)	108	18	1	111	3	0	0		120								43200			100		
60	Lệnh Bài Gia Tộc (cao)	108	18	1	110	3	0	0		500								43200			100		
61	Lệnh bài chiến trường (Dương Châu)	108	18	1	112	1	0	0		45								43200			100		
62	Lệnh bài chiến trường (Phượng Tường)	108	18	1	112	2	0	0		85								43200			100		
63	Câu Hồn Ngọc (cao)	103	18	1	146	3	0	0		12000								43200			10		
64	Lệnh bài Uy danh giang hồ	108	18	1	236	1	0	0		500								43200			100		
65	Dị Mã Phù	106	18	1	238	1	0	0		288								43200			100		
66	Rương Hồn Thạch (100 cái)	107	18	1	244	1	0	0		800			1					43200			0		
