Level	Value
1	240
2	360
3	480
4	600
5	720
6	840
7	960
8	1080
9	1200
10	1320
11	1440
12	1560
13	1680
14	1800
15	1920
16	2040
17	2160
18	2280
19	2400
20	2520
21	2640
22	2760
23	2880
24	3000
25	3120
26	3240
27	3360
28	3480
29	3600
30	3720
31	3840
32	3960
33	4080
34	4200
35	4320
36	4440
37	4560
38	4680
39	4800
40	4920
41	5040
42	5160
43	5280
44	5400
45	5520
46	5640
47	5760
48	5880
49	6000
50	6120
51	6240
52	6360
53	6480
54	6600
55	6720
56	6840
57	6960
58	7080
59	7200
60	7320
61	7440
62	7560
63	7680
64	7800
65	7920
66	8040
67	8160
68	8280
69	8400
70	8520
71	8640
72	8760
73	8880
74	9000
75	9120
76	9240
77	9360
78	9480
79	9600
80	9720
81	9840
82	9960
83	10080
84	10200
85	10320
86	10440
87	10560
88	10680
89	10800
90	10920
91	11040
92	11160
93	11280
94	11400
95	11520
96	11640
97	11760
98	11880
99	12000
100	0
