Id	Describe	Faction1	Faction2	Faction3	Faction4	Faction5	Faction6	Faction7	Faction8	Faction9	Faction10	Faction11	Faction12	Faction13
1	Ngũ Hành Ấn	1,16,1,1	1,16,2,1	1,16,3,1	1,16,4,1	1,16,5,1	1,16,6,1	1,16,7,1	1,16,8,1	1,16,9,1	1,16,10,1	1,16,11,1	1,16,12,1	1,16,13,1
2	Phi Phong Siêu Phàm Hi Ký - Nam	1,17,1,1	1,17,1,1	1,17,3,1	1,17,3,1	1,17,5,1	1,17,5,1	1,17,7,1	1,17,7,1	1,17,9,1	1,17,9,1	1,17,3,1	1,17,5,1	1,17,9,1
3	Phi Phong Siêu Phàm Hi Ký - Nữ	1,17,2,1	1,17,2,1	1,17,4,1	1,17,4,1	1,17,6,1	1,17,6,1	1,17,8,1	1,17,8,1	1,17,10,1	1,17,10,1	1,17,4,1	1,17,6,1	1,17,10,1
4	Phi Phong Xuất Trần Kinh Hồng - Nam	1,17,1,2	1,17,1,2	1,17,3,2	1,17,3,2	1,17,5,2	1,17,5,2	1,17,7,2	1,17,7,2	1,17,9,2	1,17,9,2	1,17,3,2	1,17,5,2	1,17,9,2
5	Phi Phong Xuất Trần Kinh Hồng - Nữ	1,17,2,2	1,17,2,2	1,17,4,2	1,17,4,2	1,17,6,2	1,17,6,2	1,17,8,2	1,17,8,2	1,17,10,2	1,17,10,2	1,17,4,2	1,17,6,2	1,17,10,2
6	Phi Phong Lăng Tuyệt Vụ Ảnh - Nam	1,17,1,3	1,17,1,3	1,17,3,3	1,17,3,3	1,17,5,3	1,17,5,3	1,17,7,3	1,17,7,3	1,17,9,3	1,17,9,3	1,17,3,3	1,17,5,3	1,17,9,3
7	Phi Phong Lăng Tuyệt Vụ Ảnh - Nữ	1,17,2,3	1,17,2,3	1,17,4,3	1,17,4,3	1,17,6,3	1,17,6,3	1,17,8,3	1,17,8,3	1,17,10,3	1,17,10,3	1,17,4,3	1,17,6,3	1,17,10,3
8	Phi Phong Kinh Thế Độc Vũ - Nam	1,17,1,4	1,17,1,4	1,17,3,4	1,17,3,4	1,17,5,4	1,17,5,4	1,17,7,4	1,17,7,4	1,17,9,4	1,17,9,4	1,17,3,4	1,17,5,4	1,17,9,4
9	Phi Phong Kinh Thế Độc Vũ - Nữ	1,17,2,4	1,17,2,4	1,17,4,4	1,17,4,4	1,17,6,4	1,17,6,4	1,17,8,4	1,17,8,4	1,17,10,4	1,17,10,4	1,17,4,4	1,17,6,4	1,17,10,4
10	Phi Phong Ngự Không Phùng Nhu - Nam	1,17,1,5	1,17,1,5	1,17,3,5	1,17,3,5	1,17,5,5	1,17,5,5	1,17,7,5	1,17,7,5	1,17,9,5	1,17,9,5	1,17,3,5	1,17,5,5	1,17,9,5
11	Phi Phong Ngự Không Phùng Nhu - Nữ	1,17,2,5	1,17,2,5	1,17,4,5	1,17,4,5	1,17,6,5	1,17,6,5	1,17,8,5	1,17,8,5	1,17,10,5	1,17,10,5	1,17,4,5	1,17,6,5	1,17,10,5
12	Phi Phong Hỗn Thiên Trấn Nguyên - Nam	1,17,1,6	1,17,1,6	1,17,3,6	1,17,3,6	1,17,5,6	1,17,5,6	1,17,7,6	1,17,7,6	1,17,9,6	1,17,9,6	1,17,3,6	1,17,5,6	1,17,9,6
13	Phi Phong Hỗn Thiên Trấn Nguyên - Nữ	1,17,2,6	1,17,2,6	1,17,4,6	1,17,4,6	1,17,6,6	1,17,6,6	1,17,8,6	1,17,8,6	1,17,10,6	1,17,10,6	1,17,4,6	1,17,6,6	1,17,10,6
14	Phi Phong Sồ Phượng Linh Vũ - Nam	1,17,1,7	1,17,1,7	1,17,3,7	1,17,3,7	1,17,5,7	1,17,5,7	1,17,7,7	1,17,7,7	1,17,9,7	1,17,9,7	1,17,3,7	1,17,5,7	1,17,9,7
