HEADER	MAGIC_DESC	Phần trăm sát thương ngoại	Phần trăm sát thương nội	Tăng điểm chính xác	Tăng tốc độ đánh ngoại	Tăng tốc độ đánh nội	Bỏ qua né tránh đối phương	Tăng tốc độ chạy	Phản đòn tấn công vật lý	Hút sinh	Hút nội	Tăng sinh lực tối đa	Tăng nội lực tối đa	Tăng thể lực tối đa	Tăng tốc độ hồi phục sinh lực	Tăng tốc độ hồi phục nội lực	Tăng tốc độ hồi phục thể lực	Tăng vật công ngoại	Tăng vật công nội	Chuyển sát thương thành nội lực	Tăng kháng độc	Làm đối thủ thọ thương	Tăng độc công ngoại	Tăng độc công nội	Tăng kháng lôi	Làm đối thủ suy yếu	Tăng băng công ngoại	Tăng băng công nội	Tăng kháng hỏa	Làm chậm đối thủ	Tăng hỏa công ngoại	Tăng hỏa công nội	Tăng kháng vật lý	Làm đối thủ bỏng	Tăng lôi công ngoại	Tăng lôi công nội	Tăng kháng băng	Làm đối thủ choáng	Giảm thời gian thọ thương	Giảm thời gian làm chậm	Giảm thời gian suy yếu	Giảm thời gian bỏng	Giảm thời gian choáng	Kháng tất cả	Tăng may mắn	Tăng tỷ lệ chí mạng	Tăng né tránh
MAGIC_DESC	MAGIC_ID	addphysicsdamage_p	addphysicsmagic_p	attackratingenhance_v	attackspeed_v	castspeed_v	ignoredefenseenhance_v	fastwalkrun_p	meleedamagereturn_p	steallife_p	stealmana_p	lifemax_v	manamax_v	staminamax_v	lifereplenish_v	manareplenish_v	staminareplenish_v	addphysicsdamage_v	addphysicsmagic_v	damage2addmana_p	damage_poison_resist	state_hurt_attack	addpoisondamage_v	addpoisonmagic_v	damage_light_resist	state_weak_attack	addcolddamage_v	addcoldmagic_v	damage_fire_resist	state_slowall_attack	addfiredamage_v	addfiremagic_v	damage_physics_resist	state_burn_attack	addlightingdamage_v	addlightingmagic_v	damage_cold_resist	state_stun_attack	state_hurt_resisttime	state_slowall_resisttime	state_weak_resisttime	state_burn_resisttime	state_stun_resisttime	damage_all_resist	lucky_v	deadlystrikeenhance_r	adddefense_v
Phần trăm sát thương ngoại	addphysicsdamage_p	100	100	120	200	100	100	100	100	140	140	130	115	105	100	100	100	300	100	100	130	200	300	100	130	150	300	100	130	150	300	100	130	150	300	100	130	150	100	100	100	100	100	100	100	100	100
Phần trăm sát thương nội	addphysicsmagic_p		100	100	100	200	100	100	100	140	140	130	115	105	100	100	100	100	300	100	130	200	100	300	130	150	100	300	130	150	100	300	130	100	100	300	130	150	100	100	100	100	100	100	100	100	100
Tăng điểm chính xác	attackratingenhance_v			100	120	100	100	100	100	120	120	110	110	105	100	100	100	150	100	100	110	120	150	100	110	120	150	100	110	120	150	100	110	120	150	100	110	120	100	100	100	100	100	100	100	100	100
Tăng tốc độ đánh ngoại	attackspeed_v				100	100	100	100	100	120	120	120	110	105	100	100	100	200	100	100	120	150	200	100	120	150	200	100	120	150	200	100	120	150	200	100	120	150	100	100	100	100	100	100	100	100	100
Tăng tốc độ đánh nội	castspeed_v					100	100	100	100	120	120	120	110	105	100	100	100	100	200	100	120	150	100	200	120	150	100	200	120	150	100	200	120	150	100	200	120	150	100	100	100	100	100	100	100	100	100
Bỏ qua né tránh đối phương	ignoredefenseenhance_v						100	100	100	100	100	140	120	110	120	120	110	100	100	100	150	100	100	100	150	100	100	100	150	100	100	100	150	100	100	100	150	100	130	130	130	130	130	150	100	150	150
Tăng tốc độ chạy	fastwalkrun_p							100	100	100	100	150	130	120	130	100	100	100	100	110	200	100	100	100	200	100	100	100	200	100	100	100	200	100	100	100	200	100	150	150	150	150	150	100	100	100	100
Phản đòn tấn công vật lý	meleedamagereturn_p								100	100	100	140	120	110	120	100	100	100	100	110	130	100	100	100	130	100	100	100	130	100	100	100	130	100	100	100	130	100	120	120	120	120	120	100	100	100	100
Hút sinh	steallife_p									100	120	120	110	105	100	100	100	150	150	100	110	120	150	150	110	120	150	150	110	120	150	150	110	120	150	150	110	120	100	100	100	100	100	100	100	100	100
Hút nội	stealmana_p										100	120	110	105	100	100	100	150	150	100	110	120	150	150	110	120	150	150	110	120	150	150	110	120	150	150	110	120	100	100	100	100	100	100	100	100	100
Tăng sinh lực tối đa	lifemax_v											100	150	120	130	120	120	130	130	110	150	120	130	130	200	120	130	130	200	120	130	130	200	120	130	130	200	120	130	130	130	130	130	140	120	150	150
