Name	Kind	Genre	DetailType	ParticularType	Level	Icon	View	ObjID	Intro	Help	Series	Price	Stack	ItemValue	MakeCost	BindType	Valuable	ReqLevel	ClassName	ForbidType	CanBeOffer	Shortcut	CDType	Pos
兽皮包	兽皮包	21	1	1	1	\image\item\other\extbag\bag_002_s.spr		32	4格背包		0	500	1	500		2	0		extbag		0			-1
紫菱包	紫菱包	21	2	1	1	\image\item\other\extbag\bag_003_s.spr		32	6格背包		0	1600	1	1600		2	0		extbag		0			-1
锦丝包	锦丝包	21	3	1	1	\image\item\other\extbag\bag_004_s.spr		32	8格背包		0	4400	1	4400	6600	2	0		extbag		0			-1
黄绸包	黄绸包	21	4	1	1	\image\item\other\extbag\bag_005_s.spr		32	10格背包		0	12200	1	12200	18300	2	0		extbag		0			-1
心印包	心印包	21	5	1	1	\image\item\other\extbag\bag_006_s.spr		32	12格背包		0	40000	1	40000	60000	2	0		extbag		0			-1
封测英雄包	封测英雄包	21	5	2	1	\image\item\other\extbag\bag_006_s.spr		32	12格背包<enter><color=gold>《剑侠世界》封闭测试纪念背包<color>		0	1	1	1		1	0		extbag		0			-1
貂皮包	貂皮包	21	6	1	1	\image\item\other\extbag\bag_007_s.spr		32	15格背包		0	120000	1	120000	180000	2	0		extbag		0			-1
金玉绸包	金玉绸包	21	7	1	1	\image\item\other\extbag\bag_008_s.spr		32	18格背包		0	350000	1	350000	525000	2	0		extbag		0			-1
绮罗绣包	绮罗绣包	21	8	1	1	\image\item\other\extbag\bag_009_s.spr		32	20格背包		0	1050000	1	1050000		2	0		extbag		0			-1
绮罗绣包[军用]	绮罗绣包	21	8	2	1	\image\item\other\extbag\bag_009_s.spr		32	20格背包，义军首领白秋琳亲手缝制的背包，奖励给为军营建设作出杰出贡献的将士，非常珍贵，务必装备在贴心的位置上。		0	90000	1	1050000		1	0		extbag		0			1
天蚕包	天蚕包	21	9	1	1	\image\item\other\extbag\bag_010_s.spr		32	24格背包		0	3200000	1	3200000		2	0		extbag		0			-1
蟠龙包	蟠龙包	21	9	2	1	\image\item\other\extbag\bag_011_s.spr		32	24格背包		0	3200000	1	3200000		2	0		extbag		0			-1
飞凤包	飞凤包	21	9	3	1	\image\item\other\extbag\bag_012_s.spr		32	24格背包		0	3200000	1	3200000		2	0		extbag		0			-1
天蚕包[军用]	天蚕包	21	9	4	1	\image\item\other\extbag\bag_010_s.spr		32	24格背包，义军首领白秋琳亲手缝制的背包，奖励给为军营建设作出杰出贡献的将士，非常珍贵，务必装备在贴心的位置上。		0	180000	1	3200000		1	0		extbag		0			1
赵姬香袋	赵姬香袋	21	8	3	1	\image\item\other\extbag\bag_013_s.spr		32	20格背包<enter><enter>一个在秦陵中发现的小袋子，华贵且幽暗的布料表面散发出阵阵迷人的香气。看上去不大的外表却似乎能容纳下无数的东西。		0	180000	1	3200000		1	0		extbag		0			2
