ClassParamID	Id	Cost	Desc	TrueDesc	Probability	Name	BindMoney	Money	Coin	Genre	DetailType	ParticularType	Level	Series	EnhTimes	Amount	Exp	BaseExp	MKP	GTP	Bind	LuaScriptFun	TimeLimit	Announce	FriendMsg	KinOrTongMsg
物品ExtParam1	组内ID	开箱子的消耗	随机宝箱	注解	概率	开出物品	绑定银两	银两	绑金	大类	子类	详细类	等级	五行	强化	数量	经验	基准经验	精力	活力	绑定	简单脚本函数	有效期（格式同ItemTimeOut格式）	世界公告	好友公告	家族或帮会公告
1	1		门派竞技宝箱	门派竞技宝箱	3000	初级令牌（30声望）				18	1	81	1	0	0											
1	2		门派竞技宝箱	门派竞技宝箱	2000	中级令牌（60声望）				18	1	81	2	0	0											
1	3		门派竞技宝箱	门派竞技宝箱	1000	高级令牌（100声望）				18	1	81	3	0	0											
1	4		门派竞技宝箱	门派竞技宝箱	1500	JXB10000		10000																		
1	5		门派竞技宝箱	门派竞技宝箱	500	JXB20000		20000																		
1	6		门派竞技宝箱	门派竞技宝箱	300	JXB30000		30000																		
1	7		门派竞技宝箱	门派竞技宝箱	200	JXB50000		50000																		
1	8		门派竞技宝箱	门派竞技宝箱	100	JXB100000		100000																		
1	9		门派竞技宝箱	门派竞技宝箱	1000	Huyền tinh-Lv5				18	1	1	5	0	0											
1	10		门派竞技宝箱	门派竞技宝箱	300	Huyền tinh-Lv6				18	1	1	6	0	0											
1	11		门派竞技宝箱	门派竞技宝箱	100	Huyền tinh-Lv7				18	1	1	7	0	0											
2	1		家族关卡宝箱	家族关卡宝箱	1000	家族令牌（初级）				18	1	110	1	0	0											
2	2		家族关卡宝箱	家族关卡宝箱	500	家族令牌（中级）				18	1	110	2	0	0											
2	3		家族关卡宝箱	家族关卡宝箱	300	家族令牌（高级）				18	1	110	3	0	0											
2	4		家族关卡宝箱	家族关卡宝箱	5000	Huyền tinh-Lv5				18	1	1	5	0	0						1					
2	5		家族关卡宝箱	家族关卡宝箱	3090	Huyền tinh-Lv6				18	1	1	6	0	0						1					
2	6		家族关卡宝箱	家族关卡宝箱	100	Huyền tinh-Lv7				18	1	1	7	0	0						1					
2	7		家族关卡宝箱	家族关卡宝箱	10	Huyền tinh-Lv8				18	1	1	8	0	0						1					
3	1		盛夏家族黑铁宝箱	盛夏家族黑铁宝箱	7000	Huyền tinh-Lv6				18	1	1	6	0	0											
3	2		盛夏家族黑铁宝箱	盛夏家族黑铁宝箱	2000	JXB100000		100000																		
3	3		盛夏家族黑铁宝箱	盛夏家族黑铁宝箱	1000	Huyền tinh-Lv7				18	1	1	7	0	0											
4	1		盛夏家族青铜宝箱	盛夏家族青铜宝箱	8400	Huyền tinh-Lv7				18	1	1	7	0	0											
4	2		盛夏家族青铜宝箱	盛夏家族青铜宝箱	1500	JXB300000		300000																		
4	3		盛夏家族青铜宝箱	盛夏家族青铜宝箱	100	Huyền tinh-Lv8				18	1	1	8	0	0											
5	1		盛夏家族白银宝箱	盛夏家族白银宝箱	7700	Huyền tinh-Lv7				18	1	1	7	0	0											
5	2		盛夏家族白银宝箱	盛夏家族白银宝箱	1500	JXB600000		600000																		
5	3		盛夏家族白银宝箱	盛夏家族白银宝箱	800	Huyền tinh-Lv8				18	1	1	8	0	0											
6	1		盛夏家族黄金宝箱	盛夏家族黄金宝箱	8700	Huyền tinh-Lv8				18	1	1	8	0	0											
6	2		盛夏家族黄金宝箱	盛夏家族黄金宝箱	1000	JXB1000000		1000000																		
6	3		盛夏家族黄金宝箱	盛夏家族黄金宝箱	300	Huyền tinh-Lv9				18	1	1	9	0	0											
7	1		军饷袋	军饷袋	200	牛栏寨腰牌				20	1	485	1	0	0											
7	2		军饷袋	军饷袋	800	迷宫钥匙				20	1	486	1	0	0											
7	3		军饷袋	军饷袋	100	骨玉图腾				20	1	487	1	0	0											
7	4		军饷袋	军饷袋	500	熟牛肉				20	1	488	1	0	0											
7	5		军饷袋	军饷袋	400	烤鹌鹑				20	1	488	2	0	0											
7	6		军饷袋	军饷袋	4500	10000 kinh nghiệm											10000									
7	7		军饷袋	军饷袋	1500	300 bạc khóa	300																			
7	8		军饷袋	军饷袋	2000	8个绑定魂石				18	1	205	1	0	0	8					1					
7	9		军饷袋	军饷袋	-1	活力														50						
8	1		金山二十周年庆典包	金山二十周年庆典包	3879	Huyền tinh-Lv4				18	1	1	4	0	0						1					
8	2		金山二十周年庆典包	金山二十周年庆典包	1000	Huyền tinh-Lv5				18	1	1	5	0	0						1					
8	3		金山二十周年庆典包	金山二十周年庆典包	100	Huyền tinh-Lv6				18	1	1	6	0	0						1			1	1	1
8	4		金山二十周年庆典包	金山二十周年庆典包	10	Huyền tinh-Lv7				18	1	1	7	0	0						1			1	1	1
8	5		金山二十周年庆典包	金山二十周年庆典包	1	Huyền tinh-Lv8				18	1	1	8	0	0						1			1	1	1
8	6		金山二十周年庆典包	金山二十周年庆典包	3000	二十载百炼丹				18	1	257	1	0	0								43200			
8	7		金山二十周年庆典包	金山二十周年庆典包	10	秘境地图				18	1	251	1	0	0						1			1	1	1
8	8		金山二十周年庆典包	金山二十周年庆典包	400	仙灵原木				22	1	35	1	0	0											
8	9		金山二十周年庆典包	金山二十周年庆典包	400	仙灵果				22	1	43	1	0	0											
