G	D	P	L	Desc
1	13	63	1	[面具]降龙伏虎冠
2	8	671	10	金系男08银腰带_vn
2	8	672	10	木系男08银腰带_vn
2	8	673	10	水系男08银腰带_vn
2	8	674	10	火系男08银腰带_vn
2	8	675	10	土系男08银腰带_vn
2	8	676	10	金系女08银腰带_vn
2	8	677	10	木系女08银腰带_vn
2	8	678	10	水系女08银腰带_vn
2	8	679	10	火系女08银腰带_vn
2	8	680	10	土系女08银腰带_vn
2	8	681	10	金系男08金腰带_vn
2	8	682	10	木系男08金腰带_vn
2	8	683	10	水系男08金腰带_vn
2	8	684	10	火系男08金腰带_vn
2	8	685	10	土系男08金腰带_vn
2	8	686	10	金系女08金腰带_vn
2	8	687	10	木系女08金腰带_vn
2	8	688	10	水系女08金腰带_vn
2	8	689	10	火系女08金腰带_vn
2	8	690	10	土系女08金腰带_vn
2	4	271	10	白银_金系戒指_vn
2	4	272	10	白银_木系戒指_vn
2	4	273	10	白银_水系戒指_vn
2	4	274	10	白银_火系戒指_vn
2	4	275	10	白银_土系戒指_vn
2	4	276	10	黄金_金系戒指_vn
2	4	277	10	黄金_木系戒指_vn
2	4	278	10	黄金_水系戒指_vn
2	4	279	10	黄金_火系戒指_vn
2	4	280	10	黄金_土系戒指_vn
1	12	43	4	马牌（逐日）_vn
1	12	44	4	马牌（凌天）_vn
1	12	33	4	120马牌vn（翻羽）
1	12	47	4	忆赟-vn
4	6	457	10	联赛套装金系祈福白银护身符_vn
4	6	458	10	联赛套装金系祈福黄金护身符_vn
4	6	459	10	联赛套装木系祈福白银护身符_vn
4	6	460	10	联赛套装木系祈福黄金护身符_vn
4	6	461	10	联赛套装水系祈福白银护身符_vn
4	6	462	10	联赛套装水系祈福黄金护身符_vn
4	6	463	10	联赛套装火系祈福白银护身符_vn
4	6	464	10	联赛套装火系祈福黄金护身符_vn
4	6	465	10	联赛套装土系祈福白银护身符_vn
4	6	466	10	联赛套装土系祈福黄金护身符_vn
4	8	477	10	争夺套装_金系白银男腰带_vn
4	8	478	10	争夺套装_金系白银女腰带_vn
4	8	479	10	争夺套装_金系黄金男腰带_vn
4	8	480	10	争夺套装_金系黄金女腰带_vn
4	8	481	10	争夺套装_木系白银男腰带_vn
4	8	482	10	争夺套装_木系白银女腰带_vn
4	8	483	10	争夺套装_木系黄金男腰带_vn
4	8	484	10	争夺套装_木系黄金女腰带_vn
4	8	485	10	争夺套装_水系白银男腰带_vn
4	8	486	10	争夺套装_水系白银女腰带_vn
4	8	487	10	争夺套装_水系黄金男腰带_vn
4	8	488	10	争夺套装_水系黄金女腰带_vn
4	8	489	10	争夺套装_火系白银男腰带_vn
4	8	490	10	争夺套装_火系白银女腰带_vn
4	8	491	10	争夺套装_火系黄金男腰带_vn
4	8	492	10	争夺套装_火系黄金女腰带_vn
4	8	493	10	争夺套装_土系白银男腰带_vn
4	8	494	10	争夺套装_土系白银女腰带_vn
4	8	495	10	争夺套装_土系黄金男腰带_vn
4	8	496	10	争夺套装_土系黄金女腰带_vn
4	8	497	10	争夺套装_金系白银男腰带2_vn
4	8	498	10	争夺套装_金系白银女腰带2_vn
4	8	499	10	争夺套装_金系黄金男腰带2_vn
4	8	500	10	争夺套装_金系黄金女腰带2_vn
4	8	501	10	争夺套装_木系白银男腰带2_vn
4	8	502	10	争夺套装_木系白银女腰带2_vn
4	8	503	10	争夺套装_木系黄金男腰带2_vn
4	8	504	10	争夺套装_木系黄金女腰带2_vn
4	8	505	10	争夺套装_水系白银男腰带2_vn
4	8	506	10	争夺套装_水系白银女腰带2_vn
4	8	507	10	争夺套装_水系黄金男腰带2_vn
4	8	508	10	争夺套装_水系黄金女腰带2_vn
4	8	509	10	争夺套装_火系白银男腰带2_vn
4	8	510	10	争夺套装_火系白银女腰带2_vn
4	8	511	10	争夺套装_火系黄金男腰带2_vn
4	8	512	10	争夺套装_火系黄金女腰带2_vn
4	8	513	10	争夺套装_土系白银男腰带2_vn
4	8	514	10	争夺套装_土系白银女腰带2_vn
4	8	515	10	争夺套装_土系黄金男腰带2_vn
4	8	516	10	争夺套装_土系黄金女腰带2_vn
4	4	464	10	白银联赛套装_金系外功戒指_vn
4	4	465	10	白银联赛套装_金系内功戒指_vn
4	4	466	10	白银联赛套装_木系外功戒指_vn
4	4	467	10	白银联赛套装_木系内功戒指_vn
4	4	468	10	白银联赛套装_水系外功戒指_vn
4	4	469	10	白银联赛套装_水系内功戒指_vn
4	4	470	10	白银联赛套装_火系外功戒指_vn
4	4	471	10	白银联赛套装_火系内功戒指_vn
4	4	472	10	白银联赛套装_土系外功戒指_vn
4	4	473	10	白银联赛套装_土系内功戒指_vn
4	4	474	10	黄金联赛套装_金系外功戒指_vn
4	4	475	10	黄金联赛套装_金系内功戒指_vn
4	4	476	10	黄金联赛套装_木系外功戒指_vn
4	4	477	10	黄金联赛套装_木系内功戒指_vn
4	4	478	10	黄金联赛套装_水系外功戒指_vn
4	4	479	10	黄金联赛套装_水系内功戒指_vn
4	4	480	10	黄金联赛套装_火系外功戒指_vn
4	4	481	10	黄金联赛套装_火系内功戒指_vn
4	4	482	10	黄金联赛套装_土系外功戒指_vn
4	4	483	10	黄金联赛套装_土系内功戒指_vn
