Name	Kind	Genre	DetailType	ParticularType	Level	Icon	View	ObjID	Intro	Help	Series	Price	Stack	ItemValue	MakeCost	BindType	Valuable	ReqLevel	ClassName	ForbidType	CanBeOffer	Shortcut	CDType
Đồng khoáng thạch [cấp1]	Đồng khoáng thạch [cấp1]	22	1	1	1	\image\item\lifeskill\kuangshi\kuangshi_101_s.spr		32	Đào ở mạch khoáng, bán tại tiệm binh khí.<enter><color=gold>Có thể gia công thành Thỏi đồng bằng kỹ năng sống [gia công khoáng]. Kỹ năng sống đạt cấp 10 có thể gia công vật liệu cao hơn 1 cấp.<color>		0	50	100	50		1	0		stuffitem		1		
Tích khoáng thạch [cấp 2]	Tích khoáng thạch [cấp 2]	22	1	1	2	\image\item\lifeskill\kuangshi\kuangshi_102_s.spr		32	Đào ở mạch khoáng, bán tại tiệm binh khí.<enter><color=gold>Có thể gia công thành Thỏi thiếc bằng kỹ năng sống [gia công khoáng] (kỹ năng trên cấp 10).<color>		0	100	100	100		1	0		stuffitem		1		
Thiết khoáng thạch [cấp 3]	Thiết khoáng thạch [cấp 3]	22	1	1	3	\image\item\lifeskill\kuangshi\kuangshi_103_s.spr		32	Đào ở mạch khoáng, bán tại tiệm binh khí.<enter><color=gold>Có thể gia công thành thỏi sắt bằng kỹ năng sống [gia công khoáng] (kỹ năng trên cấp 20).<color>		0	300	100	300		1	0		stuffitem		1		
Ngân khoáng thạch [cấp 4]	Ngân khoáng thạch [cấp 4]	22	1	1	4	\image\item\lifeskill\kuangshi\kuangshi_104_s.spr		32	Đào ở mạch khoáng, bán tại tiệm binh khí.<enter><color=gold>Có thể gia công thành thỏi bạc bằng kỹ năng sống [gia công khoáng] (kỹ năng trên cấp 30).<color>		0	800	100	800		1	0		stuffitem		1		
Kim khoáng thạch [cấp 5]	Kim khoáng thạch [cấp 5]	22	1	1	5	\image\item\lifeskill\kuangshi\kuangshi_105_s.spr		32	Đào ở mạch khoáng, bán tại tiệm binh khí.<enter><color=gold>Có thể gia công thành thỏi vàng bằng kỹ năng sống [gia công khoáng] (kỹ năng trên cấp 40).<color>		0	1400	100	1400		1	0		stuffitem		1		
Ô kim khoáng thạch [cấp 6]	Ô kim khoáng thạch [cấp 6]	22	1	1	6	\image\item\lifeskill\kuangshi\kuangshi_106_s.spr		32	Đào ở mạch khoáng, bán tại tiệm binh khí.<enter><color=gold>Có thể gia công thành thỏi ô kim bằng kỹ năng sống [gia công khoáng] (kỹ năng trên cấp 50).<color>		0	2100	100	2100		1	0		stuffitem		1		
Tử kim khoáng thạch [cấp 7]	Tử kim khoáng thạch [cấp 7]	22	1	1	7	\image\item\lifeskill\kuangshi\kuangshi_107_s.spr		32	Đào ở mạch khoáng, bán tại tiệm binh khí.<enter><color=gold>Có thể gia công thành thỏi tử kim bằng kỹ năng sống [gia công khoáng] (kỹ năng trên cấp 60).<color>		0	4000	100	4000		1	0		stuffitem		1		
Hàn thiết khoáng thạch [cấp 8]	Hàn thiết khoáng thạch [cấp 8]	22	1	1	8	\image\item\lifeskill\kuangshi\kuangshi_108_s.spr		32	Đào ở mạch khoáng, bán tại tiệm binh khí.<enter><color=gold>Có thể gia công thành thỏi hàn thiết bằng kỹ năng sống [gia công khoáng] (kỹ năng trên cấp 70).<color>		0	6000	100	6000		1	0		stuffitem		1		
Huyền thiết khoáng thạch [cấp 9]	Huyền thiết khoáng thạch [cấp 9]	22	1	1	9	\image\item\lifeskill\kuangshi\kuangshi_109_s.spr		32	Đào ở mạch khoáng, bán tại tiệm binh khí.<enter><color=gold>Có thể gia công thành thỏi huyền thiết bằng kỹ năng sống [gia công khoáng] (kỹ năng trên cấp 80).<color>		0	7500	100	7500		1	0		stuffitem		1		
Vẫn thạch khoáng thạch [cấp 10]	Vẫn thạch khoáng thạch [cấp 10]	22	1	1	10	\image\item\lifeskill\kuangshi\kuangshi_110_s.spr		32	Đào ở mạch khoáng, bán tại tiệm binh khí.<enter><color=gold>Có thể gia công thành thỏi vẫn thiết bằng kỹ năng sống [gia công khoáng] (kỹ năng trên cấp 90).<color>		0	17500	100	17500		1	0		stuffitem		1		
