Faction	RoutId	PartId	Sex	Genre	DetailType	ParticularType	Level	PartInfo	RoutInfo
1	1	1	1	4	6	95	10	Hộ Thân Phù	Đao Thiếu
1	1	2	1	4	3	233	10	Y Phục	Đao Thiếu
1	1	3	1	4	8	459	10	Yêu Đái	Đao Thiếu
1	1	4	1	4	7	41	10	Hài Tử	Đao Thiếu
1	1	5	1	4	10	501	10	Hộ Uyển	Đao Thiếu
1	1	6	1	4	9	487	10	Mạo Tử	Đao Thiếu
1	1	7	1	4	5	457	10	Hạng Liên	Đao Thiếu
1	1	8	1	4	11	91	10	Ngọc Bội	Đao Thiếu
1	1	9	1	4	4	474	10	Giới Chỉ	Đao Thiếu
1	1	10	1	2	1	1335	10	Vũ Khí	Đao Thiếu
1	1	1	2	4	6	95	10	Hộ Thân Phù	Đao Thiếu
1	1	2	2	4	3	238	10	Y Phục	Đao Thiếu
1	1	3	2	4	8	460	10	Yêu Đái	Đao Thiếu
1	1	4	2	4	7	42	10	Hài Tử	Đao Thiếu
1	1	5	2	4	10	502	10	Hộ Uyển	Đao Thiếu
1	1	6	2	4	9	488	10	Mạo Tử	Đao Thiếu
1	1	7	2	4	5	457	10	Hạng Liên	Đao Thiếu
1	1	8	2	4	11	92	10	Ngọc Bội	Đao Thiếu
1	1	9	2	4	4	474	10	Giới Chỉ	Đao Thiếu
1	1	10	2	2	1	1335	10	Vũ Khí	Đao Thiếu
1	2	1	1	4	6	95	10	Hộ Thân Phù	Côn Thiếu
1	2	2	1	4	3	233	10	Y Phục	Côn Thiếu
1	2	3	1	4	8	459	10	Yêu Đái	Côn Thiếu
1	2	4	1	4	7	41	10	Hài Tử	Côn Thiếu
1	2	5	1	4	10	501	10	Hộ Uyển	Côn Thiếu
1	2	6	1	4	9	487	10	Mạo Tử	Côn Thiếu
1	2	7	1	4	5	457	10	Hạng Liên	Côn Thiếu
1	2	8	1	4	11	91	10	Ngọc Bội	Côn Thiếu
1	2	9	1	4	4	474	10	Giới Chỉ	Côn Thiếu
1	2	10	1	2	1	1336	10	Vũ Khí	Côn Thiếu
1	2	1	2	4	6	95	10	Hộ Thân Phù	Côn Thiếu
1	2	2	2	4	3	238	10	Y Phục	Côn Thiếu
1	2	3	2	4	8	460	10	Yêu Đái	Côn Thiếu
1	2	4	2	4	7	42	10	Hài Tử	Côn Thiếu
1	2	5	2	4	10	502	10	Hộ Uyển	Côn Thiếu
1	2	6	2	4	9	488	10	Mạo Tử	Côn Thiếu
1	2	7	2	4	5	457	10	Hạng Liên	Côn Thiếu
1	2	8	2	4	11	92	10	Ngọc Bội	Côn Thiếu
1	2	9	2	4	4	474	10	Giới Chỉ	Côn Thiếu
1	2	10	2	2	1	1336	10	Vũ Khí	Côn Thiếu
2	1	1	1	4	6	95	10	Hộ Thân Phù	Thương Thiên
2	1	2	1	4	3	233	10	Y Phục	Thương Thiên
2	1	3	1	4	8	459	10	Yêu Đái	Thương Thiên
2	1	4	1	4	7	41	10	Hài Tử	Thương Thiên
2	1	5	1	4	10	501	10	Hộ Uyển	Thương Thiên
2	1	6	1	4	9	487	10	Mạo Tử	Thương Thiên
2	1	7	1	4	5	457	10	Hạng Liên	Thương Thiên
2	1	8	1	4	11	91	10	Ngọc Bội	Thương Thiên
2	1	9	1	4	4	474	10	Giới Chỉ	Thương Thiên
2	1	10	1	2	1	1337	10	Vũ Khí	Thương Thiên
2	1	1	2	4	6	95	10	Hộ Thân Phù	Thương Thiên
2	1	2	2	4	3	238	10	Y Phục	Thương Thiên
2	1	3	2	4	8	460	10	Yêu Đái	Thương Thiên
2	1	4	2	4	7	42	10	Hài Tử	Thương Thiên
2	1	5	2	4	10	502	10	Hộ Uyển	Thương Thiên
2	1	6	2	4	9	488	10	Mạo Tử	Thương Thiên
2	1	7	2	4	5	457	10	Hạng Liên	Thương Thiên
2	1	8	2	4	11	92	10	Ngọc Bội	Thương Thiên
2	1	9	2	4	4	474	10	Giới Chỉ	Thương Thiên
2	1	10	2	2	1	1337	10	Vũ Khí	Thương Thiên
2	2	1	1	4	6	95	10	Hộ Thân Phù	Chùy Thiên
2	2	2	1	4	3	233	10	Y Phục	Chùy Thiên
2	2	3	1	4	8	459	10	Yêu Đái	Chùy Thiên
2	2	4	1	4	7	41	10	Hài Tử	Chùy Thiên
2	2	5	1	4	10	501	10	Hộ Uyển	Chùy Thiên
2	2	6	1	4	9	487	10	Mạo Tử	Chùy Thiên
2	2	7	1	4	5	457	10	Hạng Liên	Chùy Thiên
2	2	8	1	4	11	91	10	Ngọc Bội	Chùy Thiên
2	2	9	1	4	4	474	10	Giới Chỉ	Chùy Thiên
2	2	10	1	2	1	1338	10	Vũ Khí	Chùy Thiên
2	2	1	2	4	6	95	10	Hộ Thân Phù	Chùy Thiên
2	2	2	2	4	3	238	10	Y Phục	Chùy Thiên
2	2	3	2	4	8	460	10	Yêu Đái	Chùy Thiên
2	2	4	2	4	7	42	10	Hài Tử	Chùy Thiên
2	2	5	2	4	10	502	10	Hộ Uyển	Chùy Thiên
2	2	6	2	4	9	488	10	Mạo Tử	Chùy Thiên
2	2	7	2	4	5	457	10	Hạng Liên	Chùy Thiên
2	2	8	2	4	11	92	10	Ngọc Bội	Chùy Thiên
2	2	9	2	4	4	474	10	Giới Chỉ	Chùy Thiên
2	2	10	2	2	1	1338	10	Vũ Khí	Chùy Thiên
3	1	1	1	4	6	100	10	Hộ Thân Phù	Hãm Tĩnh
3	1	2	1	4	3	234	10	Y Phục	Hãm Tĩnh
3	1	3	1	4	8	463	10	Yêu Đái	Hãm Tĩnh
3	1	4	1	4	7	43	10	Hài Tử	Hãm Tĩnh
3	1	5	1	4	10	505	10	Hộ Uyển	Hãm Tĩnh
3	1	6	1	4	9	489	10	Mạo Tử	Hãm Tĩnh
3	1	7	1	4	5	459	10	Hạng Liên	Hãm Tĩnh
3	1	8	1	4	11	93	10	Ngọc Bội	Hãm Tĩnh
3	1	9	1	4	4	476	10	Giới Chỉ	Hãm Tĩnh
3	1	10	1	2	2	147	10	Vũ Khí	Hãm Tĩnh
3	1	1	2	4	6	100	10	Hộ Thân Phù	Hãm Tĩnh
3	1	2	2	4	3	239	10	Y Phục	Hãm Tĩnh
3	1	3	2	4	8	464	10	Yêu Đái	Hãm Tĩnh
3	1	4	2	4	7	44	10	Hài Tử	Hãm Tĩnh
3	1	5	2	4	10	506	10	Hộ Uyển	Hãm Tĩnh
3	1	6	2	4	9	490	10	Mạo Tử	Hãm Tĩnh
3	1	7	2	4	5	459	10	Hạng Liên	Hãm Tĩnh
3	1	8	2	4	11	94	10	Ngọc Bội	Hãm Tĩnh
3	1	9	2	4	4	476	10	Giới Chỉ	Hãm Tĩnh
3	1	10	2	2	2	147	10	Vũ Khí	Hãm Tĩnh
3	2	1	1	4	6	100	10	Hộ Thân Phù	Tụ Tiễn
3	2	2	1	4	3	234	10	Y Phục	Tụ Tiễn
3	2	3	1	4	8	463	10	Yêu Đái	Tụ Tiễn
3	2	4	1	4	7	43	10	Hài Tử	Tụ Tiễn
3	2	5	1	4	10	505	10	Hộ Uyển	Tụ Tiễn
3	2	6	1	4	9	489	10	Mạo Tử	Tụ Tiễn
3	2	7	1	4	5	459	10	Hạng Liên	Tụ Tiễn
3	2	8	1	4	11	93	10	Ngọc Bội	Tụ Tiễn
3	2	9	1	4	4	476	10	Giới Chỉ	Tụ Tiễn
3	2	10	1	2	2	148	10	Vũ Khí	Tụ Tiễn
3	2	1	2	4	6	100	10	Hộ Thân Phù	Tụ Tiễn
3	2	2	2	4	3	239	10	Y Phục	Tụ Tiễn
3	2	3	2	4	8	464	10	Yêu Đái	Tụ Tiễn
3	2	4	2	4	7	44	10	Hài Tử	Tụ Tiễn
3	2	5	2	4	10	506	10	Hộ Uyển	Tụ Tiễn
