Faction	RouteId	MaleId	FemaleId	ÃèÊö
0	0	2885	2885	ÐÄÄ§¾ÍÊÇÐÄÄ§
1	1	2886	2910	mµ¶ÉÙ
1	2	2887	2911	m¹÷ÉÙ
2	1	2888	2912	mÇ¹Ìì
2	2	2889	2913	m´¸Ìì
3	1	2890	2914	måóÌÆ
3	2	2891	2915	m¿ÓÌÆ
4	1	2892	2916	mµ¶¶¾
4	2	2893	2917	mÕÆ¶¾
5	1	2896	2920	mÕÆ¶ë
5	2	2897	2921	m¸¨¶ð
6	2	2898	2922	mµ¶´ä
6	1	2899	2923	m½£´ä
7	1	2902	2926	mÕÆØ¤
7	2	2903	2927	m¹÷Ø¤
8	2	2904	2928	mÄ§ÈÌ
8	1	2905	2929	mÕ½ÈÌ
9	2	2906	2930	m½£Îä
9	1	2907	2931	mÆøÎä
10	1	2908	2932	mµ¶À¥
10	2	2909	2933	m½£À¥
11	1	2894	2918	m´¸Ã÷
11	2	2895	2919	m½£Ã÷
12	1	2900	2924	mÖ¸¶Î
12	2	2901	2925	mÆø¶Î
