GenreId	DetailId	SkillId	SkillName	SkillSpr	SkillEffectSpr	GenreInfo	DetailInfo	SkillInfo	TaskId	Passive	LevelTable	Condition1	Condition2	Condition3	Condition4	Condition5	Condition6	Condition7	Condition8	Condition9	Condition10
1	1	1	帽子	\image\item\equip\helm\ma_helm_gold_s.spr	\image\effect\other\new_cheng1.spr	装备打孔技能	防具：	帽子打孔技能<enter><enter><color=green>可以到家族领地中，花费一定的家族功勋值和银两为帽子打第三个孔。<color>	52			0									
1	1	2	衣服	\image\item\equip\armor\ma_armor_gold_s.spr	\image\effect\other\new_cheng1.spr			衣服打孔技能<enter><enter><color=green>可以到家族领地中，花费一定的家族功勋值和银两为衣服打第三个孔。<color>	53			0									
1	1	3	腰带	\image\item\equip\belt\m_belt_aoyun3_s.spr	\image\effect\other\new_cheng1.spr			腰带打孔技能<enter><enter><color=green>可以到家族领地中，花费一定的家族功勋值和银两为腰带打第三个孔。<color>	54			0									
1	1	4	护腕	\image\item\equip\cuff\m_112_s.spr	\image\effect\other\new_cheng1.spr			护腕打孔技能<enter><enter><color=green>可以到家族领地中，花费一定的家族功勋值和银两为护腕打第三个孔。<color>	55			0									
1	1	5	鞋子	\image\item\equip\boots\m_gold_s.spr	\image\effect\other\new_cheng1.spr			鞋子打孔技能<enter><enter><color=green>可以到家族领地中，花费一定的家族功勋值和银两为鞋子打第三个孔。<color>	56			0									
1	2	1	项链	\image\item\equip\necklace\n_112_s.spr	\image\effect\other\new_jin1.spr		首饰：	项链打孔技能<enter><enter><color=green>可以到家族领地中，花费一定的家族功勋值和银两为项链打第三个孔。<color>	57			5									
1	2	2	戒指	\image\item\equip\ring\n_gold_s.spr	\image\effect\other\new_jin1.spr			戒指打孔技能<enter><enter><color=green>可以到家族领地中，花费一定的家族功勋值和银两为戒指打第三个孔。<color>	58			5									
1	2	3	腰坠	\image\item\equip\pendant\m_112_s.spr	\image\effect\other\new_jin1.spr			腰坠打孔技能<enter><enter><color=green>可以到家族领地中，花费一定的家族功勋值和银两为腰坠打第三个孔。<color>	59			5									
1	2	4	护身符	\image\item\equip\amulet\linrixinghuanfu_s.spr	\image\effect\other\new_jin1.spr			护身符打孔技能<enter><enter><color=green>可以到家族领地中，花费一定的家族功勋值和银两为护身符打第三个孔。<color>	60			5									
1	3	1	武器	\image\item\equip\meleeweapon\n_qiang_gold_s.spr	\image\effect\other\new_jin3.spr		武器：	武器打孔技能<enter><enter><color=green>可以到家族领地中，花费一定的家族功勋值和银两为武器打第三个孔。<color>	61			9									
2	1	1	家园种植专精	\image\item\huodong\xiwangzhizhong.spr		天工开物	家园技能：	家园种植技能<enter><enter><color=green>可以到家族领地中种植各种作物，每收获一株植物，都可以通过家园技能额外收获一定量的果实。<color><enter><enter>1级：每次额外获得1个果实<enter>2级：每次额外获得2个果实<enter>3级：每次额外获得3个果实<enter>4级：每次额外获得4个果实<enter>5级：每次额外获得5个果实<enter>6级：每次额外获得6个果实<enter>7级：每次额外获得7个果实<enter>8级：每次额外获得8个果实<enter>9级：每次额外获得9个果实<enter>10级：每次额外获得10个果实	67	1	return KinPlant.tbPlantLevel	-1									
2	2	1	公共仓库	\image\ui\002a\kinrepository\cangku1.spr			家族仓库	公共仓库<enter><enter><color=green>可自由存取的公共仓库<color><enter>	87			0									
2	2	2	权限仓库	\image\ui\002a\kinrepository\cangku2.spr				权限仓库<enter><enter><color=green>有存取权限的仓库<color><enter>	88			0									
