TRAPX	TRAPY
48608	100736
49056	100256
48864	100512
49056	100928
48736	101120
49056	101408
49536	99744
49280	100032
49440	100320
49344	100640
49152	101824
49536	101984
49984	99296
50080	99680
49792	99552
49728	100064
50016	100032
49920	100864
49920	102240
49952	101792
50368	98976
50272	99328
50624	99328
50400	100928
50176	100480
50368	101856
50400	102368
50688	99040
50944	100032
51072	99488
51168	101120
51008	100736
50784	102112
50816	101696
51104	102336
50688	102784
51680	101056
51264	101888
51584	101824
51712	100064
51872	100576
52064	101408
52416	100992
49536	101056
50304	101344
50272	102720
50848	99744
50688	100128
50880	100992
51104	101440
51488	100192
51520	99776
51296	99936
51616	100672
51616	101312
52160	100928
51968	100864
51840	101376
