NpcName	Class	NpcTemplateId	NpcType	NpcCamp	NpcLevel	NpcSeriesAuto	NpcSeriesMetal	NpcSeriesWood	NpcSeriesWater	NpcSeriesFire	NpcSeriesEarth	NpcTreasure	NpcDroprate	XPos	YPos	NpcPosFile	Removewhendeath	Quantity	ChangeColorScheme
白秋琳	0	5124	3	5	10	1	20	20	20	20	20	1		51680	104256		1		
家猪	0	5127	3	5	10	1	20	20	20	20	20	1		52864	101440		1		
家猪	0	5127	3	5	10	1	20	20	20	20	20	1		53088	101472		1		
家猪	0	5127	3	5	10	1	20	20	20	20	20	1		53280	101024		1		
家猪	0	5127	3	5	10	1	20	20	20	20	20	1		53344	100672		1		
家猪	0	5127	3	5	10	1	20	20	20	20	20	1		53408	101152		1		
家猪	0	5127	3	5	10	1	20	20	20	20	20	1		53600	101152		1		
家猪	0	5127	3	5	10	1	20	20	20	20	20	1		53664	100928		1		
家猪	0	5127	3	5	10	1	20	20	20	20	20	1		53312	101568		1		
家猪	0	5127	3	5	10	1	20	20	20	20	20	1		53856	101632		1		
朝廷看守	0	5129	0	5	135	1	20	20	20	20	20	1		50432	105664		1		
朝廷看守	0	5129	0	5	135	1	20	20	20	20	20	1		51456	98080		1		
朝廷看守	0	5129	0	5	135	1	20	20	20	20	20	1		51456	98880		1		
朝廷看守	0	5129	0	5	135	1	20	20	20	20	20	1		51680	98368		1		
朝廷看守	0	5129	0	5	135	1	20	20	20	20	20	1		51488	100640		1		
朝廷看守	0	5129	0	5	135	1	20	20	20	20	20	1		51936	98528		1		
朝廷看守	0	5129	0	5	135	1	20	20	20	20	20	1		52000	99232		1		
朝廷看守	0	5129	0	5	135	1	20	20	20	20	20	1		51968	98880		1		
朝廷看守	0	5129	0	5	135	1	20	20	20	20	20	1		52288	98912		1		
朝廷看守	0	5129	0	5	135	1	20	20	20	20	20	1		52288	100480		1		
朝廷看守	0	5129	0	5	135	1	20	20	20	20	20	1		52704	102336		1		
朝廷看守	0	5129	0	5	135	1	20	20	20	20	20	1		52288	103360		1		
朝廷看守	0	5129	0	5	135	1	20	20	20	20	20	1		52384	103520		1		
朝廷看守	0	5129	0	5	135	1	20	20	20	20	20	1		52544	103648		1		
朝廷看守	0	5129	0	5	135	1	20	20	20	20	20	1		52832	102496		1		
朝廷看守	0	5129	0	5	135	1	20	20	20	20	20	1		52960	102624		1		
朝廷看守	0	5129	0	5	135	1	20	20	20	20	20	1		53088	102752		1		
朝廷看守	0	5129	0	5	135	1	20	20	20	20	20	1		53216	102848		1		
朝廷看守	0	5129	0	5	135	1	20	20	20	20	20	1		53120	103328		1		
朝廷看守	0	5129	0	5	135	1	20	20	20	20	20	1		53024	103424		1		
朝廷看守	0	5129	0	5	135	1	20	20	20	20	20	1		53280	103136		1		
阿旺	0	5165	3	5	10	1	20	20	20	20	20	1		51744	104320		1		
胖胖	0	5166	4	5	10	1	20	20	20	20	20	1		51616	104192		1		
灵壁泊	0	2525	4	5	90	1	20	20	20	20	20	1		50464	105824		1		
to_lingbipo1	1															\setting\map\map_info\baifumengjing\trap\to_lingbipo1.txt			
山寨幻境	0	2525	4	5	90	1	20	20	20	20	20	1		51456	97664		1		
to_shanzhaimengjing	1															\setting\map\map_info\baifumengjing\trap\to_shanzhaimengjing.txt			
