TRAPX	TRAPY
52576	121952
52704	122624
52704	122304
52480	122624
52480	122304
52320	122656
52704	122976
52480	122976
52512	123360
52320	123008
52320	123360
52896	122304
52800	121952
52960	121952
52736	123360
54080	121792
54080	121472
54176	121152
54080	122144
54688	121824
54496	121824
54368	121152
54560	121120
54688	121472
54496	121472
54304	121792
54304	121472
54496	122176
54688	122144
54304	122144
55968	121568
56160	121568
55872	121888
56288	122240
56288	121888
56064	122208
56064	121888
56288	122592
56064	122592
55904	122208
56096	122912
56288	122944
56800	118688
56672	119072
56672	119424
56352	121568
56480	121888
56512	122272
56992	118688
57280	119392
57280	119040
57056	119360
57056	119040
56864	119360
56864	119040
57280	119744
57088	119744
56864	119744
57472	119392
57472	119744
57632	122752
57632	122432
57728	122112
57632	123136
58080	116576
58176	116224
58272	116544
58048	116864
58048	117248
58272	117248
58272	116864
58240	122784
58048	122784
57952	122112
58112	122112
58240	122432
58048	122432
57856	122752
57856	122432
58048	123136
58240	123136
57856	123136
58368	116224
58560	116224
58656	116544
58464	116544
58656	116896
58464	116896
58464	117248
58656	117248
58688	119744
58816	120416
58816	120096
58592	120416
58592	120096
58816	120768
58592	120768
58880	119744
59072	119744
59200	120448
59008	120416
59200	120064
59008	120096
59008	120768
59200	120768
59616	122656
59712	122336
59808	122656
59616	122976
59616	123328
59808	122976
59808	123328
59904	122336
60096	122336
60000	122656
60192	122656
60000	122976
60192	122976
60000	123328
60192	123328
