TRAPX	TRAPY
62048	108448
62304	108064
62368	108416
62176	108256
62080	108800
62432	108768
62304	108992
62240	108640
62528	107840
62496	108160
62752	108000
62688	108288
62560	108544
62784	108576
62688	108832
63392	111968
63264	112160
63136	112352
63328	112544
63456	112320
63168	112704
63392	112896
63872	106208
63968	106624
63872	106880
63776	107232
63808	106528
63712	106816
63616	107136
63584	112064
63776	112192
63648	112448
63872	112480
63616	111744
63840	111904
63520	112672
63776	112736
64064	106400
64160	105952
64448	106016
64032	106976
64064	107328
64288	106592
64352	106944
64480	106688
64160	106784
64416	107296
64224	107168
64288	107520
64512	106368
64704	106080
64896	106304
64544	107072
64736	106528
64768	107104
64672	106816
64672	107360
64896	110496
64704	110304
64832	110112
64960	109920
64512	110304
64736	110656
64960	110848
64512	110592
64928	112448
64992	112832
64800	112640
64832	112992
65216	110400
65344	110144
65440	110432
65152	110016
65024	110272
65344	110688
65088	110624
65504	112192
65056	112256
65280	112032
65440	112480
65120	112608
65248	112352
65440	113024
65312	112736
65184	112960
65056	113184
65536	112768
66528	112128
66912	110208
66912	109920
67008	111520
66912	112448
66976	111840
67040	112224
66560	112480
66784	111744
66656	111936
66720	112320
66848	112096
66784	112672
67360	109504
67552	109600
67488	110208
67104	109888
67136	110240
67232	109696
67296	110080
67424	109856
67360	110432
67168	112512
67168	111968
67264	112256
67232	111680
67616	109984
67744	110272
67744	109728
67840	110016
68544	112032
68576	112384
69024	111424
68928	112352
68992	111744
69056	112128
68800	111648
68672	111840
68736	112224
68864	112000
68800	112576
69248	111584
69184	112416
69184	111872
69280	112160
69984	115264
70016	115616
70112	115072
70464	114656
70240	114880
70432	114976
70176	115456
70368	115584
70496	115360
70304	115232
70624	115648
70624	115104
70240	115808
70688	114816
70720	115392
