TRAPX	TRAPY
61824	117824
62208	117408
62112	117984
62368	119648
62176	119936
62944	117216
62624	117024
62528	117568
62624	118304
62656	119392
62688	119872
62464	120224
63424	116256
63040	116640
63360	116800
63360	117536
63008	118304
63296	118112
63040	117856
62976	119648
63296	120416
63296	119904
63008	120160
63840	115904
63712	116416
63712	117280
63680	117760
63712	120800
63680	120256
64224	115584
64128	116032
64416	116576
64128	117344
64064	116864
64384	117056
64032	120608
64352	121504
64352	120960
64000	121120
64928	114688
64800	115456
64640	115072
64736	116704
64736	116224
64672	121728
64704	121248
65056	114528
65184	114464
65440	114112
65504	114336
65024	114784
65152	114720
65312	114720
65472	115552
65056	116320
65024	115904
65312	116096
65056	121536
65056	122048
65824	114624
65568	114560
65696	114784
65824	114912
65920	114784
65952	115072
65952	115552
65824	115616
65856	115360
65760	115456
65696	115616
65664	115264
65728	115744
66048	114912
66080	115488
67040	122528
67328	122176
67360	122720
67072	123008
67360	123072
67872	116224
68000	121536
67904	121984
67680	121856
67616	122304
68224	116000
68320	116640
68352	121184
68256	121632
68672	116544
68768	117056
68992	116800
69024	120512
68928	120960
68672	120864
68608	121344
69120	117376
69376	117120
69472	117824
69376	120192
69312	120608
69760	117504
69824	118144
70080	117824
69664	120288
70496	117696
70208	118432
70464	118208
70784	117984
