TRAPX	TRAPY
59872	114464
59840	115040
59872	115520
59680	114720
59712	115296
59584	115520
59552	115104
59712	115776
60096	114464
59968	114720
60224	114720
59968	115296
60128	115520
60160	115072
60000	115776
60256	121344
60128	121728
60288	122368
60288	121920
60160	122112
60352	127776
60384	127168
60192	127456
60064	127808
60384	128224
60224	128480
60224	128032
60096	128224
60800	117696
60832	118080
60544	121344
60800	121344
60416	121664
60736	121696
60672	121088
60448	121088
60544	122400
60544	121920
60672	122144
60448	122144
60832	123872
60800	124480
60640	124160
60672	124736
60512	124512
60832	124928
60672	125184
60544	124928
60480	127424
60736	127424
60672	127776
60608	127168
60512	128480
60480	128032
60640	128224
61376	114560
61344	115136
61376	115616
61184	114816
61216	115392
61088	115584
61056	115200
61216	115840
61216	117312
61088	117632
61408	117664
61344	117056
61120	117056
60960	117312
61248	118368
61216	117888
61376	118112
61120	118112
60960	118336
60960	117888
61056	123872
60928	124128
61184	124128
60928	124736
61120	124480
60960	125184
61088	124928
61408	127968
61600	114560
61472	114816
61728	114816
61472	115392
61632	115616
61664	115168
61504	115872
61472	117312
61856	123584
61888	124000
61856	127616
61696	127936
61728	127328
61568	127616
61856	128672
61824	128192
61728	128384
61600	128640
61568	128192
61472	128384
62272	123200
62144	123552
62272	123808
62400	122944
62176	122944
61984	123232
62016	123808
62304	124256
62432	124000
62176	124000
62016	124256
62112	127616
62016	127936
61984	127360
61984	128416
62912	118048
62784	118368
62912	118624
62816	117792
62624	118048
62656	118624
62496	118432
62912	119104
62816	118848
62656	119072
62528	118816
62880	120320
62688	120576
62848	120896
62880	121376
62720	121600
62720	121152
62592	121344
62560	120960
62528	123200
62464	123552
63296	114656
63392	114912
63264	115264
63392	115520
63104	114944
63136	115520
62976	115296
63424	115968
63296	115712
63136	115968
63008	115712
63168	118048
63104	118400
63040	117792
63040	118848
62976	120576
63232	120576
63104	120320
63008	121632
62976	121152
63136	121376
63168	120928
63424	126592
63392	126176
63264	126720
63232	126400
63424	127040
63456	127488
63296	127744
63296	127296
63168	127488
63136	127072
63520	114656
63648	114912
63584	115264
63552	115712
63872	116576
63936	116992
63904	119456
63968	119872
63936	122432
63808	125792
63936	125536
63712	125536
63520	125824
63680	126144
63808	126400
63968	126592
63712	126592
63552	126848
63552	126400
63872	126880
63584	127744
63552	127296
63712	127488
63744	127040
64320	116192
64160	116512
64480	116544
64448	115936
64192	115936
64032	116192
64320	117248
64288	116768
64448	116992
64192	116992
64064	117248
64032	116768
64320	119072
64192	119424
64320	119680
64448	118816
64224	118816
64064	119104
64064	119680
64352	120128
64480	119872
64224	119872
64096	120128
64256	121792
64384	122048
64256	122368
64384	122624
64256	122848
64096	122048
64128	122624
64000	122816
64384	123104
64128	123072
64064	125792
64000	126144
64576	116192
64576	119072
64512	119424
64512	121792
64640	122048
64512	122848
64544	122400
