TRAPX	TRAPY
53088	113568
53216	113344
53088	113056
52832	113056
52960	113312
52864	113536
53216	113824
53056	114016
52928	113792
53664	113216
53408	113216
53536	113472
53536	112992
53344	113568
53280	112992
53344	114080
53472	114336
53472	113856
53280	114304
53664	113792
53472	119744
53600	119520
53600	120000
54112	119488
53856	119488
53984	119744
53984	119264
54176	119744
53792	119776
54144	119104
53920	118976
53792	119232
53792	120160
53920	120416
54176	120000
54112	120384
53984	120064
54656	116032
54400	116032
54528	116288
54528	115808
54656	116544
54304	119776
54432	120000
54304	120256
54912	116544
54784	116320
54880	116000
55008	116256
55008	115776
55168	116512
55232	115712
55168	116096
54784	116800
55168	116992
55072	116800
55424	115616
55296	116320
55360	115936
55296	116736
56192	112512
56448	112512
56320	112288
56672	112384
56800	112160
56672	113024
56416	113024
56544	113280
56544	112800
56320	112768
56800	112640
56928	112384
57120	112416
57248	112192
57120	113024
56864	113024
56992	113280
56992	112800
57248	112672
57312	116352
57376	112416
57824	116576
57568	116352
57440	116608
57440	116128
57632	115968
57760	116224
57760	115744
57536	117664
57760	117440
57664	117024
57408	117024
57536	117280
57536	116800
57664	117888
57408	117888
57536	118144
58080	116576
57952	116352
57888	115968
58144	117728
58272	117504
58016	117440
57888	117696
57888	117216
58112	116960
58240	117216
58240	116736
57952	116832
58112	118176
57856	118176
57984	118432
57984	117952
58272	117984
58400	117728
58368	116960
59616	114528
59712	114752
59904	114656
60000	115008
60320	115232
60224	114944
60384	119680
60128	119648
60000	119424
60384	119072
60128	119072
60256	119328
60256	118848
60000	119904
60288	120032
60480	115456
60480	114976
60704	115008
60864	115232
60672	115392
60864	115520
60768	116064
60544	115808
60736	115776
60800	119648
60640	119680
60512	119456
60832	119104
60576	119104
60704	119360
60704	118880
60512	119936
60800	120032
61216	115552
61024	115424
61024	116096
61216	115872
61056	115712
60928	119424
60928	119904
