TRAPX	TRAPY
51072	106240
51104	105824
51168	106912
51072	106656
51584	101600
51360	102176
51584	102176
51488	101920
51200	102336
51200	101920
51424	101408
51232	101504
51584	102656
51296	102592
51456	102400
51680	105920
51680	106304
51584	105664
51456	105920
51232	106464
51456	106464
51360	106208
51296	105728
51584	106720
51456	106976
51328	106720
51712	101344
51808	101600
51808	101984
51712	102400
53632	107392
53504	107136
53728	106624
53536	106720
53600	107808
53504	107552
54144	103200
53952	103296
54048	103936
54176	103680
54016	104384
53920	104128
54176	104192
53920	103712
54080	106816
54112	107200
53984	106560
53856	106816
53856	107392
53760	107136
53984	107616
53856	107872
53760	107616
54528	103392
54432	103136
54304	103392
54400	104192
54528	103776
54272	103936
54272	104448
