TRAPX	TRAPY
55744	111232
55776	111264
55776	111296
55744	111264
55744	111296
55776	111328
55744	111200
55712	111232
55712	111168
55712	111200
55712	111232
55712	111264
55744	111232
55776	111264
55776	111296
55744	111264
55744	111296
55776	111328
55744	111200
55712	111232
55712	111168
55712	111200
55712	111232
55712	111264
55808	111296
55840	111328
55872	111360
55904	111392
55936	111424
55968	111456
55968	111488
55904	111424
55936	111456
55872	111392
55840	111360
55808	111328
55808	111360
55840	111392
55872	111424
55904	111456
55936	111488
55968	111520
56000	111520
56000	111488
55808	111296
55840	111328
55872	111360
55904	111392
55936	111424
55968	111456
55968	111488
55904	111424
55936	111456
55872	111392
55840	111360
55808	111328
55808	111360
55840	111392
55872	111424
55904	111456
55936	111488
55968	111520
56000	111520
56000	111488
