TRAPX	TRAPY
52192	102336
52128	103008
52160	102624
52096	103392
52096	103776
52576	103136
52608	102784
52640	102464
52384	102848
52352	103360
52416	102496
52320	103712
52832	102368
52800	102688
52768	103040
52992	103168
53024	102848
53056	102528
52736	103424
52960	103584
53216	111424
53024	111104
52992	111424
52832	111168
52800	111488
53184	111776
53152	112160
52960	111776
52928	112160
52768	111840
52736	112224
53632	105664
53600	105984
53568	106336
53536	106720
53728	106720
53632	111328
53440	111136
53408	111456
53248	111104
53600	111648
53568	112000
53536	112384
53376	111808
53344	112192
54080	102368
54240	102848
54208	103200
54048	102688
54016	103040
54176	103584
53984	103424
53824	105664
53792	105984
53760	106336
54016	105664
53984	105984
53952	106336
54208	105664
54176	105984
54144	106336
53920	106720
54112	106720
54240	109216
54208	109600
54752	103232
54592	103200
54624	102848
54656	102528
54272	102528
54496	102528
54464	102880
54720	103616
54560	103584
54400	103456
54368	103776
54400	105696
54400	106016
54336	106432
54304	106784
54656	109152
54624	109472
54496	108896
54464	109216
54304	108544
54272	108864
54592	109824
54560	110208
54432	109568
54400	109952
54784	102880
54816	102560
55072	109280
54880	109024
54848	109344
55008	109952
54976	110336
55040	109600
54816	109696
54784	110080
55776	106400
55744	106752
55712	107136
56256	103296
56288	102976
56128	102912
56128	103296
56224	103648
56064	103648
56064	105440
56288	105472
56224	105824
56192	106144
56032	105760
56000	106080
55968	106432
55808	106080
55840	105760
56160	106496
56128	106880
55936	106816
56544	102272
56768	102240
56672	103264
56704	102880
56736	102528
56448	103360
56480	103008
56512	102592
56672	103616
56448	105856
56416	106176
56512	105536
56352	106912
56384	106528
56928	102304
56960	102016
56864	103072
56896	102688
56864	103456
50080	109184
50048	109920
50272	109280
50240	110016
50304	113120
50496	113216
50880	109952
51072	110048
51424	111904
51616	112000
51296	113056
51488	113152
52160	113088
52352	113184
