TRAPX	TRAPY
49952	120736
49952	120768
49952	120800
49984	120736
49984	120768
49984	120800
49952	120832
49952	120864
49952	120896
49952	120928
49952	120960
49952	120992
49920	121024
49920	121056
49920	121088
49920	121120
49920	121152
49920	121184
49920	121216
49920	121248
49920	121280
49920	121312
49920	121344
49984	120832
49984	120864
49984	120896
49984	120928
49984	120960
49984	120992
49952	121024
49952	121056
49952	121088
49952	121120
49952	121152
49952	121184
49952	121216
49952	121248
49952	121280
49952	121312
49952	121344
