TRAPX	TRAPY
50624	116896
50560	117664
50528	117152
50336	117728
50432	117408
50368	116928
50208	117152
50208	117504
50560	118208
50208	117920
50336	118176
50496	117888
50752	117152
50752	117472
50720	117856
52192	117504
52128	117728
52160	116992
51968	117568
52064	117248
52000	116768
51840	116992
51840	117344
52192	118048
51840	117760
51968	118016
52352	117696
52256	116736
52384	116992
52384	117312
53472	122848
53600	122624
53696	122336
53632	121856
53472	122080
53472	122432
53600	123104
53888	121824
53984	122784
54016	122080
53824	122592
54016	122400
53760	122816
53792	122080
53824	123104
54688	119456
54688	120224
54688	119808
55264	116992
55104	117120
55136	116736
54944	117408
55040	116896
55104	117632
55104	119200
55232	119456
55232	119776
55008	119456
54912	119712
54848	119232
55040	120480
55200	120160
55040	119968
54816	120480
54976	120192
54816	120000
55680	116736
55584	116992
55424	116768
55456	117280
55296	117472
55648	117472
55744	121824
55584	122816
55680	122624
55584	122048
55584	122400
55712	123072
55904	116704
55808	117216
55936	117024
55968	121792
56096	122752
56096	122048
55936	122560
56128	122368
55872	122784
55872	122048
55808	122304
55904	123104
