TRAPX	TRAPY
52128	133728
52096	135136
52032	134752
52032	134336
51872	134528
52096	135552
51936	135328
52288	133952
52288	133536
52704	133984
52704	133568
52544	133760
52480	134784
52480	134368
52320	134560
52512	135648
52512	135232
52352	135424
53056	134080
53056	133664
52896	133856
52896	134848
52896	134432
52736	134624
52960	135712
52960	135296
52800	135488
53728	129088
53664	132000
53696	131456
54176	125472
54176	126496
54144	128832
54144	128416
53984	128608
53920	128288
53888	128896
54080	128096
54240	129216
53888	129312
54080	129216
53856	130784
54112	130880
54208	131168
54048	131744
54048	131328
53888	131520
53856	131200
53824	131808
54176	132128
53952	132192
54560	122464
54400	122656
54432	123616
54432	123200
54272	123392
54624	123200
54560	122880
54656	123904
54688	125664
54560	125824
54336	125696
54336	125280
54624	125376
54688	126624
54336	126720
54560	126240
54400	126016
54336	126304
54432	128480
54432	128064
54272	128256
54368	128768
54400	129024
54368	130976
54336	131936
54304	131584
54592	134848
54592	134432
54432	134624
54336	135584
54336	135168
54752	135584
54752	135168
54592	135360
54816	123712
54784	123424
54784	123008
55200	123648
55200	123232
55040	123424
54816	124128
54848	125888
54848	125472
54848	126432
55264	127936
55264	128352
55232	128960
55232	129376
55168	131744
55232	132224
55040	134912
55040	134496
54880	134688
54848	134240
55168	135648
55168	135232
55008	135424
55680	121248
55776	122304
55776	121888
55616	122080
55552	127968
55776	128544
55776	128128
55616	128320
55488	128896
55488	128480
55328	128672
55744	129504
55584	129280
55744	129088
55520	129600
55328	130880
55584	130944
55680	131264
55552	131840
55552	131424
55392	131616
55328	131296
55328	131904
55776	131840
55680	132160
55488	132224
56192	121120
56032	120896
56128	121472
55968	121664
55840	121472
55840	121056
56128	121888
56032	122368
55968	122112
56256	122240
55840	131488
55840	131072
56384	121472
56640	127776
56448	128960
56704	128512
56640	128192
56608	128768
56608	129184
56800	131104
56736	132160
57152	127936
56832	127936
57152	128352
56992	128128
57120	128896
56864	128736
56864	128320
57024	128640
56960	129088
57216	131008
56992	131040
57248	131328
57120	131904
57120	131488
56960	131680
56896	131360
56896	131968
56832	131712
56896	132384
57184	134304
56928	134848
57184	135072
57152	134688
57248	135744
57248	135328
57088	135520
56896	135776
56928	135296
57792	120896
57728	121600
57408	121792
57696	121216
57472	121408
57568	120928
57440	121120
57760	122208
57600	122400
57600	121952
57440	122336
57376	130848
57408	131552
57408	131136
57536	135104
57536	134688
57376	134880
57376	134528
57696	135328
57536	135520
57952	121120
57888	121824
57888	121408
