TRAPX	TRAPY
56416	103200
56416	102816
56640	103360
56640	102976
56416	104352
56416	103968
56416	103584
56640	104128
56640	103744
56640	104512
56864	103168
56864	102784
57088	103296
57088	102912
56864	104320
56864	103936
56864	103552
57088	104064
57088	103680
57088	104448
57344	103232
57344	102848
57344	104384
57344	104000
57344	103616
57536	106240
57760	106368
57536	107008
57536	106624
57536	107392
57760	107136
57760	106752
57536	107776
57760	107520
57760	107904
58016	106240
58016	107008
58016	106624
58016	107392
58240	106496
58240	107264
58240	106880
58016	107776
58240	108032
58240	107648
58336	112672
58432	106432
58432	107200
58432	106816
58432	107968
58432	107584
58528	112352
58720	112128
58720	112512
58528	112704
58528	113088
58720	112864
58720	113280
58720	113632
59360	104160
59360	104928
59360	104544
59360	105312
59360	105696
59008	109312
59232	109440
59008	110080
59008	109696
59008	110464
59232	110208
59232	109824
59008	110848
59232	110592
59232	110976
58944	112480
58944	112800
58944	113184
58944	113568
59136	112800
59136	113120
59136	113472
59328	113152
59328	113472
58944	113952
59136	113824
59136	114176
59328	113792
59328	114176
59552	104672
59552	105056
59552	105440
59776	104640
59776	105024
59776	105408
59552	105824
59776	105792
59776	107488
59776	107104
59776	107872
59776	108256
59776	108640
59424	109664
59424	110432
59424	110048
59616	109792
59616	110560
59616	110176
59840	109920
59840	110304
59424	110816
59424	111200
59616	110944
59616	111328
59840	110688
59840	111072
59840	111456
59520	113632
59520	114016
60000	104384
60224	104832
60224	104448
60224	105216
60384	104576
60000	104768
60000	105152
60224	105984
60224	105600
60000	105920
60000	105536
60000	107232
60224	107488
60224	107104
60000	108000
60000	107616
60000	108384
60224	107872
60224	108256
60000	108768
60224	108640
60544	103168
60736	103424
60512	103520
60416	105472
60640	107200
60448	107296
60640	107968
60640	107584
60640	108352
60448	108064
60448	107680
60448	108448
60640	108736
60448	108832
60800	110176
60800	110560
60576	110336
60800	110944
60800	111328
60576	111104
60576	110720
60576	111488
60800	111712
60576	111872
61216	110048
61216	110432
61024	110112
61024	110496
61216	110816
61216	111200
61216	111584
61024	110880
61024	111264
61024	111648
61408	113536
61728	108640
61504	108928
61760	109088
61440	110336
61440	111104
61440	110720
61440	111488
61440	111872
61632	113696
61824	113920
61440	113984
61632	114144
