TRAPX	TRAPY
47872	105248
47904	105280
47936	105312
47904	105312
47936	105344
47936	105376
47904	105248
47904	105216
47968	105408
47968	105440
47968	105376
48000	105408
48000	105440
47936	105280
47968	105344
47936	105248
47936	105216
47904	105184
48000	105472
48000	105504
48032	105504
48032	105536
48064	105568
48064	105600
48096	105632
48096	105664
48032	105472
48064	105536
48096	105600
48096	105568
48128	105664
48128	105696
48128	105728
48160	105760
48160	105728
48160	105696
48192	105760
48192	105728
48192	105696
48160	105632
48160	105664
