TRAPX	TRAPY
51040	107456
51040	107488
51040	107392
51040	107424
51040	107360
51040	107328
51040	107264
51040	107296
51040	107232
51008	107232
51008	107296
51008	107264
51008	107328
51008	107360
51008	107392
51008	107424
51008	107456
51008	107488
51040	107936
51040	107904
51040	107872
51040	107840
51040	107808
51040	107776
51040	107744
51040	107712
51040	107648
51040	107680
51040	107616
51040	107552
51040	107584
51040	107520
51008	107552
51008	107520
51008	107584
51008	107616
51008	107648
51008	107680
51008	107712
51008	107744
51008	107776
51008	107808
51008	107840
51008	107872
51008	107904
51008	107936
