TRAPX	TRAPY
45280	107392
45504	107712
46080	107840
47040	102592
47072	109088
46848	108800
47520	109312
47616	102944
48000	102560
47936	109952
47744	109760
48224	101440
48608	101856
48256	110112
49024	103360
48864	103168
48960	104800
48672	110528
49632	101056
49568	103808
49408	103616
49152	103488
49344	105216
49824	101280
49760	104032
50208	107872
51328	105600
51712	105216
52832	105312
53088	105632
53376	105984
54688	106688
55680	104960
55616	107616
56096	105408
55872	105184
56288	105664
56512	105952
56768	106176
