TRAPX	TRAPY
51680	111360
51680	112416
51680	111904
51680	112160
51680	112672
51680	112928
52160	106176
52160	106432
52160	106688
52160	106944
52160	107200
51808	111136
51808	111392
51808	110624
51808	110880
52064	111136
52064	111392
52064	110624
52064	110880
51904	112416
51904	111904
51904	112160
52128	112448
52128	111936
52128	112192
51808	111648
52064	111648
51904	112672
51904	112928
52128	112704
52128	112960
52640	106336
52480	106240
52320	106368
52640	106848
52640	107104
52640	107360
52640	106592
52480	106752
52480	107008
52480	107264
52480	106496
52320	106880
52320	107136
52320	107392
52320	106624
52320	111136
52320	111392
52320	110880
52512	111168
52512	111424
52512	110912
52416	112416
52416	111904
52416	112160
52672	112416
52672	111904
52672	112160
52320	111648
52512	111680
52704	111648
52416	112672
52416	112928
52672	112672
52672	112928
52832	106368
52832	106880
52832	107136
52832	107392
52832	106624
53120	108096
53120	108352
53120	108608
53216	108896
53664	108352
53664	107840
53664	108096
53472	108416
53472	107904
53472	108160
53312	108448
53312	107936
53312	108192
53664	108608
53664	108864
53472	108672
53472	108928
53312	108704
53312	108960
53440	109248
53408	110048
53344	110336
53472	110528
53632	110368
53600	110048
53888	108320
53888	108032
53824	107712
53888	108864
53888	108608
54720	108352
54720	107840
54720	108096
54720	108608
54720	108864
54336	111520
54336	111008
54336	111264
54528	111456
54528	110944
54528	111200
54720	111264
54720	111520
54720	110752
54720	111008
54560	110688
54336	111776
54336	112032
54528	111712
54528	111968
54720	111776
54816	104960
54816	105216
54816	104448
54816	104704
55008	104960
55008	105216
55008	104448
55008	104704
55232	104960
55232	105216
55232	104448
55232	104704
54816	105472
55008	105472
55232	105472
55264	108096
55264	108352
55072	108096
55072	108352
54880	108064
54880	108320
55264	108608
55264	108864
55264	109120
55072	108608
55072	108864
55072	109120
54880	108576
54880	108832
54880	109088
54784	110496
54880	111200
54880	111456
54880	110688
54880	110944
55072	111072
55072	111328
55072	111584
54880	111712
55488	105184
55488	105440
55488	104672
55488	104928
55680	105248
55680	104736
55680	104992
55488	105696
55680	105504
55680	105760
55456	108160
55456	108416
55456	108672
55456	108928
55456	109184
57280	105248
57056	105280
56864	105344
57280	105760
57280	106016
57280	106272
57280	105504
57056	105792
57056	106048
57056	106304
57056	105536
56864	105856
56864	106112
56864	106368
56864	105600
57504	105376
57696	105984
57696	106240
57696	105472
57696	105728
57504	105888
57504	106144
57504	106400
57504	105632
57696	106496
