TRAPX	TRAPY
55776	124064
55744	124064
55712	124064
55712	124032
55744	124032
55776	124032
55968	124096
56000	124096
56032	124096
56064	124096
56096	124096
56128	124096
56128	124064
56096	124064
56064	124064
56032	124064
56000	124064
55968	124064
56160	124096
56192	124096
56192	124064
56160	124064
55936	124064
55904	124064
55872	124064
55840	124064
55808	124064
55808	124032
55840	124032
55872	124032
55904	124032
55936	124032
55968	124032
56000	124032
56032	124032
56064	124032
56096	124032
56128	124032
