TRAPX	TRAPY
57184	115840
57280	116192
57184	116448
57088	116704
57056	116096
56960	116416
57216	116960
57120	117248
57312	117280
56992	116960
57824	106464
57824	105856
57728	106176
57728	106688
57824	111168
57728	111424
57760	111968
57632	111680
57568	116576
57408	115840
57504	116192
57408	116640
57440	116960
58336	106336
57952	105600
58176	105600
58048	105952
58272	105952
57952	106208
58176	106400
57984	106688
57888	107008
58080	107040
58208	106720
57920	110912
58144	110912
58048	111360
58304	111232
57856	111680
57952	112000
58080	111680
58336	111680
58240	112000
58304	113920
58304	114528
58176	114176
58080	114496
58336	115040
58240	115328
58112	115040
58208	114784
58720	108384
58752	109504
58816	108736
58720	108992
58528	109504
58624	109248
58592	108640
58496	108960
58656	109792
58848	109824
58528	111872
58400	112256
58688	114656
58528	113920
58400	114272
58624	114272
58432	115360
58560	115040
58528	114720
59360	104960
59360	105504
58944	108384
58976	109504
59104	109120
59040	108736
58944	109184
59264	116704
59360	117056
59264	117312
59136	117600
59136	116960
59040	117280
59296	117824
59200	118112
59072	117824
59872	104192
59584	104384
59776	104512
59680	104736
59584	104992
59456	105248
59456	104640
59744	105216
59712	105824
59840	105504
59616	105472
59520	105792
59808	108160
59712	108480
59872	109312
59744	109024
59840	108768
59840	114528
59808	113920
59712	114240
59872	115072
59744	114784
59488	116704
59648	117440
59584	117056
59488	117504
59392	118144
59520	117824
60320	104288
60224	103936
60096	104288
60000	103936
60128	105376
60256	105056
60384	104672
60224	104736
60000	104544
59904	104800
59936	105120
60128	104928
60032	105600
59936	107904
60160	107904
60032	108256
60256	108256
59936	108512
60000	109024
60064	109344
60192	109024
60320	108640
60160	108704
60384	111424
60288	111744
60320	114400
59936	113664
60160	113664
60032	114016
60256	114016
59936	114272
60160	114464
59968	114784
60064	115104
60192	114784
60512	111168
60736	111168
60608	111520
60832	111520
60576	112288
60768	112288
60896	111904
60512	111776
60736	111968
60416	112032
60704	112640
60768	118240
60576	118368
60704	118656
60896	118752
60672	118048
60832	117824
60736	119040
60544	118848
60960	112608
61056	111744
61344	115392
61088	115616
61280	116256
61344	116000
61248	115712
61152	116032
61408	116576
60992	115904
60992	118496
61248	118592
60960	118176
61120	118272
61120	119104
60928	119072
61152	118784
61888	105216
61792	105440
61568	105440
61696	105184
61632	106368
61504	106144
61920	106144
61824	106368
61824	105888
61696	105664
61600	105888
61472	105728
61760	106144
61664	109312
61888	109312
61696	110432
61920	110432
61760	109664
61664	109920
61888	110112
61472	110432
61536	110176
61536	109568
61440	109888
61600	110720
61792	110752
61760	115680
61568	115488
61504	116256
61472	115744
61664	116000
61728	116352
61856	116032
62016	105440
62016	105792
62048	110048
61984	109664
62432	117664
62304	117312
62208	117632
62432	117056
62368	118464
62240	118176
62336	117920
62752	117408
62656	117056
62528	117408
62560	118496
62688	118176
62816	117792
62656	117856
62496	118176
