TRAPX	TRAPY
62176	107104
62176	107136
62208	107168
62208	107200
62208	107232
62240	107264
62240	107296
62272	107328
62272	107360
62272	107392
62272	107456
62272	107424
62272	107488
62144	107104
62144	107136
62176	107168
62176	107200
62176	107232
62208	107264
62208	107296
62240	107328
62240	107360
62240	107392
62240	107424
62240	107456
62240	107488
62272	107520
62272	107552
62272	107584
62272	107616
62272	107648
62272	107712
62272	107680
62272	107744
62272	107776
62272	107808
62272	107840
62272	107904
62272	107872
62240	107520
62240	107552
62240	107584
62240	107616
62240	107648
62240	107680
62240	107712
62240	107744
62240	107776
62240	107808
62240	107840
62240	107872
62240	107904

